"Date","Price","Open","High","Low","Change %"
"Jan 16, 2023","17,570.650","17,570.650","17,570.650","17,570.650","1.18%"
"Jan 09, 2023","17,366.100","17,366.100","17,366.100","17,366.100","3.17%"
"Jan 02, 2023","16,832.189","16,832.189","16,832.189","16,832.189","0.62%"
"Dec 27, 2022","16,728.221","16,728.221","16,728.221","16,728.221","0.39%"
"Dec 19, 2022","16,662.660","16,662.660","16,662.660","16,662.660","-1.50%"
"Dec 12, 2022","16,916.770","16,916.770","16,916.770","16,916.770","-0.37%"
"Dec 05, 2022","16,979.570","16,979.570","16,979.570","16,979.570","0.80%"
"Nov 28, 2022","16,844.830","16,844.830","16,844.830","16,844.830","0.40%"
"Nov 21, 2022","16,777.699","16,777.699","16,777.699","16,777.699","-0.50%"
"Nov 14, 2022","16,861.279","16,861.279","16,861.279","16,861.279","2.84%"
"Nov 07, 2022","16,395.750","16,395.750","16,395.750","16,395.750","0.55%"
"Oct 31, 2022","16,306.130","16,306.130","16,306.130","16,306.130","1.64%"
"Oct 24, 2022","16,043.020","16,043.020","16,043.020","16,043.020","0.70%"
"Oct 17, 2022","15,931.110","15,931.110","15,931.110","15,931.110","1.19%"
"Oct 10, 2022","15,743.680","15,743.680","15,743.680","15,743.680","-0.26%"
"Oct 03, 2022","15,784.380","15,784.380","15,784.380","15,784.380","0.16%"
"Sep 26, 2022","15,759.510","15,759.510","15,759.510","15,759.510","-3.76%"
"Sep 19, 2022","16,375.630","16,375.630","16,375.630","16,375.630","-2.88%"
"Sep 12, 2022","16,860.920","16,860.920","16,860.920","16,860.920","2.40%"
"Sep 05, 2022","16,466.090","16,466.090","16,466.090","16,466.090","-2.17%"
"Aug 29, 2022","16,831.260","16,831.260","16,831.260","16,831.260","-1.77%"
"Aug 22, 2022","17,134.010","17,134.010","17,134.010","17,134.010","-2.56%"
"Aug 16, 2022","17,585.039","17,585.039","17,585.039","17,585.039","0.84%"
"Aug 08, 2022","17,438.061","17,438.061","17,438.061","17,438.061","0.35%"
"Aug 01, 2022","17,376.480","17,376.480","17,376.480","17,376.480","2.10%"
"Jul 25, 2022","17,019.801","17,019.801","17,019.801","17,019.801","1.81%"
"Jul 18, 2022","16,717.859","16,717.859","16,717.859","16,717.859","0.11%"
"Jul 11, 2022","16,698.699","16,698.699","16,698.699","16,698.699","1.96%"
"Jul 04, 2022","16,378.280","16,378.280","16,378.280","16,378.280","0.36%"
"Jun 30, 2022","16,319.750","16,319.750","16,319.750","16,319.750","-2.04%"
"Jun 27, 2022","16,659.350","16,659.350","16,659.350","16,659.350","1.18%"
"Jun 20, 2022","16,464.740","16,464.740","16,464.740","16,464.740","-1.37%"
"Jun 13, 2022","16,694.199","16,694.199","16,694.199","16,694.199","-4.92%"
"Jun 07, 2022","17,557.850","17,557.850","17,557.850","17,557.850","-0.18%"
"May 30, 2022","17,589.020","17,589.020","17,589.020","17,589.020","1.57%"
"May 23, 2022","17,316.820","17,316.820","17,316.820","17,316.820","-0.46%"
"May 16, 2022","17,396.471","17,396.471","17,396.471","17,396.471","2.52%"
"May 09, 2022","16,969.520","16,969.520","16,969.520","16,969.520","-3.86%"
"May 02, 2022","17,651.250","17,651.250","17,651.250","17,651.250","-0.50%"
"Apr 25, 2022","17,739.830","17,739.830","17,739.830","17,739.830","-0.88%"
"Apr 19, 2022","17,897.301","17,897.301","17,897.301","17,897.301","0.62%"
"Apr 11, 2022","17,786.260","17,786.260","17,786.260","17,786.260","-1.92%"
"Apr 04, 2022","18,134.650","18,134.650","18,134.650","18,134.650","1.00%"
"Mar 28, 2022","17,955.029","17,955.029","17,955.029","17,955.029","0.04%"
"Mar 21, 2022","17,947.010","17,947.010","17,947.010","17,947.010","1.57%"
"Mar 14, 2022","17,669.699","17,669.699","17,669.699","17,669.699","2.38%"
"Mar 07, 2022","17,259.619","17,259.619","17,259.619","17,259.619","-4.92%"
"Feb 28, 2022","18,151.961","18,151.961","18,151.961","18,151.961","0.37%"
"Feb 21, 2022","18,084.350","18,084.350","18,084.350","18,084.350","-0.82%"
"Feb 14, 2022","18,233.840","18,233.840","18,233.840","18,233.840","-1.04%"
"Feb 07, 2022","18,425.240","18,425.240","18,425.240","18,425.240","-1.60%"
"Jan 31, 2022","18,725.699","18,725.699","18,725.699","18,725.699","1.35%"
"Jan 24, 2022","18,476.240","18,476.240","18,476.240","18,476.240","-4.62%"
"Jan 17, 2022","19,370.820","19,370.820","19,370.820","19,370.820","0.85%"
