"Date","Price","Open","High","Low","Change %"
"Jan 16, 2023","22,016.420","22,016.420","22,016.420","22,016.420","1.18%"
"Jan 09, 2023","21,760.430","21,760.430","21,760.430","21,760.430","3.17%"
"Jan 02, 2023","21,091.740","21,091.740","21,091.740","21,091.740","0.62%"
"Dec 27, 2022","20,961.600","20,961.600","20,961.600","20,961.600","0.39%"
"Dec 19, 2022","20,879.859","20,879.859","20,879.859","20,879.859","-1.50%"
"Dec 12, 2022","21,198.369","21,198.369","21,198.369","21,198.369","-0.37%"
"Dec 05, 2022","21,277.320","21,277.320","21,277.320","21,277.320","0.80%"
"Nov 28, 2022","21,108.891","21,108.891","21,108.891","21,108.891","0.40%"
"Nov 21, 2022","21,025.141","21,025.141","21,025.141","21,025.141","-0.50%"
"Nov 14, 2022","21,131.811","21,131.811","21,131.811","21,131.811","2.84%"
"Nov 07, 2022","20,548.961","20,548.961","20,548.961","20,548.961","0.55%"
"Oct 31, 2022","20,436.971","20,436.971","20,436.971","20,436.971","1.64%"
"Oct 24, 2022","20,107.590","20,107.590","20,107.590","20,107.590","0.70%"
"Oct 17, 2022","19,967.670","19,967.670","19,967.670","19,967.670","1.20%"
"Oct 10, 2022","19,731.721","19,731.721","19,731.721","19,731.721","-0.26%"
"Oct 03, 2022","19,782.990","19,782.990","19,782.990","19,782.990","0.16%"
"Sep 26, 2022","19,752.141","19,752.141","19,752.141","19,752.141","-3.77%"
"Sep 19, 2022","20,525.520","20,525.520","20,525.520","20,525.520","-2.88%"
"Sep 12, 2022","21,133.789","21,133.789","21,133.789","21,133.789","2.40%"
"Sep 05, 2022","20,639.381","20,639.381","20,639.381","20,639.381","-2.17%"
"Aug 29, 2022","21,097.131","21,097.131","21,097.131","21,097.131","-1.77%"
"Aug 22, 2022","21,476.721","21,476.721","21,476.721","21,476.721","-2.56%"
"Aug 16, 2022","22,042.070","22,042.070","22,042.070","22,042.070","0.84%"
"Aug 08, 2022","21,858.240","21,858.240","21,858.240","21,858.240","0.35%"
"Aug 01, 2022","21,781.359","21,781.359","21,781.359","21,781.359","2.09%"
"Jul 25, 2022","21,334.660","21,334.660","21,334.660","21,334.660","1.80%"
"Jul 18, 2022","20,956.580","20,956.580","20,956.580","20,956.580","0.11%"
"Jul 11, 2022","20,932.850","20,932.850","20,932.850","20,932.850","1.95%"
"Jul 04, 2022","20,531.910","20,531.910","20,531.910","20,531.910","0.36%"
"Jun 30, 2022","20,458.711","20,458.711","20,458.711","20,458.711","-2.04%"
"Jun 27, 2022","20,884.420","20,884.420","20,884.420","20,884.420","1.18%"
"Jun 20, 2022","20,640.789","20,640.789","20,640.789","20,640.789","-1.38%"
"Jun 13, 2022","20,928.631","20,928.631","20,928.631","20,928.631","-4.92%"
"Jun 07, 2022","22,011.260","22,011.260","22,011.260","22,011.260","-0.18%"
"May 30, 2022","22,050.600","22,050.600","22,050.600","22,050.600","1.57%"
"May 23, 2022","21,709.721","21,709.721","21,709.721","21,709.721","-0.46%"
"May 16, 2022","21,809.830","21,809.830","21,809.830","21,809.830","2.51%"
"May 09, 2022","21,274.980","21,274.980","21,274.980","21,274.980","-3.86%"
"May 02, 2022","22,129.760","22,129.760","22,129.760","22,129.760","-0.50%"
"Apr 25, 2022","22,241.070","22,241.070","22,241.070","22,241.070","-0.88%"
"Apr 19, 2022","22,438.699","22,438.699","22,438.699","22,438.699","0.62%"
"Apr 11, 2022","22,299.850","22,299.850","22,299.850","22,299.850","-1.92%"
"Apr 04, 2022","22,736.869","22,736.869","22,736.869","22,736.869","1.00%"
"Mar 28, 2022","22,511.961","22,511.961","22,511.961","22,511.961","0.04%"
"Mar 21, 2022","22,502.211","22,502.211","22,502.211","22,502.211","2.85%"
"Mar 14, 2022","21,878.141","21,878.141","21,878.141","21,878.141","2.37%"
"Mar 07, 2022","21,370.721","21,370.721","21,370.721","21,370.721","-4.92%"
"Feb 28, 2022","22,475.779","22,475.779","22,475.779","22,475.779","0.37%"
"Feb 21, 2022","22,392.439","22,392.439","22,392.439","22,392.439","-0.82%"
"Feb 14, 2022","22,577.820","22,577.820","22,577.820","22,577.820","-1.04%"
"Feb 07, 2022","22,815.100","22,815.100","22,815.100","22,815.100","-1.61%"
"Jan 31, 2022","23,187.420","23,187.420","23,187.420","23,187.420","1.35%"
"Jan 24, 2022","22,878.789","22,878.789","22,878.789","22,878.789","-4.62%"
"Jan 17, 2022","23,986.811","23,986.811","23,986.811","23,986.811","0.85%"
"Jan 10, 2022","23,784.529","23,784.529","23,784.529","23,784.529","-2.40%"
"Jan 03, 2022","24,370.490","24,370.490","24,370.490","24,370.490","0.50%"
"Dec 31, 2021","24,250.340","24,250.340","24,250.340","24,250.340","0.60%"
