"Date","Price","Open","High","Low","Change %"
"Jan 20, 2023","23,965.730","23,965.730","23,965.730","23,965.730","-0.03%"
"Jan 19, 2023","23,971.891","23,971.891","23,971.891","23,971.891","-0.88%"
"Jan 18, 2023","24,185.400","24,185.400","24,185.400","24,185.400","0.14%"
"Jan 17, 2023","24,151.760","24,151.760","24,151.760","24,151.760","0.39%"
"Jan 16, 2023","24,057.449","24,057.449","24,057.449","24,057.449","0.16%"
"Jan 13, 2023","24,019.650","24,019.650","24,019.650","24,019.650","0.17%"
"Jan 12, 2023","23,977.830","23,977.830","23,977.830","23,977.830","0.28%"
"Jan 11, 2023","23,910.920","23,910.920","23,910.920","23,910.920","0.64%"
"Jan 10, 2023","23,758.279","23,758.279","23,758.279","23,758.279","-0.32%"
"Jan 09, 2023","23,834.100","23,834.100","23,834.100","23,834.100","0.22%"
"Jan 06, 2023","23,780.670","23,780.670","23,780.670","23,780.670","0.78%"
"Jan 05, 2023","23,596.029","23,596.029","23,596.029","23,596.029","-0.34%"
"Jan 04, 2023","23,677.150","23,677.150","23,677.150","23,677.150","0.88%"
"Jan 03, 2023","23,471.609","23,471.609","23,471.609","23,471.609","0.57%"
"Jan 02, 2023","23,338.510","23,338.510","23,338.510","23,338.510","0.76%"
"Dec 30, 2022","23,161.971","23,161.971","23,161.971","23,161.971","-0.83%"
"Dec 29, 2022","23,355.160","23,355.160","23,355.160","23,355.160","0.62%"
"Dec 28, 2022","23,211.609","23,211.609","23,211.609","23,211.609","-0.15%"
"Dec 27, 2022","23,245.471","23,245.471","23,245.471","23,245.471","-0.28%"
"Dec 23, 2022","23,311.789","23,311.789","23,311.789","23,311.789","-0.00%"
"Dec 22, 2022","23,312.480","23,312.480","23,312.480","23,312.480","-0.49%"
"Dec 21, 2022","23,427.770","23,427.770","23,427.770","23,427.770","0.85%"
"Dec 20, 2022","23,229.420","23,229.420","23,229.420","23,229.420","-0.50%"
"Dec 19, 2022","23,346.369","23,346.369","23,346.369","23,346.369","-0.15%"
"Dec 16, 2022","23,380.990","23,380.990","23,380.990","23,380.990","-0.72%"
"Dec 15, 2022","23,550.689","23,550.689","23,550.689","23,550.689","-1.85%"
"Dec 14, 2022","23,993.600","23,993.600","23,993.600","23,993.600","-0.08%"
"Dec 13, 2022","24,012.641","24,012.641","24,012.641","24,012.641","0.61%"
"Dec 12, 2022","23,867.080","23,867.080","23,867.080","23,867.080","0.04%"
"Dec 09, 2022","23,857.539","23,857.539","23,857.539","23,857.539","-0.10%"
"Dec 08, 2022","23,880.539","23,880.539","23,880.539","23,880.539","-0.09%"
"Dec 07, 2022","23,902.770","23,902.770","23,902.770","23,902.770","-0.12%"
"Dec 06, 2022","23,930.449","23,930.449","23,930.449","23,930.449","-0.23%"
"Dec 05, 2022","23,985.881","23,985.881","23,985.881","23,985.881","-0.36%"
"Dec 02, 2022","24,072.270","24,072.270","24,072.270","24,072.270","-0.09%"
"Dec 01, 2022","24,092.881","24,092.881","24,092.881","24,092.881","0.59%"
"Nov 30, 2022","23,951.789","23,951.789","23,951.789","23,951.789","0.60%"
"Nov 29, 2022","23,808.510","23,808.510","23,808.510","23,808.510","0.08%"
"Nov 28, 2022","23,789.840","23,789.840","23,789.840","23,789.840","-0.56%"
"Nov 25, 2022","23,925.010","23,925.010","23,925.010","23,925.010","-0.27%"
"Nov 24, 2022","23,989.529","23,989.529","23,989.529","23,989.529","0.40%"
"Nov 23, 2022","23,892.811","23,892.811","23,892.811","23,892.811","0.36%"
"Nov 22, 2022","23,808.230","23,808.230","23,808.230","23,808.230","0.37%"
"Nov 21, 2022","23,719.939","23,719.939","23,719.939","23,719.939","0.04%"
"Nov 18, 2022","23,711.289","23,711.289","23,711.289","23,711.289","0.50%"
"Nov 17, 2022","23,594.039","23,594.039","23,594.039","23,594.039","-0.22%"
"Nov 16, 2022","23,646.010","23,646.010","23,646.010","23,646.010","-0.28%"
"Nov 15, 2022","23,711.510","23,711.510","23,711.510","23,711.510","0.29%"
"Nov 14, 2022","23,643.510","23,643.510","23,643.510","23,643.510","-0.23%"
"Nov 10, 2022","23,698.180","23,698.180","23,698.180","23,698.180","2.16%"
"Nov 09, 2022","23,196.311","23,196.311","23,196.311","23,196.311","0.01%"
"Nov 08, 2022","23,194.430","23,194.430","23,194.430","23,194.430","0.53%"
"Nov 07, 2022","23,071.189","23,071.189","23,071.189","23,071.189","0.19%"
"Nov 04, 2022","23,027.381","23,027.381","23,027.381","23,027.381","0.53%"
"Nov 03, 2022","22,905.150","22,905.150","22,905.150","22,905.150","-0.55%"
"Nov 02, 2022","23,032.910","23,032.910","23,032.910","23,032.910","-0.37%"
"Oct 31, 2022","23,117.471","23,117.471","23,117.471","23,117.471","-0.12%"
"Oct 28, 2022","23,144.971","23,144.971","23,144.971","23,144.971","-0.16%"
"Oct 27, 2022","23,181.520","23,181.520","23,181.520","23,181.520","0.56%"
"Oct 26, 2022","23,053.420","23,053.420","23,053.420","23,053.420","0.17%"
"Oct 25, 2022","23,013.641","23,013.641","23,013.641","23,013.641","1.40%"
"Oct 24, 2022","22,694.811","22,694.811","22,694.811","22,694.811","0.83%"
"Oct 21, 2022","22,508.461","22,508.461","22,508.461","22,508.461","0.10%"
