"Date","Price","Open","High","Low","Change %"
"Jan 19, 2023","171.610","171.610","171.610","171.610","-0.53%"
"Jan 18, 2023","172.520","172.520","172.520","172.520","-0.09%"
"Jan 17, 2023","172.680","172.680","172.680","172.680","0.36%"
"Jan 13, 2023","172.060","172.060","172.060","172.060","0.26%"
"Jan 12, 2023","171.620","171.620","171.620","171.620","0.30%"
"Jan 11, 2023","171.110","171.110","171.110","171.110","0.49%"
"Jan 10, 2023","170.280","170.280","170.280","170.280","0.04%"
"Jan 09, 2023","170.210","170.210","170.210","170.210","-0.02%"
"Jan 06, 2023","170.240","170.240","170.240","170.240","0.66%"
"Jan 05, 2023","169.120","169.120","169.120","169.120","-0.17%"
"Jan 04, 2023","169.410","169.410","169.410","169.410","0.50%"
"Jan 03, 2023","168.570","168.570","168.570","168.570","1.06%"
"Dec 31, 2022","166.810","166.810","166.810","166.810","-0.01%"
"Dec 30, 2022","166.820","166.820","166.820","166.820","-0.42%"
"Dec 29, 2022","167.530","167.530","167.530","167.530","0.49%"
"Dec 28, 2022","166.720","166.720","166.720","166.720","-0.12%"
"Dec 27, 2022","166.920","166.920","166.920","166.920","-0.32%"
"Dec 23, 2022","167.460","167.460","167.460","167.460","-0.07%"
"Dec 22, 2022","167.570","167.570","167.570","167.570","-0.43%"
"Dec 21, 2022","168.290","168.290","168.290","168.290","0.79%"
"Dec 20, 2022","166.970","166.970","166.970","166.970","-0.36%"
"Dec 19, 2022","167.570","167.570","167.570","167.570","-0.24%"
"Dec 16, 2022","167.980","167.980","167.980","167.980","-0.70%"
"Dec 15, 2022","169.160","169.160","169.160","169.160","-1.54%"
"Dec 14, 2022","171.800","171.800","171.800","171.800","-0.14%"
"Dec 13, 2022","172.040","172.040","172.040","172.040","0.32%"
"Dec 12, 2022","171.490","171.490","171.490","171.490","0.20%"
"Dec 09, 2022","171.150","171.150","171.150","171.150","-0.10%"
"Dec 08, 2022","171.320","171.320","171.320","171.320","0.06%"
"Dec 07, 2022","171.220","171.220","171.220","171.220","-0.20%"
"Dec 06, 2022","171.570","171.570","171.570","171.570","-0.40%"
"Dec 05, 2022","172.260","172.260","172.260","172.260","-0.77%"
"Dec 02, 2022","173.600","173.600","173.600","173.600","-0.06%"
"Dec 01, 2022","173.700","173.700","173.700","173.700","0.05%"
"Nov 30, 2022","173.610","173.610","173.610","173.610","1.19%"
"Nov 29, 2022","171.560","171.560","171.560","171.560","0.18%"
"Nov 28, 2022","171.250","171.250","171.250","171.250","-0.56%"
"Nov 25, 2022","172.220","172.220","172.220","172.220","0.10%"
"Nov 23, 2022","172.050","172.050","172.050","172.050","0.19%"
"Nov 22, 2022","171.720","171.720","171.720","171.720","0.34%"
"Nov 21, 2022","171.130","171.130","171.130","171.130","0.22%"
"Nov 18, 2022","170.750","170.750","170.750","170.750","0.23%"
"Nov 17, 2022","170.350","170.350","170.350","170.350","-0.15%"
"Nov 16, 2022","170.600","170.600","170.600","170.600","-0.64%"
"Nov 15, 2022","171.700","171.700","171.700","171.700","0.45%"
"Nov 14, 2022","170.930","170.930","170.930","170.930","-0.20%"
"Nov 10, 2022","171.270","171.270","171.270","171.270","2.09%"
"Nov 09, 2022","167.770","167.770","167.770","167.770","-0.36%"
"Nov 08, 2022","168.370","168.370","168.370","168.370","0.29%"
"Nov 07, 2022","167.880","167.880","167.880","167.880","-0.01%"
"Nov 04, 2022","167.900","167.900","167.900","167.900","0.32%"
"Nov 03, 2022","167.360","167.360","167.360","167.360","-0.33%"
"Nov 02, 2022","167.910","167.910","167.910","167.910","-0.62%"
"Oct 31, 2022","168.960","168.960","168.960","168.960","0.12%"
"Oct 28, 2022","168.750","168.750","168.750","168.750","0.38%"
"Oct 27, 2022","168.110","168.110","168.110","168.110","0.27%"
"Oct 26, 2022","167.660","167.660","167.660","167.660","-0.15%"
"Oct 25, 2022","167.910","167.910","167.910","167.910","0.89%"
"Oct 24, 2022","166.430","166.430","166.430","166.430","0.29%"
"Oct 21, 2022","165.950","165.950","165.950","165.950","0.56%"
"Oct 20, 2022","165.030","165.030","165.030","165.030","-0.39%"
"Oct 19, 2022","165.680","165.680","165.680","165.680","-0.49%"
"Oct 18, 2022","166.500","166.500","166.500","166.500","0.28%"
"Oct 17, 2022","166.030","166.030","166.030","166.030","0.93%"
"Oct 14, 2022","164.500","164.500","164.500","164.500","-0.54%"
"Oct 13, 2022","165.400","165.400","165.400","165.400","0.55%"
"Oct 12, 2022","164.500","164.500","164.500","164.500","-0.21%"
"Oct 11, 2022","164.850","164.850","164.850","164.850","-0.61%"
"Oct 10, 2022","165.870","165.870","165.870","165.870","-0.21%"
"Oct 07, 2022","166.220","166.220","166.220","166.220","-1.02%"
"Oct 06, 2022","167.930","167.930","167.930","167.930","-0.35%"
"Oct 05, 2022","168.520","168.520","168.520","168.520","-0.02%"
"Oct 04, 2022","168.560","168.560","168.560","168.560","2.20%"
"Sep 30, 2022","164.930","164.930","164.930","164.930","-0.07%"
"Sep 29, 2022","165.040","165.040","165.040","165.040","-1.43%"
"Sep 28, 2022","167.430","167.430","167.430","167.430","0.56%"
"Sep 27, 2022","166.490","166.490","166.490","166.490","-0.14%"
"Sep 26, 2022","166.720","166.720","166.720","166.720","-0.54%"
"Sep 23, 2022","167.630","167.630","167.630","167.630","-0.78%"
"Sep 22, 2022","168.940","168.940","168.940","168.940","-0.64%"
"Sep 21, 2022","170.030","170.030","170.030","170.030","0.09%"
"Sep 20, 2022","169.870","169.870","169.870","169.870","-0.71%"
"Sep 19, 2022","171.090","171.090","171.090","171.090","0.08%"
"Sep 16, 2022","170.960","170.960","170.960","170.960","-0.78%"
"Sep 15, 2022","172.310","172.310","172.310","172.310","-0.54%"
"Sep 14, 2022","173.240","173.240","173.240","173.240","-0.19%"
"Sep 13, 2022","173.570","173.570","173.570","173.570","-1.20%"
"Sep 12, 2022","175.670","175.670","175.670","175.670","0.31%"
"Sep 09, 2022","175.130","175.130","175.130","175.130","0.53%"
"Sep 08, 2022","174.210","174.210","174.210","174.210","0.20%"
"Sep 07, 2022","173.860","173.860","173.860","173.860","0.22%"
"Sep 06, 2022","173.480","173.480","173.480","173.480","-0.01%"
"Sep 02, 2022","173.490","173.490","173.490","173.490","-0.17%"
"Sep 01, 2022","173.780","173.780","173.780","173.780","-0.18%"
"Aug 31, 2022","174.090","174.090","174.090","174.090","-0.73%"
"Aug 30, 2022","175.370","175.370","175.370","175.370","-0.50%"
"Aug 29, 2022","176.260","176.260","176.260","176.260","-0.51%"
"Aug 26, 2022","177.170","177.170","177.170","177.170","-1.42%"
"Aug 25, 2022","179.720","179.720","179.720","179.720","0.72%"
"Aug 24, 2022","178.430","178.430","178.430","178.430","-0.06%"
"Aug 23, 2022","178.530","178.530","178.530","178.530","-0.30%"
"Aug 22, 2022","179.060","179.060","179.060","179.060","-0.72%"
"Aug 19, 2022","180.350","180.350","180.350","180.350","-0.52%"
"Aug 18, 2022","181.300","181.300","181.300","181.300","0.19%"
"Aug 17, 2022","180.960","180.960","180.960","180.960","-0.60%"
"Aug 16, 2022","182.060","182.060","182.060","182.060","0.40%"
"Aug 12, 2022","181.330","181.330","181.330","181.330","0.78%"
"Aug 11, 2022","179.920","179.920","179.920","179.920","0.18%"
"Aug 10, 2022","179.600","179.600","179.600","179.600","0.50%"
"Aug 09, 2022","178.700","178.700","178.700","178.700","-0.53%"
"Aug 08, 2022","179.650","179.650","179.650","179.650","0.12%"
"Aug 05, 2022","179.440","179.440","179.440","179.440","-0.19%"
"Aug 04, 2022","179.780","179.780","179.780","179.780","0.01%"
"Aug 03, 2022","179.760","179.760","179.760","179.760","0.68%"
"Aug 02, 2022","178.550","178.550","178.550","178.550","-0.08%"
"Aug 01, 2022","178.690","178.690","178.690","178.690","-0.20%"
"Jul 29, 2022","179.050","179.050","179.050","179.050","0.53%"
"Jul 28, 2022","178.110","178.110","178.110","178.110","0.79%"
"Jul 27, 2022","176.710","176.710","176.710","176.710","0.79%"
"Jul 26, 2022","175.320","175.320","175.320","175.320","0.07%"
"Jul 25, 2022","175.190","175.190","175.190","175.190","0.01%"
"Jul 22, 2022","175.180","175.180","175.180","175.180","0.67%"
"Jul 20, 2022","174.020","174.020","174.020","174.020","0.55%"
"Jul 19, 2022","173.060","173.060","173.060","173.060","0.65%"
"Jul 18, 2022","171.950","171.950","171.950","171.950","-0.29%"
