"Date","Price","Open","High","Low","Change %"
"Jan 19, 2023","123.500","123.500","123.500","123.500","-0.32%"
"Jan 18, 2023","123.900","123.900","123.900","123.900","0.18%"
"Jan 17, 2023","123.680","123.680","123.680","123.680","0.31%"
"Jan 16, 2023","123.300","123.300","123.300","123.300","0.03%"
"Jan 13, 2023","123.260","123.260","123.260","123.260","0.11%"
"Jan 12, 2023","123.120","123.120","123.120","123.120","0.32%"
"Jan 11, 2023","122.730","122.730","122.730","122.730","0.50%"
"Jan 10, 2023","122.120","122.120","122.120","122.120","-0.09%"
"Jan 09, 2023","122.230","122.230","122.230","122.230","0.02%"
"Jan 06, 2023","122.210","122.210","122.210","122.210","0.56%"
"Jan 05, 2023","121.530","121.530","121.530","121.530","-0.19%"
"Jan 04, 2023","121.760","121.760","121.760","121.760","0.48%"
"Jan 03, 2023","121.180","121.180","121.180","121.180","0.80%"
"Dec 31, 2022","120.220","120.220","120.220","120.220","-0.02%"
"Dec 30, 2022","120.240","120.240","120.240","120.240","-0.41%"
"Dec 29, 2022","120.730","120.730","120.730","120.730","0.35%"
"Dec 28, 2022","120.310","120.310","120.310","120.310","-0.03%"
"Dec 27, 2022","120.350","120.350","120.350","120.350","-0.36%"
"Dec 23, 2022","120.780","120.780","120.780","120.780","-0.11%"
"Dec 22, 2022","120.910","120.910","120.910","120.910","-0.26%"
"Dec 21, 2022","121.220","121.220","121.220","121.220","0.39%"
"Dec 20, 2022","120.750","120.750","120.750","120.750","-0.35%"
"Dec 19, 2022","121.170","121.170","121.170","121.170","-0.23%"
"Dec 16, 2022","121.450","121.450","121.450","121.450","-0.54%"
"Dec 15, 2022","122.110","122.110","122.110","122.110","-1.01%"
"Dec 14, 2022","123.360","123.360","123.360","123.360","-0.07%"
"Dec 13, 2022","123.450","123.450","123.450","123.450","0.26%"
"Dec 12, 2022","123.130","123.130","123.130","123.130","0.05%"
"Dec 09, 2022","123.070","123.070","123.070","123.070","-0.27%"
"Dec 08, 2022","123.400","123.400","123.400","123.400","-0.06%"
