"Date","Price","Open","High","Low","Change %"
"Jan 19, 2023","136.260","136.260","136.260","136.260","-0.33%"
"Jan 18, 2023","136.710","136.710","136.710","136.710","0.18%"
"Jan 17, 2023","136.470","136.470","136.470","136.470","0.32%"
"Jan 16, 2023","136.040","136.040","136.040","136.040","0.03%"
"Jan 13, 2023","136.000","136.000","136.000","136.000","0.11%"
"Jan 12, 2023","135.850","135.850","135.850","135.850","0.32%"
"Jan 11, 2023","135.420","135.420","135.420","135.420","0.50%"
"Jan 10, 2023","134.750","134.750","134.750","134.750","-0.09%"
"Jan 09, 2023","134.870","134.870","134.870","134.870","0.02%"
"Jan 06, 2023","134.840","134.840","134.840","134.840","0.56%"
"Jan 05, 2023","134.090","134.090","134.090","134.090","-0.19%"
"Jan 04, 2023","134.350","134.350","134.350","134.350","0.48%"
"Jan 03, 2023","133.710","133.710","133.710","133.710","0.80%"
"Dec 31, 2022","132.650","132.650","132.650","132.650","-0.02%"
"Dec 30, 2022","132.670","132.670","132.670","132.670","-0.41%"
"Dec 29, 2022","133.210","133.210","133.210","133.210","0.35%"
"Dec 28, 2022","132.750","132.750","132.750","132.750","-0.03%"
"Dec 27, 2022","132.790","132.790","132.790","132.790","-0.35%"
"Dec 23, 2022","133.260","133.260","133.260","133.260","-0.11%"
"Dec 22, 2022","133.410","133.410","133.410","133.410","-0.25%"
"Dec 21, 2022","133.750","133.750","133.750","133.750","0.39%"
"Dec 20, 2022","133.230","133.230","133.230","133.230","-0.35%"
"Dec 19, 2022","133.700","133.700","133.700","133.700","-0.23%"
"Dec 16, 2022","134.010","134.010","134.010","134.010","-0.53%"
"Dec 15, 2022","134.730","134.730","134.730","134.730","-1.01%"
"Dec 14, 2022","136.110","136.110","136.110","136.110","-0.07%"
"Dec 13, 2022","136.210","136.210","136.210","136.210","0.26%"
"Dec 12, 2022","135.860","135.860","135.860","135.860","0.05%"
"Dec 09, 2022","135.790","135.790","135.790","135.790","-0.26%"
"Dec 08, 2022","136.150","136.150","136.150","136.150","-0.06%"
"Dec 07, 2022","136.230","136.230","136.230","136.230","0.00%"
"Dec 06, 2022","136.230","136.230","136.230","136.230","-0.11%"
"Dec 05, 2022","136.380","136.380","136.380","136.380","-0.42%"
"Dec 02, 2022","136.960","136.960","136.960","136.960","-0.05%"
"Dec 01, 2022","137.030","137.030","137.030","137.030","0.31%"
"Nov 30, 2022","136.610","136.610","136.610","136.610","0.67%"
"Nov 29, 2022","135.700","135.700","135.700","135.700","0.21%"
"Nov 28, 2022","135.420","135.420","135.420","135.420","-0.29%"
"Nov 25, 2022","135.810","135.810","135.810","135.810","-0.24%"
"Nov 24, 2022","136.130","136.130","136.130","136.130","0.29%"
"Nov 23, 2022","135.730","135.730","135.730","135.730","0.21%"
"Nov 22, 2022","135.450","135.450","135.450","135.450","0.24%"
"Nov 21, 2022","135.120","135.120","135.120","135.120","0.13%"
"Nov 18, 2022","134.940","134.940","134.940","134.940","0.10%"
"Nov 17, 2022","134.810","134.810","134.810","134.810","-0.16%"
"Nov 16, 2022","135.020","135.020","135.020","135.020","-0.16%"
"Nov 15, 2022","135.240","135.240","135.240","135.240","0.34%"
"Nov 14, 2022","134.780","134.780","134.780","134.780","-0.16%"
"Nov 10, 2022","134.990","134.990","134.990","134.990","1.41%"
"Nov 09, 2022","133.110","133.110","133.110","133.110","-0.02%"
"Nov 08, 2022","133.130","133.130","133.130","133.130","0.26%"
"Nov 07, 2022","132.780","132.780","132.780","132.780","-0.04%"
"Nov 04, 2022","132.830","132.830","132.830","132.830","0.15%"
"Nov 03, 2022","132.630","132.630","132.630","132.630","-0.33%"
"Nov 02, 2022","133.070","133.070","133.070","133.070","-0.28%"
"Oct 31, 2022","133.440","133.440","133.440","133.440","0.01%"
"Oct 28, 2022","133.420","133.420","133.420","133.420","-0.04%"
"Oct 27, 2022","133.470","133.470","133.470","133.470","0.49%"
"Oct 26, 2022","132.820","132.820","132.820","132.820","0.05%"
"Oct 25, 2022","132.760","132.760","132.760","132.760","0.67%"
"Oct 24, 2022","131.880","131.880","131.880","131.880","0.27%"
"Oct 21, 2022","131.530","131.530","131.530","131.530","0.31%"
"Oct 20, 2022","131.130","131.130","131.130","131.130","-0.27%"
"Oct 19, 2022","131.480","131.480","131.480","131.480","-0.40%"
"Oct 18, 2022","132.010","132.010","132.010","132.010","0.11%"
"Oct 17, 2022","131.870","131.870","131.870","131.870","0.55%"
"Oct 14, 2022","131.150","131.150","131.150","131.150","-0.39%"
"Oct 13, 2022","131.670","131.670","131.670","131.670","0.20%"
"Oct 12, 2022","131.410","131.410","131.410","131.410","-0.13%"
"Oct 11, 2022","131.580","131.580","131.580","131.580","-0.31%"
