"Date","Price","Open","High","Low","Change %"
"Jan 20, 2023","26,266.590","26,266.590","26,266.590","26,266.590","-0.02%"
"Jan 19, 2023","26,272.689","26,272.689","26,272.689","26,272.689","-0.88%"
"Jan 18, 2023","26,506.029","26,506.029","26,506.029","26,506.029","0.14%"
"Jan 17, 2023","26,468.490","26,468.490","26,468.490","26,468.490","0.39%"
"Jan 16, 2023","26,364.471","26,364.471","26,364.471","26,364.471","0.16%"
"Jan 13, 2023","26,321.051","26,321.051","26,321.051","26,321.051","0.18%"
"Jan 12, 2023","26,274.561","26,274.561","26,274.561","26,274.561","0.28%"
"Jan 11, 2023","26,200.580","26,200.580","26,200.580","26,200.580","0.65%"
"Jan 10, 2023","26,032.660","26,032.660","26,032.660","26,032.660","-0.32%"
"Jan 09, 2023","26,115.070","26,115.070","26,115.070","26,115.070","0.23%"
"Jan 06, 2023","26,054.561","26,054.561","26,054.561","26,054.561","0.79%"
"Jan 05, 2023","25,851.609","25,851.609","25,851.609","25,851.609","-0.34%"
"Jan 04, 2023","25,939.830","25,939.830","25,939.830","25,939.830","0.88%"
"Jan 03, 2023","25,714.000","25,714.000","25,714.000","25,714.000","0.57%"
"Jan 02, 2023","25,567.539","25,567.539","25,567.539","25,567.539","0.77%"
"Dec 30, 2022","25,372.270","25,372.270","25,372.270","25,372.270","-0.83%"
"Dec 29, 2022","25,583.391","25,583.391","25,583.391","25,583.391","0.62%"
"Dec 28, 2022","25,425.400","25,425.400","25,425.400","25,425.400","-0.14%"
"Dec 27, 2022","25,461.869","25,461.869","25,461.869","25,461.869","-0.27%"
"Dec 23, 2022","25,531.990","25,531.990","25,531.990","25,531.990","-0.00%"
"Dec 22, 2022","25,532.100","25,532.100","25,532.100","25,532.100","-0.49%"
"Dec 21, 2022","25,657.811","25,657.811","25,657.811","25,657.811","0.86%"
"Dec 20, 2022","25,439.779","25,439.779","25,439.779","25,439.779","-0.50%"
"Dec 19, 2022","25,567.311","25,567.311","25,567.311","25,567.311","-0.14%"
"Dec 16, 2022","25,603.311","25,603.311","25,603.311","25,603.311","-0.72%"
"Dec 15, 2022","25,788.619","25,788.619","25,788.619","25,788.619","-1.84%"
"Dec 14, 2022","26,273.289","26,273.289","26,273.289","26,273.289","-0.08%"
"Dec 13, 2022","26,293.480","26,293.480","26,293.480","26,293.480","0.61%"
"Dec 12, 2022","26,133.340","26,133.340","26,133.340","26,133.340","0.05%"
"Dec 09, 2022","26,120.900","26,120.900","26,120.900","26,120.900","-0.09%"
"Dec 08, 2022","26,145.439","26,145.439","26,145.439","26,145.439","-0.09%"
"Dec 07, 2022","26,169.131","26,169.131","26,169.131","26,169.131","-0.11%"
"Dec 06, 2022","26,198.789","26,198.789","26,198.789","26,198.789","-0.23%"
"Dec 05, 2022","26,258.850","26,258.850","26,258.850","26,258.850","-0.35%"
"Dec 02, 2022","26,351.500","26,351.500","26,351.500","26,351.500","-0.08%"
"Dec 01, 2022","26,373.410","26,373.410","26,373.410","26,373.410","0.59%"
"Nov 30, 2022","26,218.199","26,218.199","26,218.199","26,218.199","0.60%"
"Nov 29, 2022","26,060.600","26,060.600","26,060.600","26,060.600","0.08%"
"Nov 28, 2022","26,039.510","26,039.510","26,039.510","26,039.510","-0.56%"
"Nov 25, 2022","26,185.570","26,185.570","26,185.570","26,185.570","-0.27%"
"Nov 24, 2022","26,255.570","26,255.570","26,255.570","26,255.570","0.41%"
"Nov 23, 2022","26,148.980","26,148.980","26,148.980","26,148.980","0.36%"
"Nov 22, 2022","26,055.699","26,055.699","26,055.699","26,055.699","0.37%"
"Nov 21, 2022","25,958.359","25,958.359","25,958.359","25,958.359","0.04%"
"Nov 18, 2022","25,946.920","25,946.920","25,946.920","25,946.920","0.50%"
"Nov 17, 2022","25,817.891","25,817.891","25,817.891","25,817.891","-0.22%"
"Nov 16, 2022","25,875.189","25,875.189","25,875.189","25,875.189","-0.27%"
"Nov 15, 2022","25,946.250","25,946.250","25,946.250","25,946.250","0.29%"
"Nov 14, 2022","25,871.141","25,871.141","25,871.141","25,871.141","-0.22%"
"Nov 10, 2022","25,928.369","25,928.369","25,928.369","25,928.369","2.17%"
"Nov 09, 2022","25,378.279","25,378.279","25,378.279","25,378.279","0.01%"
"Nov 08, 2022","25,375.570","25,375.570","25,375.570","25,375.570","0.54%"
"Nov 07, 2022","25,240.020","25,240.020","25,240.020","25,240.020","0.20%"
"Nov 04, 2022","25,190.141","25,190.141","25,190.141","25,190.141","0.54%"
"Nov 03, 2022","25,055.711","25,055.711","25,055.711","25,055.711","-0.55%"
"Nov 02, 2022","25,194.920","25,194.920","25,194.920","25,194.920","-0.36%"
"Oct 31, 2022","25,286.189","25,286.189","25,286.189","25,286.189","-0.11%"
"Oct 28, 2022","25,314.420","25,314.420","25,314.420","25,314.420","-0.16%"
"Oct 27, 2022","25,353.930","25,353.930","25,353.930","25,353.930","0.56%"
"Oct 26, 2022","25,213.100","25,213.100","25,213.100","25,213.100","0.18%"
"Oct 25, 2022","25,168.920","25,168.920","25,168.920","25,168.920","1.41%"
"Oct 24, 2022","24,819.381","24,819.381","24,819.381","24,819.381","0.84%"
"Oct 21, 2022","24,613.590","24,613.590","24,613.590","24,613.590","0.10%"
"Oct 20, 2022","24,588.039","24,588.039","24,588.039","24,588.039","-0.08%"
"Oct 19, 2022","24,608.100","24,608.100","24,608.100","24,608.100","-0.65%"
"Oct 18, 2022","24,769.770","24,769.770","24,769.770","24,769.770","0.40%"
"Oct 17, 2022","24,671.789","24,671.789","24,671.789","24,671.789","1.11%"
"Oct 14, 2022","24,399.961","24,399.961","24,399.961","24,399.961","-0.24%"
"Oct 13, 2022","24,457.779","24,457.779","24,457.779","24,457.779","0.48%"
"Oct 12, 2022","24,341.350","24,341.350","24,341.350","24,341.350","-0.32%"
"Oct 11, 2022","24,419.410","24,419.410","24,419.410","24,419.410","-0.27%"
"Oct 10, 2022","24,486.650","24,486.650","24,486.650","24,486.650","-0.25%"
"Oct 07, 2022","24,547.561","24,547.561","24,547.561","24,547.561","-1.27%"
"Oct 06, 2022","24,864.500","24,864.500","24,864.500","24,864.500","-0.32%"
"Oct 05, 2022","24,943.520","24,943.520","24,943.520","24,943.520","0.94%"
