"Date","Price","Open","High","Low","Change %"
"Jan 19, 2023","154.020","154.020","154.020","154.020","-0.52%"
"Jan 18, 2023","154.830","154.830","154.830","154.830","-0.09%"
"Jan 17, 2023","154.970","154.970","154.970","154.970","0.36%"
"Jan 13, 2023","154.420","154.420","154.420","154.420","0.26%"
"Jan 12, 2023","154.020","154.020","154.020","154.020","0.29%"
"Jan 11, 2023","153.570","153.570","153.570","153.570","0.49%"
"Jan 10, 2023","152.820","152.820","152.820","152.820","0.05%"
"Jan 09, 2023","152.750","152.750","152.750","152.750","-0.02%"
"Jan 06, 2023","152.780","152.780","152.780","152.780","0.66%"
"Jan 05, 2023","151.780","151.780","151.780","151.780","-0.17%"
"Jan 04, 2023","152.040","152.040","152.040","152.040","0.50%"
"Jan 03, 2023","151.280","151.280","151.280","151.280","1.05%"
"Dec 30, 2022","149.710","149.710","149.710","149.710","-0.43%"
"Dec 29, 2022","150.350","150.350","150.350","150.350","0.48%"
"Dec 28, 2022","149.630","149.630","149.630","149.630","-0.11%"
"Dec 27, 2022","149.800","149.800","149.800","149.800","-0.33%"
"Dec 23, 2022","150.290","150.290","150.290","150.290","-0.07%"
"Dec 22, 2022","150.390","150.390","150.390","150.390","-0.42%"
"Dec 21, 2022","151.030","151.030","151.030","151.030","0.79%"
"Dec 20, 2022","149.850","149.850","149.850","149.850","-0.35%"
"Dec 19, 2022","150.380","150.380","150.380","150.380","-0.25%"
"Dec 16, 2022","150.750","150.750","150.750","150.750","-0.70%"
"Dec 15, 2022","151.820","151.820","151.820","151.820","-1.53%"
"Dec 14, 2022","154.180","154.180","154.180","154.180","-0.14%"
"Dec 13, 2022","154.400","154.400","154.400","154.400","0.32%"
"Dec 12, 2022","153.910","153.910","153.910","153.910","0.20%"
"Dec 09, 2022","153.600","153.600","153.600","153.600","-0.10%"
"Dec 08, 2022","153.750","153.750","153.750","153.750","0.06%"
"Dec 07, 2022","153.660","153.660","153.660","153.660","-0.20%"
"Dec 06, 2022","153.970","153.970","153.970","153.970","-0.40%"
"Dec 05, 2022","154.590","154.590","154.590","154.590","-0.78%"
"Dec 02, 2022","155.800","155.800","155.800","155.800","-0.06%"
"Dec 01, 2022","155.890","155.890","155.890","155.890","0.05%"
"Nov 30, 2022","155.810","155.810","155.810","155.810","1.20%"
"Nov 29, 2022","153.970","153.970","153.970","153.970","0.19%"
"Nov 28, 2022","153.680","153.680","153.680","153.680","-0.57%"
"Nov 25, 2022","154.560","154.560","154.560","154.560","0.10%"
"Nov 23, 2022","154.410","154.410","154.410","154.410","0.19%"
"Nov 22, 2022","154.110","154.110","154.110","154.110","0.35%"
"Nov 21, 2022","153.580","153.580","153.580","153.580","0.22%"
"Nov 18, 2022","153.240","153.240","153.240","153.240","0.24%"
"Nov 17, 2022","152.880","152.880","152.880","152.880","-0.15%"
"Nov 16, 2022","153.110","153.110","153.110","153.110","-0.64%"
"Nov 15, 2022","154.100","154.100","154.100","154.100","0.46%"
"Nov 14, 2022","153.400","153.400","153.400","153.400","-0.20%"
"Nov 10, 2022","153.710","153.710","153.710","153.710","2.09%"
"Nov 09, 2022","150.560","150.560","150.560","150.560","-0.36%"
"Nov 08, 2022","151.110","151.110","151.110","151.110","0.29%"
"Nov 07, 2022","150.670","150.670","150.670","150.670","-0.01%"
"Nov 04, 2022","150.680","150.680","150.680","150.680","0.32%"
"Nov 03, 2022","150.200","150.200","150.200","150.200","-0.33%"
"Nov 02, 2022","150.690","150.690","150.690","150.690","-0.62%"
"Oct 31, 2022","151.630","151.630","151.630","151.630","0.12%"
"Oct 28, 2022","151.450","151.450","151.450","151.450","0.38%"
"Oct 27, 2022","150.870","150.870","150.870","150.870","0.27%"
"Oct 26, 2022","150.460","150.460","150.460","150.460","-0.15%"
"Oct 25, 2022","150.690","150.690","150.690","150.690","0.89%"
"Oct 24, 2022","149.360","149.360","149.360","149.360","0.29%"
"Oct 21, 2022","148.930","148.930","148.930","148.930","0.55%"
