"Date","Price","Open","High","Low","Change %"
"Jan 19, 2023","411.490","411.490","411.490","411.490","-0.59%"
"Jan 18, 2023","413.930","413.930","413.930","413.930","-0.14%"
"Jan 17, 2023","414.530","414.530","414.530","414.530","0.28%"
"Jan 16, 2023","413.360","413.360","413.360","413.360","0.13%"
"Jan 13, 2023","412.810","412.810","412.810","412.810","0.19%"
"Jan 12, 2023","412.010","412.010","412.010","412.010","0.27%"
"Jan 11, 2023","410.890","410.890","410.890","410.890","0.61%"
"Jan 10, 2023","408.410","408.410","408.410","408.410","-0.22%"
"Jan 09, 2023","409.320","409.320","409.320","409.320","0.03%"
"Jan 06, 2023","409.180","409.180","409.180","409.180","0.80%"
"Jan 05, 2023","405.950","405.950","405.950","405.950","-0.27%"
"Jan 04, 2023","407.040","407.040","407.040","407.040","0.72%"
"Jan 03, 2023","404.120","404.120","404.120","404.120","0.58%"
"Jan 02, 2023","401.790","401.790","401.790","401.790","0.40%"
"Dec 30, 2022","400.180","400.180","400.180","400.180","-0.51%"
"Dec 29, 2022","402.220","402.220","402.220","402.220","0.43%"
"Dec 28, 2022","400.490","400.490","400.490","400.490","-0.19%"
"Dec 27, 2022","401.270","401.270","401.270","401.270","-0.38%"
"Dec 23, 2022","402.800","402.800","402.800","402.800","0.02%"
"Dec 22, 2022","402.720","402.720","402.720","402.720","-0.70%"
"Dec 21, 2022","405.540","405.540","405.540","405.540","0.75%"
"Dec 20, 2022","402.520","402.520","402.520","402.520","-0.49%"
"Dec 19, 2022","404.500","404.500","404.500","404.500","-0.14%"
"Dec 16, 2022","405.050","405.050","405.050","405.050","-0.62%"
"Dec 15, 2022","407.560","407.560","407.560","407.560","-1.80%"
"Dec 14, 2022","415.050","415.050","415.050","415.050","-0.25%"
"Dec 13, 2022","416.110","416.110","416.110","416.110","0.47%"
"Dec 12, 2022","414.160","414.160","414.160","414.160","0.04%"
"Dec 09, 2022","414.010","414.010","414.010","414.010","-0.16%"
"Dec 08, 2022","414.670","414.670","414.670","414.670","0.06%"
"Dec 07, 2022","414.430","414.430","414.430","414.430","-0.18%"
"Dec 06, 2022","415.170","415.170","415.170","415.170","-0.38%"
"Dec 05, 2022","416.770","416.770","416.770","416.770","-0.68%"
"Dec 02, 2022","419.630","419.630","419.630","419.630","-0.22%"
"Dec 01, 2022","420.540","420.540","420.540","420.540","0.10%"
"Nov 30, 2022","420.120","420.120","420.120","420.120","0.89%"
"Nov 29, 2022","416.410","416.410","416.410","416.410","0.26%"
"Nov 28, 2022","415.340","415.340","415.340","415.340","-0.51%"
"Nov 25, 2022","417.480","417.480","417.480","417.480","-0.31%"
"Nov 24, 2022","418.760","418.760","418.760","418.760","0.34%"
"Nov 23, 2022","417.330","417.330","417.330","417.330","0.14%"
"Nov 22, 2022","416.730","416.730","416.730","416.730","0.41%"
"Nov 21, 2022","415.040","415.040","415.040","415.040","0.32%"
"Nov 18, 2022","413.700","413.700","413.700","413.700","0.29%"
"Nov 17, 2022","412.520","412.520","412.520","412.520","-0.21%"
"Nov 16, 2022","413.400","413.400","413.400","413.400","-0.59%"
"Nov 15, 2022","415.840","415.840","415.840","415.840","0.40%"
"Nov 10, 2022","414.200","414.200","414.200","414.200","1.35%"
"Nov 08, 2022","408.700","408.700","408.700","408.700","0.26%"
"Nov 07, 2022","407.660","407.660","407.660","407.660","0.14%"
"Nov 04, 2022","407.100","407.100","407.100","407.100","-0.03%"
"Nov 03, 2022","407.240","407.240","407.240","407.240","-0.47%"
"Nov 02, 2022","409.170","409.170","409.170","409.170","-0.15%"
"Oct 31, 2022","409.800","409.800","409.800","409.800","0.20%"
"Oct 28, 2022","408.970","408.970","408.970","408.970","0.46%"
"Oct 27, 2022","407.100","407.100","407.100","407.100","0.41%"
"Oct 26, 2022","405.450","405.450","405.450","405.450","0.02%"
"Oct 25, 2022","405.380","405.380","405.380","405.380","0.79%"
"Oct 24, 2022","402.220","402.220","402.220","402.220","0.38%"
"Oct 21, 2022","400.700","400.700","400.700","400.700","0.37%"
"Oct 20, 2022","399.230","399.230","399.230","399.230","-0.24%"
"Oct 19, 2022","400.210","400.210","400.210","400.210","-0.23%"
"Oct 18, 2022","401.140","401.140","401.140","401.140","0.37%"
"Oct 17, 2022","399.650","399.650","399.650","399.650","0.57%"
"Oct 14, 2022","397.370","397.370","397.370","397.370","-0.22%"
"Oct 13, 2022","398.230","398.230","398.230","398.230","0.27%"
"Oct 12, 2022","397.170","397.170","397.170","397.170","-0.31%"
"Oct 11, 2022","398.420","398.420","398.420","398.420","-0.44%"
"Oct 10, 2022","400.170","400.170","400.170","400.170","-0.40%"
"Oct 07, 2022","401.770","401.770","401.770","401.770","-1.17%"
"Oct 06, 2022","406.520","406.520","406.520","406.520","-0.15%"
"Oct 05, 2022","407.150","407.150","407.150","407.150","-0.15%"
"Oct 04, 2022","407.770","407.770","407.770","407.770","2.29%"
"Sep 29, 2022","398.660","398.660","398.660","398.660","-1.48%"
"Sep 28, 2022","404.660","404.660","404.660","404.660","0.28%"
"Sep 27, 2022","403.540","403.540","403.540","403.540","-0.33%"
"Sep 26, 2022","404.880","404.880","404.880","404.880","-0.43%"
"Sep 23, 2022","406.640","406.640","406.640","406.640","-0.78%"
"Sep 22, 2022","409.840","409.840","409.840","409.840","-0.87%"
"Sep 21, 2022","413.450","413.450","413.450","413.450","0.36%"
"Sep 20, 2022","411.950","411.950","411.950","411.950","-0.59%"
"Sep 19, 2022","414.410","414.410","414.410","414.410","0.15%"
"Sep 16, 2022","413.770","413.770","413.770","413.770","-1.02%"
"Sep 15, 2022","418.030","418.030","418.030","418.030","-0.37%"
"Sep 14, 2022","419.570","419.570","419.570","419.570","-0.33%"
"Sep 13, 2022","420.940","420.940","420.940","420.940","-1.16%"
"Sep 12, 2022","425.900","425.900","425.900","425.900","0.41%"
"Sep 09, 2022","424.180","424.180","424.180","424.180","0.43%"
"Sep 08, 2022","422.370","422.370","422.370","422.370","0.36%"
"Sep 07, 2022","420.840","420.840","420.840","420.840","0.06%"
"Sep 06, 2022","420.570","420.570","420.570","420.570","-0.14%"
"Sep 05, 2022","421.140","421.140","421.140","421.140","-0.23%"
"Sep 02, 2022","422.130","422.130","422.130","422.130","0.27%"
"Sep 01, 2022","421.010","421.010","421.010","421.010","-0.20%"
"Aug 31, 2022","421.840","421.840","421.840","421.840","-0.67%"
"Aug 30, 2022","424.670","424.670","424.670","424.670","-0.87%"
"Aug 29, 2022","428.380","428.380","428.380","428.380","-0.54%"
"Aug 26, 2022","430.710","430.710","430.710","430.710","-1.26%"
"Aug 25, 2022","436.210","436.210","436.210","436.210","0.68%"
"Aug 24, 2022","433.250","433.250","433.250","433.250","-0.02%"
"Aug 23, 2022","433.320","433.320","433.320","433.320","-0.30%"
"Aug 22, 2022","434.640","434.640","434.640","434.640","-0.64%"
"Aug 19, 2022","437.430","437.430","437.430","437.430","-0.55%"
"Aug 18, 2022","439.860","439.860","439.860","439.860","0.25%"
"Aug 17, 2022","438.750","438.750","438.750","438.750","-0.66%"
"Aug 16, 2022","441.660","441.660","441.660","441.660","0.61%"
"Aug 12, 2022","438.990","438.990","438.990","438.990","0.78%"
"Aug 11, 2022","435.590","435.590","435.590","435.590","0.27%"
"Aug 10, 2022","434.430","434.430","434.430","434.430","0.41%"
"Aug 09, 2022","432.670","432.670","432.670","432.670","-0.60%"
"Aug 08, 2022","435.270","435.270","435.270","435.270","0.11%"
"Aug 05, 2022","434.800","434.800","434.800","434.800","-0.19%"
"Aug 04, 2022","435.620","435.620","435.620","435.620","-0.12%"
"Aug 03, 2022","436.140","436.140","436.140","436.140","0.39%"
"Aug 02, 2022","434.450","434.450","434.450","434.450","0.00%"
"Aug 01, 2022","434.440","434.440","434.440","434.440","0.02%"
"Jul 29, 2022","434.370","434.370","434.370","434.370","0.37%"
"Jul 28, 2022","432.780","432.780","432.780","432.780","0.94%"
"Jul 27, 2022","428.750","428.750","428.750","428.750","0.69%"
"Jul 26, 2022","425.810","425.810","425.810","425.810","0.15%"
"Jul 25, 2022","425.160","425.160","425.160","425.160","0.12%"
"Jul 22, 2022","424.660","424.660","424.660","424.660","0.62%"
"Jul 20, 2022","422.040","422.040","422.040","422.040","0.71%"
"Jul 19, 2022","419.070","419.070","419.070","419.070","0.40%"
"Jul 18, 2022","417.420","417.420","417.420","417.420","-0.30%"
"Jul 15, 2022","418.660","418.660","418.660","418.660","0.86%"
"Jul 14, 2022","415.090","415.090","415.090","415.090","-0.28%"
"Jul 13, 2022","416.250","416.250","416.250","416.250","-0.87%"
"Jul 12, 2022","419.890","419.890","419.890","419.890","0.16%"
"Jul 11, 2022","419.220","419.220","419.220","419.220","-0.14%"
"Jul 08, 2022","419.810","419.810","419.810","419.810","0.09%"
"Jul 07, 2022","419.450","419.450","419.450","419.450","0.87%"
"Jul 06, 2022","415.820","415.820","415.820","415.820","0.86%"
"Jul 05, 2022","412.290","412.290","412.290","412.290","0.56%"
"Jul 04, 2022","410.010","410.010","410.010","410.010","-0.19%"
"Jul 01, 2022","410.810","410.810","410.810","410.810","0.85%"
"Jun 30, 2022","407.350","407.350","407.350","407.350","-0.28%"
"Jun 29, 2022","408.510","408.510","408.510","408.510","-0.12%"
"Jun 28, 2022","409.020","409.020","409.020","409.020","-0.35%"
"Jun 27, 2022","410.470","410.470","410.470","410.470","-0.17%"
"Jun 24, 2022","411.170","411.170","411.170","411.170","1.18%"
"Jun 23, 2022","406.380","406.380","406.380","406.380","0.91%"
"Jun 22, 2022","402.730","402.730","402.730","402.730","0.05%"
"Jun 21, 2022","402.530","402.530","402.530","402.530","0.61%"
"Jun 20, 2022","400.080","400.080","400.080","400.080","-0.21%"
"Jun 17, 2022","400.940","400.940","400.940","400.940","0.50%"
"Jun 16, 2022","398.950","398.950","398.950","398.950","-1.99%"
"Jun 15, 2022","407.030","407.030","407.030","407.030","0.86%"
"Jun 14, 2022","403.550","403.550","403.550","403.550","-0.59%"
"Jun 13, 2022","405.950","405.950","405.950","405.950","-1.98%"
"Jun 10, 2022","414.170","414.170","414.170","414.170","-1.40%"
"Jun 09, 2022","420.060","420.060","420.060","420.060","-0.77%"
"Jun 08, 2022","423.310","423.310","423.310","423.310","-0.42%"
"Jun 07, 2022","425.110","425.110","425.110","425.110","0.30%"
"Jun 03, 2022","423.830","423.830","423.830","423.830","-0.49%"
"Jun 02, 2022","425.900","425.900","425.900","425.900","0.14%"
"Jun 01, 2022","425.300","425.300","425.300","425.300","-0.29%"
"May 31, 2022","426.530","426.530","426.530","426.530","-0.37%"
"May 30, 2022","428.110","428.110","428.110","428.110","1.96%"
"May 25, 2022","419.900","419.900","419.900","419.900","0.78%"
"May 24, 2022","416.650","416.650","416.650","416.650","-0.83%"
"May 23, 2022","420.140","420.140","420.140","420.140","0.26%"
"May 20, 2022","419.060","419.060","419.060","419.060","0.19%"
"May 19, 2022","418.280","418.280","418.280","418.280","-0.80%"
"May 18, 2022","421.640","421.640","421.640","421.640","-1.05%"
"May 17, 2022","426.120","426.120","426.120","426.120","0.07%"
"May 16, 2022","425.810","425.810","425.810","425.810","-0.24%"
"May 13, 2022","426.820","426.820","426.820","426.820","1.24%"
"May 12, 2022","421.610","421.610","421.610","421.610","0.26%"
"May 11, 2022","420.510","420.510","420.510","420.510","0.04%"
"May 10, 2022","420.340","420.340","420.340","420.340","-0.05%"
"May 09, 2022","420.560","420.560","420.560","420.560","-1.50%"
"May 06, 2022","426.950","426.950","426.950","426.950","-1.27%"
"May 05, 2022","432.450","432.450","432.450","432.450","-0.78%"
"May 04, 2022","435.870","435.870","435.870","435.870","0.00%"
"May 03, 2022","435.870","435.870","435.870","435.870","0.17%"
"May 02, 2022","435.110","435.110","435.110","435.110","-0.58%"
"Apr 29, 2022","437.650","437.650","437.650","437.650","-0.72%"
"Apr 28, 2022","440.820","440.820","440.820","440.820","0.47%"
"Apr 27, 2022","438.770","438.770","438.770","438.770","0.54%"
"Apr 26, 2022","436.410","436.410","436.410","436.410","-0.42%"
"Apr 25, 2022","438.230","438.230","438.230","438.230","-0.26%"
"Apr 22, 2022","439.360","439.360","439.360","439.360","-1.30%"
"Apr 21, 2022","445.130","445.130","445.130","445.130","-0.38%"
"Apr 20, 2022","446.830","446.830","446.830","446.830","0.06%"
"Apr 19, 2022","446.560","446.560","446.560","446.560","-0.10%"
"Apr 14, 2022","446.990","446.990","446.990","446.990","0.01%"
"Apr 13, 2022","446.960","446.960","446.960","446.960","0.28%"
"Apr 12, 2022","445.710","445.710","445.710","445.710","-0.04%"
"Apr 11, 2022","445.900","445.900","445.900","445.900","-1.20%"
"Apr 08, 2022","451.310","451.310","451.310","451.310","0.38%"
"Apr 07, 2022","449.580","449.580","449.580","449.580","-0.08%"
"Apr 06, 2022","449.920","449.920","449.920","449.920","-1.00%"
"Apr 05, 2022","454.460","454.460","454.460","454.460","-0.22%"
"Apr 04, 2022","455.460","455.460","455.460","455.460","0.79%"
"Apr 01, 2022","451.910","451.910","451.910","451.910","0.28%"
"Mar 31, 2022","450.640","450.640","450.640","450.640","-0.13%"
"Mar 30, 2022","451.210","451.210","451.210","451.210","-0.35%"
"Mar 29, 2022","452.780","452.780","452.780","452.780","0.16%"
"Mar 28, 2022","452.040","452.040","452.040","452.040","0.23%"
"Mar 25, 2022","451.020","451.020","451.020","451.020","0.20%"
"Mar 24, 2022","450.120","450.120","450.120","450.120","0.12%"
"Mar 23, 2022","449.570","449.570","449.570","449.570","-0.39%"
"Mar 22, 2022","451.320","451.320","451.320","451.320","0.53%"
"Mar 21, 2022","448.960","448.960","448.960","448.960","0.03%"
"Mar 18, 2022","448.810","448.810","448.810","448.810","1.04%"
"Mar 17, 2022","444.190","444.190","444.190","444.190","0.25%"
"Mar 16, 2022","443.070","443.070","443.070","443.070","1.32%"
"Mar 15, 2022","437.290","437.290","437.290","437.290","0.61%"
"Mar 14, 2022","434.620","434.620","434.620","434.620","-0.74%"
"Mar 11, 2022","437.850","437.850","437.850","437.850","0.01%"
"Mar 10, 2022","437.810","437.810","437.810","437.810","-0.48%"
"Mar 09, 2022","439.900","439.900","439.900","439.900","0.40%"
"Mar 08, 2022","438.150","438.150","438.150","438.150","-1.05%"
"Mar 07, 2022","442.790","442.790","442.790","442.790","-1.22%"
"Mar 04, 2022","448.270","448.270","448.270","448.270","-0.04%"
"Mar 03, 2022","448.470","448.470","448.470","448.470","-0.34%"
"Mar 02, 2022","449.990","449.990","449.990","449.990","0.58%"
"Mar 01, 2022","447.380","447.380","447.380","447.380","0.33%"
"Feb 28, 2022","445.900","445.900","445.900","445.900","0.22%"
"Feb 25, 2022","444.900","444.900","444.900","444.900","1.06%"
"Feb 24, 2022","440.250","440.250","440.250","440.250","0.09%"
"Feb 23, 2022","439.870","439.870","439.870","439.870","-0.55%"
"Feb 22, 2022","442.310","442.310","442.310","442.310","-0.40%"
"Feb 21, 2022","444.100","444.100","444.100","444.100","-0.39%"
"Feb 18, 2022","445.830","445.830","445.830","445.830","-0.41%"
"Feb 17, 2022","447.680","447.680","447.680","447.680","-0.58%"
"Feb 16, 2022","450.280","450.280","450.280","450.280","0.04%"
"Feb 15, 2022","450.100","450.100","450.100","450.100","0.56%"
"Feb 14, 2022","447.600","447.600","447.600","447.600","-0.44%"
"Feb 11, 2022","449.570","449.570","449.570","449.570","-0.65%"
"Feb 10, 2022","452.490","452.490","452.490","452.490","-0.72%"
"Feb 09, 2022","455.790","455.790","455.790","455.790","1.09%"
"Feb 08, 2022","450.880","450.880","450.880","450.880","0.20%"
"Feb 07, 2022","449.970","449.970","449.970","449.970","0.01%"
"Feb 04, 2022","449.920","449.920","449.920","449.920","-0.58%"
"Feb 03, 2022","452.540","452.540","452.540","452.540","-1.55%"
"Feb 02, 2022","459.650","459.650","459.650","459.650","0.32%"
"Feb 01, 2022","458.200","458.200","458.200","458.200","0.28%"
"Jan 31, 2022","456.930","456.930","456.930","456.930","0.86%"
"Jan 28, 2022","453.050","453.050","453.050","453.050","-0.09%"
"Jan 27, 2022","453.480","453.480","453.480","453.480","0.18%"
"Jan 26, 2022","452.680","452.680","452.680","452.680","0.48%"
"Jan 25, 2022","450.510","450.510","450.510","450.510","-0.01%"
"Jan 24, 2022","450.550","450.550","450.550","450.550","-1.22%"
"Jan 21, 2022","456.120","456.120","456.120","456.120","-1.12%"
"Jan 20, 2022","461.270","461.270","461.270","461.270","0.20%"
"Jan 19, 2022","460.330","460.330","460.330","460.330","-0.33%"
"Jan 18, 2022","461.870","461.870","461.870","461.870","-0.59%"
"Jan 17, 2022","464.590","464.590","464.590","464.590","0.12%"
"Jan 14, 2022","464.010","464.010","464.010","464.010","-0.64%"
"Jan 13, 2022","467.010","467.010","467.010","467.010","-0.47%"
"Jan 12, 2022","469.210","469.210","469.210","469.210","0.32%"
"Jan 11, 2022","467.720","467.720","467.720","467.720","0.54%"
"Jan 10, 2022","465.190","465.190","465.190","465.190","-0.53%"
"Jan 07, 2022","467.670","467.670","467.670","467.670","-0.61%"
"Jan 06, 2022","470.530","470.530","470.530","470.530","-0.68%"
"Jan 05, 2022","473.760","473.760","473.760","473.760","-0.73%"
"Jan 04, 2022","477.260","477.260","477.260","477.260","0.10%"
"Jan 03, 2022","476.760","476.760","476.760","476.760","0.02%"
"Dec 31, 2021","476.670","476.670","476.670","476.670","-0.18%"
"Dec 30, 2021","477.550","477.550","477.550","477.550","0.16%"
"Dec 29, 2021","476.780","476.780","476.780","476.780","-0.30%"
"Dec 28, 2021","478.210","478.210","478.210","478.210","0.22%"
"Dec 27, 2021","477.150","477.150","477.150","477.150","0.49%"
"Dec 24, 2021","474.820","474.820","474.820","474.820","-0.03%"
"Dec 23, 2021","474.980","474.980","474.980","474.980","0.40%"
"Dec 22, 2021","473.070","473.070","473.070","473.070","0.45%"
"Dec 21, 2021","470.950","470.950","470.950","470.950","0.90%"
"Dec 20, 2021","466.750","466.750","466.750","466.750","-1.33%"
"Dec 17, 2021","473.050","473.050","473.050","473.050","-0.34%"
"Dec 16, 2021","474.650","474.650","474.650","474.650","0.01%"
"Dec 15, 2021","474.620","474.620","474.620","474.620","0.48%"
"Dec 14, 2021","472.360","472.360","472.360","472.360","-0.68%"
"Dec 13, 2021","475.600","475.600","475.600","475.600","-0.18%"
"Dec 10, 2021","476.480","476.480","476.480","476.480","-0.04%"
"Dec 09, 2021","476.690","476.690","476.690","476.690","0.09%"
"Dec 08, 2021","476.280","476.280","476.280","476.280","-0.58%"
"Dec 07, 2021","479.050","479.050","479.050","479.050","1.56%"
"Dec 06, 2021","471.700","471.700","471.700","471.700","0.58%"
"Dec 03, 2021","468.970","468.970","468.970","468.970","-0.33%"
"Dec 02, 2021","470.530","470.530","470.530","470.530","0.13%"
"Dec 01, 2021","469.930","469.930","469.930","469.930","-0.05%"
"Nov 30, 2021","470.160","470.160","470.160","470.160","-0.80%"
"Nov 29, 2021","473.950","473.950","473.950","473.950","0.79%"
"Nov 26, 2021","470.230","470.230","470.230","470.230","-1.90%"
"Nov 25, 2021","479.320","479.320","479.320","479.320","0.15%"
"Nov 24, 2021","478.620","478.620","478.620","478.620","0.41%"
"Nov 23, 2021","476.670","476.670","476.670","476.670","-0.81%"
