"Date","Price","Open","High","Low","Change %"
"Jan 19, 2023","352.360","352.360","352.360","352.360","-0.44%"
"Jan 18, 2023","353.920","353.920","353.920","353.920","0.12%"
"Jan 17, 2023","353.480","353.480","353.480","353.480","0.35%"
"Jan 16, 2023","352.230","352.230","352.230","352.230","0.08%"
"Jan 13, 2023","351.960","351.960","351.960","351.960","0.15%"
"Jan 12, 2023","351.440","351.440","351.440","351.440","0.33%"
"Jan 11, 2023","350.290","350.290","350.290","350.290","0.57%"
"Jan 10, 2023","348.310","348.310","348.310","348.310","-0.23%"
"Jan 09, 2023","349.110","349.110","349.110","349.110","0.03%"
"Jan 06, 2023","349.020","349.020","349.020","349.020","0.67%"
"Jan 05, 2023","346.700","346.700","346.700","346.700","-0.24%"
"Jan 04, 2023","347.540","347.540","347.540","347.540","0.63%"
"Jan 03, 2023","345.350","345.350","345.350","345.350","0.55%"
"Jan 02, 2023","343.470","343.470","343.470","343.470","0.37%"
"Dec 30, 2022","342.190","342.190","342.190","342.190","-0.46%"
"Dec 29, 2022","343.780","343.780","343.780","343.780","0.32%"
"Dec 28, 2022","342.680","342.680","342.680","342.680","-0.13%"
"Dec 27, 2022","343.120","343.120","343.120","343.120","-0.43%"
"Dec 23, 2022","344.590","344.590","344.590","344.590","-0.06%"
"Dec 22, 2022","344.800","344.800","344.800","344.800","-0.49%"
"Dec 21, 2022","346.500","346.500","346.500","346.500","0.45%"
"Dec 20, 2022","344.940","344.940","344.940","344.940","-0.50%"
"Dec 19, 2022","346.680","346.680","346.680","346.680","-0.13%"
"Dec 16, 2022","347.120","347.120","347.120","347.120","-0.60%"
"Dec 15, 2022","349.200","349.200","349.200","349.200","-1.38%"
"Dec 14, 2022","354.090","354.090","354.090","354.090","-0.16%"
"Dec 13, 2022","354.670","354.670","354.670","354.670","0.34%"
"Dec 12, 2022","353.460","353.460","353.460","353.460","0.02%"
"Dec 09, 2022","353.380","353.380","353.380","353.380","-0.28%"
"Dec 08, 2022","354.390","354.390","354.390","354.390","-0.03%"
"Dec 07, 2022","354.490","354.490","354.490","354.490","-0.07%"
"Dec 06, 2022","354.750","354.750","354.750","354.750","-0.10%"
"Dec 05, 2022","355.100","355.100","355.100","355.100","-0.42%"
"Dec 02, 2022","356.610","356.610","356.610","356.610","-0.17%"
"Dec 01, 2022","357.200","357.200","357.200","357.200","0.30%"
"Nov 30, 2022","356.140","356.140","356.140","356.140","0.53%"
"Nov 29, 2022","354.250","354.250","354.250","354.250","0.27%"
"Nov 28, 2022","353.290","353.290","353.290","353.290","-0.29%"
"Nov 25, 2022","354.330","354.330","354.330","354.330","-0.37%"
"Nov 24, 2022","355.640","355.640","355.640","355.640","0.40%"
"Nov 23, 2022","354.240","354.240","354.240","354.240","0.20%"
"Nov 22, 2022","353.550","353.550","353.550","353.550","0.26%"
"Nov 21, 2022","352.620","352.620","352.620","352.620","0.29%"
"Nov 18, 2022","351.590","351.590","351.590","351.590","0.21%"
"Nov 17, 2022","350.870","350.870","350.870","350.870","-0.18%"
"Nov 16, 2022","351.500","351.500","351.500","351.500","-0.22%"
"Nov 15, 2022","352.280","352.280","352.280","352.280","0.27%"
"Nov 10, 2022","351.320","351.320","351.320","351.320","1.39%"
"Nov 08, 2022","346.490","346.490","346.490","346.490","0.19%"
"Nov 07, 2022","345.840","345.840","345.840","345.840","0.08%"
"Nov 04, 2022","345.560","345.560","345.560","345.560","-0.07%"
"Nov 03, 2022","345.810","345.810","345.810","345.810","-0.47%"
"Nov 02, 2022","347.450","347.450","347.450","347.450","0.00%"
"Oct 31, 2022","347.450","347.450","347.450","347.450","0.04%"
"Oct 28, 2022","347.300","347.300","347.300","347.300","0.17%"
"Oct 27, 2022","346.700","346.700","346.700","346.700","0.54%"
"Oct 26, 2022","344.840","344.840","344.840","344.840","0.10%"
"Oct 25, 2022","344.480","344.480","344.480","344.480","0.75%"
"Oct 24, 2022","341.900","341.900","341.900","341.900","0.40%"
"Oct 21, 2022","340.540","340.540","340.540","340.540","0.17%"
"Oct 20, 2022","339.960","339.960","339.960","339.960","-0.24%"
"Oct 19, 2022","340.770","340.770","340.770","340.770","-0.31%"
"Oct 18, 2022","341.840","341.840","341.840","341.840","0.27%"
"Oct 17, 2022","340.920","340.920","340.920","340.920","0.42%"
"Oct 14, 2022","339.500","339.500","339.500","339.500","-0.11%"
"Oct 13, 2022","339.860","339.860","339.860","339.860","0.13%"
"Oct 12, 2022","339.410","339.410","339.410","339.410","-0.33%"
"Oct 11, 2022","340.520","340.520","340.520","340.520","-0.35%"
"Oct 10, 2022","341.700","341.700","341.700","341.700","-0.39%"
"Oct 07, 2022","343.040","343.040","343.040","343.040","-0.92%"
"Oct 06, 2022","346.230","346.230","346.230","346.230","-0.25%"
"Oct 05, 2022","347.110","347.110","347.110","347.110","-0.35%"
"Oct 04, 2022","348.340","348.340","348.340","348.340","2.08%"
"Sep 29, 2022","341.230","341.230","341.230","341.230","-1.05%"
"Sep 28, 2022","344.840","344.840","344.840","344.840","0.11%"
"Sep 27, 2022","344.460","344.460","344.460","344.460","-0.42%"
"Sep 26, 2022","345.930","345.930","345.930","345.930","-0.53%"
"Sep 23, 2022","347.770","347.770","347.770","347.770","-0.62%"
"Sep 22, 2022","349.930","349.930","349.930","349.930","-0.71%"
"Sep 21, 2022","352.430","352.430","352.430","352.430","0.28%"
"Sep 20, 2022","351.430","351.430","351.430","351.430","-0.65%"
"Sep 19, 2022","353.720","353.720","353.720","353.720","0.06%"
"Sep 16, 2022","353.520","353.520","353.520","353.520","-0.74%"
"Sep 15, 2022","356.160","356.160","356.160","356.160","-0.27%"
"Sep 14, 2022","357.120","357.120","357.120","357.120","-0.24%"
"Sep 13, 2022","357.990","357.990","357.990","357.990","-0.85%"
"Sep 12, 2022","361.070","361.070","361.070","361.070","0.37%"
"Sep 09, 2022","359.740","359.740","359.740","359.740","0.23%"
"Sep 08, 2022","358.900","358.900","358.900","358.900","0.10%"
"Sep 07, 2022","358.530","358.530","358.530","358.530","0.10%"
"Sep 06, 2022","358.180","358.180","358.180","358.180","-0.12%"
"Sep 05, 2022","358.620","358.620","358.620","358.620","-0.23%"
"Sep 02, 2022","359.430","359.430","359.430","359.430","0.29%"
"Sep 01, 2022","358.390","358.390","358.390","358.390","-0.25%"
"Aug 31, 2022","359.300","359.300","359.300","359.300","-0.53%"
"Aug 30, 2022","361.210","361.210","361.210","361.210","-0.64%"
"Aug 29, 2022","363.540","363.540","363.540","363.540","-0.55%"
"Aug 26, 2022","365.560","365.560","365.560","365.560","-0.91%"
"Aug 25, 2022","368.930","368.930","368.930","368.930","0.54%"
"Aug 24, 2022","366.940","366.940","366.940","366.940","-0.08%"
"Aug 23, 2022","367.240","367.240","367.240","367.240","-0.29%"
"Aug 22, 2022","368.300","368.300","368.300","368.300","-0.56%"
"Aug 19, 2022","370.390","370.390","370.390","370.390","-0.61%"
"Aug 18, 2022","372.650","372.650","372.650","372.650","0.10%"
"Aug 17, 2022","372.270","372.270","372.270","372.270","-0.65%"
"Aug 16, 2022","374.720","374.720","374.720","374.720","0.39%"
"Aug 12, 2022","373.260","373.260","373.260","373.260","0.48%"
"Aug 11, 2022","371.480","371.480","371.480","371.480","0.08%"
"Aug 10, 2022","371.200","371.200","371.200","371.200","0.35%"
"Aug 09, 2022","369.920","369.920","369.920","369.920","-0.47%"
"Aug 08, 2022","371.650","371.650","371.650","371.650","0.10%"
"Aug 05, 2022","371.290","371.290","371.290","371.290","-0.31%"
"Aug 04, 2022","372.460","372.460","372.460","372.460","0.06%"
"Aug 03, 2022","372.220","372.220","372.220","372.220","0.08%"
"Aug 02, 2022","371.940","371.940","371.940","371.940","0.00%"
"Aug 01, 2022","371.940","371.940","371.940","371.940","0.14%"
"Jul 29, 2022","371.420","371.420","371.420","371.420","0.27%"
"Jul 28, 2022","370.420","370.420","370.420","370.420","0.88%"
"Jul 27, 2022","367.200","367.200","367.200","367.200","0.39%"
"Jul 26, 2022","365.790","365.790","365.790","365.790","0.29%"
"Jul 25, 2022","364.750","364.750","364.750","364.750","0.14%"
"Jul 22, 2022","364.230","364.230","364.230","364.230","0.86%"
"Jul 20, 2022","361.140","361.140","361.140","361.140","0.57%"
"Jul 19, 2022","359.100","359.100","359.100","359.100","0.10%"
"Jul 18, 2022","358.730","358.730","358.730","358.730","-0.32%"
"Jul 15, 2022","359.870","359.870","359.870","359.870","0.60%"
"Jul 14, 2022","357.740","357.740","357.740","357.740","-0.34%"
"Jul 13, 2022","358.950","358.950","358.950","358.950","-0.59%"
"Jul 12, 2022","361.090","361.090","361.090","361.090","0.39%"
"Jul 11, 2022","359.680","359.680","359.680","359.680","0.17%"
"Jul 08, 2022","359.070","359.070","359.070","359.070","0.02%"
"Jul 07, 2022","359.010","359.010","359.010","359.010","0.31%"
"Jul 06, 2022","357.900","357.900","357.900","357.900","0.60%"
"Jul 05, 2022","355.750","355.750","355.750","355.750","0.61%"
"Jul 04, 2022","353.610","353.610","353.610","353.610","-0.41%"
"Jul 01, 2022","355.060","355.060","355.060","355.060","0.97%"
"Jun 30, 2022","351.640","351.640","351.640","351.640","0.03%"
"Jun 29, 2022","351.530","351.530","351.530","351.530","0.07%"
"Jun 28, 2022","351.280","351.280","351.280","351.280","-0.37%"
"Jun 27, 2022","352.580","352.580","352.580","352.580","-0.28%"
"Jun 24, 2022","353.560","353.560","353.560","353.560","0.61%"
"Jun 23, 2022","351.430","351.430","351.430","351.430","0.92%"
"Jun 22, 2022","348.220","348.220","348.220","348.220","0.37%"
"Jun 21, 2022","346.950","346.950","346.950","346.950","0.25%"
"Jun 20, 2022","346.090","346.090","346.090","346.090","-0.34%"
"Jun 17, 2022","347.270","347.270","347.270","347.270","0.45%"
"Jun 16, 2022","345.730","345.730","345.730","345.730","-1.27%"
"Jun 15, 2022","350.190","350.190","350.190","350.190","0.80%"
"Jun 14, 2022","347.420","347.420","347.420","347.420","-0.68%"
"Jun 13, 2022","349.800","349.800","349.800","349.800","-1.66%"
"Jun 10, 2022","355.720","355.720","355.720","355.720","-0.93%"
"Jun 09, 2022","359.060","359.060","359.060","359.060","-0.72%"
"Jun 08, 2022","361.670","361.670","361.670","361.670","-0.44%"
"Jun 07, 2022","363.270","363.270","363.270","363.270","0.16%"
"Jun 03, 2022","362.680","362.680","362.680","362.680","-0.34%"
"Jun 02, 2022","363.930","363.930","363.930","363.930","-0.26%"
"Jun 01, 2022","364.870","364.870","364.870","364.870","-0.24%"
"May 31, 2022","365.750","365.750","365.750","365.750","-0.45%"
"May 30, 2022","367.420","367.420","367.420","367.420","0.88%"
"May 25, 2022","364.230","364.230","364.230","364.230","0.44%"
"May 24, 2022","362.650","362.650","362.650","362.650","-0.28%"
"May 23, 2022","363.680","363.680","363.680","363.680","-0.04%"
"May 20, 2022","363.840","363.840","363.840","363.840","0.00%"
"May 19, 2022","363.840","363.840","363.840","363.840","-0.32%"
"May 18, 2022","365.000","365.000","365.000","365.000","-0.40%"
"May 17, 2022","366.460","366.460","366.460","366.460","-0.29%"
"May 16, 2022","367.540","367.540","367.540","367.540","-0.09%"
"May 13, 2022","367.880","367.880","367.880","367.880","0.43%"
"May 12, 2022","366.310","366.310","366.310","366.310","0.53%"
"May 11, 2022","364.390","364.390","364.390","364.390","0.14%"
"May 10, 2022","363.870","363.870","363.870","363.870","0.16%"
"May 09, 2022","363.300","363.300","363.300","363.300","-0.77%"
"May 06, 2022","366.120","366.120","366.120","366.120","-1.15%"
"May 05, 2022","370.380","370.380","370.380","370.380","-0.35%"
"May 04, 2022","371.670","371.670","371.670","371.670","-0.33%"
"May 03, 2022","372.890","372.890","372.890","372.890","0.09%"
"May 02, 2022","372.560","372.560","372.560","372.560","-0.50%"
"Apr 29, 2022","374.420","374.420","374.420","374.420","-0.42%"
"Apr 28, 2022","375.990","375.990","375.990","375.990","-0.16%"
"Apr 27, 2022","376.590","376.590","376.590","376.590","0.11%"
"Apr 26, 2022","376.190","376.190","376.190","376.190","0.01%"
"Apr 25, 2022","376.160","376.160","376.160","376.160","-0.01%"
"Apr 22, 2022","376.190","376.190","376.190","376.190","-0.85%"
"Apr 21, 2022","379.410","379.410","379.410","379.410","-0.30%"
"Apr 20, 2022","380.570","380.570","380.570","380.570","0.25%"
"Apr 19, 2022","379.620","379.620","379.620","379.620","-0.37%"
"Apr 14, 2022","381.040","381.040","381.040","381.040","-0.11%"
"Apr 13, 2022","381.470","381.470","381.470","381.470","0.14%"
"Apr 12, 2022","380.920","380.920","380.920","380.920","-0.03%"
"Apr 11, 2022","381.020","381.020","381.020","381.020","-0.95%"
"Apr 08, 2022","384.680","384.680","384.680","384.680","0.17%"
"Apr 07, 2022","384.040","384.040","384.040","384.040","-0.15%"
"Apr 06, 2022","384.630","384.630","384.630","384.630","-0.71%"
"Apr 05, 2022","387.380","387.380","387.380","387.380","-0.34%"
"Apr 04, 2022","388.720","388.720","388.720","388.720","0.51%"
"Apr 01, 2022","386.740","386.740","386.740","386.740","0.06%"
"Mar 31, 2022","386.520","386.520","386.520","386.520","0.29%"
"Mar 30, 2022","385.390","385.390","385.390","385.390","-0.18%"
"Mar 29, 2022","386.080","386.080","386.080","386.080","-0.10%"
"Mar 28, 2022","386.450","386.450","386.450","386.450","0.02%"
"Mar 25, 2022","386.390","386.390","386.390","386.390","0.10%"
"Mar 24, 2022","386.000","386.000","386.000","386.000","-0.10%"
"Mar 23, 2022","386.370","386.370","386.370","386.370","-0.10%"
"Mar 22, 2022","386.760","386.760","386.760","386.760","0.05%"
"Mar 21, 2022","386.580","386.580","386.580","386.580","-0.10%"
"Mar 18, 2022","386.950","386.950","386.950","386.950","0.60%"
"Mar 17, 2022","384.630","384.630","384.630","384.630","0.21%"
"Mar 16, 2022","383.810","383.810","383.810","383.810","0.52%"
"Mar 15, 2022","381.810","381.810","381.810","381.810","0.41%"
"Mar 14, 2022","380.260","380.260","380.260","380.260","-0.67%"
"Mar 11, 2022","382.830","382.830","382.830","382.830","-0.02%"
"Mar 10, 2022","382.900","382.900","382.900","382.900","-0.47%"
"Mar 09, 2022","384.690","384.690","384.690","384.690","-0.19%"
"Mar 08, 2022","385.410","385.410","385.410","385.410","-0.90%"
"Mar 07, 2022","388.900","388.900","388.900","388.900","-0.88%"
"Mar 04, 2022","392.360","392.360","392.360","392.360","0.33%"
"Mar 03, 2022","391.050","391.050","391.050","391.050","-0.19%"
"Mar 02, 2022","391.810","391.810","391.810","391.810","0.00%"
"Mar 01, 2022","391.810","391.810","391.810","391.810","0.99%"
"Feb 28, 2022","387.950","387.950","387.950","387.950","0.26%"
