"Date","Price","Open","High","Low","Change %"
"Oct 25, 2023","355.310","355.310","355.310","355.310","-0.30%"
"Oct 24, 2023","356.390","356.390","356.390","356.390","0.44%"
"Oct 23, 2023","354.840","354.840","354.840","354.840","-0.19%"
"Oct 20, 2023","355.530","355.530","355.530","355.530","-0.82%"
"Oct 19, 2023","358.470","358.470","358.470","358.470","-0.55%"
"Oct 18, 2023","360.450","360.450","360.450","360.450","-0.53%"
"Oct 17, 2023","362.370","362.370","362.370","362.370","-0.29%"
"Oct 16, 2023","363.420","363.420","363.420","363.420","-0.08%"
"Oct 13, 2023","363.700","363.700","363.700","363.700","-0.36%"
"Oct 12, 2023","365.000","365.000","365.000","365.000","0.12%"
"Oct 11, 2023","364.550","364.550","364.550","364.550","0.17%"
"Oct 10, 2023","363.930","363.930","363.930","363.930","0.81%"
"Oct 09, 2023","361.020","361.020","361.020","361.020","0.22%"
"Oct 06, 2023","360.240","360.240","360.240","360.240","0.31%"
"Oct 05, 2023","359.130","359.130","359.130","359.130","0.05%"
"Oct 04, 2023","358.940","358.940","358.940","358.940","-0.10%"
"Oct 03, 2023","359.310","359.310","359.310","359.310","-0.76%"
"Oct 02, 2023","362.060","362.060","362.060","362.060","-0.34%"
"Sep 29, 2023","363.310","363.310","363.310","363.310","0.51%"
"Sep 28, 2023","361.470","361.470","361.470","361.470","-0.28%"
"Sep 27, 2023","362.480","362.480","362.480","362.480","0.14%"
"Sep 26, 2023","361.960","361.960","361.960","361.960","-0.45%"
"Sep 25, 2023","363.610","363.610","363.610","363.610","-0.17%"
"Sep 22, 2023","364.230","364.230","364.230","364.230","-0.05%"
"Sep 21, 2023","364.430","364.430","364.430","364.430","-0.81%"
"Sep 20, 2023","367.420","367.420","367.420","367.420","0.25%"
"Sep 19, 2023","366.500","366.500","366.500","366.500","-0.23%"
"Sep 18, 2023","367.360","367.360","367.360","367.360","-0.48%"
"Sep 15, 2023","369.130","369.130","369.130","369.130","-0.25%"
"Sep 14, 2023","370.050","370.050","370.050","370.050","0.83%"
"Sep 13, 2023","366.990","366.990","366.990","366.990","-0.20%"
"Sep 12, 2023","367.710","367.710","367.710","367.710","-0.02%"
"Sep 11, 2023","367.780","367.780","367.780","367.780","0.06%"
"Sep 08, 2023","367.550","367.550","367.550","367.550","0.14%"
"Sep 07, 2023","367.050","367.050","367.050","367.050","-0.22%"
"Sep 06, 2023","367.850","367.850","367.850","367.850","-0.47%"
"Sep 05, 2023","369.590","369.590","369.590","369.590","-0.05%"
"Sep 04, 2023","369.780","369.780","369.780","369.780","-0.05%"
"Sep 01, 2023","369.950","369.950","369.950","369.950","0.09%"
"Aug 31, 2023","369.620","369.620","369.620","369.620","0.31%"
"Aug 30, 2023","368.490","368.490","368.490","368.490","-0.05%"
"Aug 29, 2023","368.680","368.680","368.680","368.680","0.62%"
"Aug 28, 2023","366.400","366.400","366.400","366.400","0.24%"
"Aug 25, 2023","365.520","365.520","365.520","365.520","-0.01%"
"Aug 24, 2023","365.570","365.570","365.570","365.570","-0.13%"
"Aug 23, 2023","366.040","366.040","366.040","366.040","0.52%"
"Aug 22, 2023","364.150","364.150","364.150","364.150","0.47%"
"Aug 21, 2023","362.440","362.440","362.440","362.440","0.01%"
"Aug 18, 2023","362.410","362.410","362.410","362.410","-0.23%"
"Aug 17, 2023","363.260","363.260","363.260","363.260","-0.50%"
"Aug 16, 2023","365.090","365.090","365.090","365.090","-0.71%"
"Aug 14, 2023","367.690","367.690","367.690","367.690","0.18%"
"Aug 11, 2023","367.030","367.030","367.030","367.030","-0.61%"
"Aug 10, 2023","369.300","369.300","369.300","369.300","0.24%"
"Aug 09, 2023","368.400","368.400","368.400","368.400","-0.02%"
