"Date","Price","Open","High","Low","Change %"
"Jan 19, 2023","1,208.970","1,208.970","1,208.970","1,208.970","-0.73%"
"Jan 18, 2023","1,217.850","1,217.850","1,217.850","1,217.850","0.21%"
"Jan 17, 2023","1,215.310","1,215.310","1,215.310","1,215.310","0.18%"
"Jan 16, 2023","1,213.160","1,213.160","1,213.160","1,213.160","0.17%"
"Jan 13, 2023","1,211.120","1,211.120","1,211.120","1,211.120","0.21%"
"Jan 12, 2023","1,208.530","1,208.530","1,208.530","1,208.530","0.40%"
"Jan 11, 2023","1,203.680","1,203.680","1,203.680","1,203.680","0.56%"
"Jan 10, 2023","1,197.020","1,197.020","1,197.020","1,197.020","-0.26%"
"Jan 09, 2023","1,200.120","1,200.120","1,200.120","1,200.120","0.31%"
"Jan 06, 2023","1,196.370","1,196.370","1,196.370","1,196.370","0.73%"
"Jan 05, 2023","1,187.750","1,187.750","1,187.750","1,187.750","-0.16%"
"Jan 04, 2023","1,189.690","1,189.690","1,189.690","1,189.690","0.82%"
"Jan 03, 2023","1,179.990","1,179.990","1,179.990","1,179.990","0.74%"
"Jan 02, 2023","1,171.290","1,171.290","1,171.290","1,171.290","0.44%"
"Dec 30, 2022","1,166.150","1,166.150","1,166.150","1,166.150","-0.50%"
"Dec 29, 2022","1,171.970","1,171.970","1,171.970","1,171.970","0.31%"
"Dec 28, 2022","1,168.370","1,168.370","1,168.370","1,168.370","-0.14%"
"Dec 27, 2022","1,169.950","1,169.950","1,169.950","1,169.950","-0.26%"
"Dec 23, 2022","1,173.000","1,173.000","1,173.000","1,173.000","-0.03%"
"Dec 22, 2022","1,173.410","1,173.410","1,173.410","1,173.410","-0.61%"
"Dec 21, 2022","1,180.650","1,180.650","1,180.650","1,180.650","0.76%"
"Dec 20, 2022","1,171.800","1,171.800","1,171.800","1,171.800","-0.44%"
"Dec 19, 2022","1,177.030","1,177.030","1,177.030","1,177.030","-0.05%"
"Dec 16, 2022","1,177.620","1,177.620","1,177.620","1,177.620","-0.73%"
"Dec 15, 2022","1,186.260","1,186.260","1,186.260","1,186.260","-1.73%"
"Dec 14, 2022","1,207.200","1,207.200","1,207.200","1,207.200","-0.22%"
"Dec 13, 2022","1,209.860","1,209.860","1,209.860","1,209.860","-0.24%"
"Dec 12, 2022","1,212.780","1,212.780","1,212.780","1,212.780","-0.09%"
"Dec 09, 2022","1,213.920","1,213.920","1,213.920","1,213.920","-0.01%"
"Dec 08, 2022","1,214.090","1,214.090","1,214.090","1,214.090","-0.08%"
"Dec 07, 2022","1,215.030","1,215.030","1,215.030","1,215.030","-0.13%"
"Dec 06, 2022","1,216.660","1,216.660","1,216.660","1,216.660","-0.35%"
"Dec 05, 2022","1,220.980","1,220.980","1,220.980","1,220.980","-0.50%"
"Dec 02, 2022","1,227.170","1,227.170","1,227.170","1,227.170","-0.14%"
"Dec 01, 2022","1,228.880","1,228.880","1,228.880","1,228.880","0.36%"
"Nov 30, 2022","1,224.470","1,224.470","1,224.470","1,224.470","0.60%"
"Nov 29, 2022","1,217.180","1,217.180","1,217.180","1,217.180","0.17%"
"Nov 28, 2022","1,215.150","1,215.150","1,215.150","1,215.150","-0.48%"
"Nov 25, 2022","1,220.980","1,220.980","1,220.980","1,220.980","-0.26%"
"Nov 24, 2022","1,224.120","1,224.120","1,224.120","1,224.120","0.46%"
"Nov 23, 2022","1,218.520","1,218.520","1,218.520","1,218.520","0.22%"
"Nov 22, 2022","1,215.870","1,215.870","1,215.870","1,215.870","0.33%"
"Nov 21, 2022","1,211.840","1,211.840","1,211.840","1,211.840","0.25%"
