"Date","Price","Open","High","Low","Change %"
"Jan 19, 2023","1,051.790","1,051.790","1,051.790","1,051.790","-0.44%"
"Jan 18, 2023","1,056.440","1,056.440","1,056.440","1,056.440","0.12%"
"Jan 17, 2023","1,055.130","1,055.130","1,055.130","1,055.130","0.35%"
"Jan 16, 2023","1,051.400","1,051.400","1,051.400","1,051.400","0.08%"
"Jan 13, 2023","1,050.570","1,050.570","1,050.570","1,050.570","0.15%"
"Jan 12, 2023","1,049.030","1,049.030","1,049.030","1,049.030","0.33%"
"Jan 11, 2023","1,045.600","1,045.600","1,045.600","1,045.600","0.57%"
"Jan 10, 2023","1,039.680","1,039.680","1,039.680","1,039.680","-0.23%"
"Jan 09, 2023","1,042.070","1,042.070","1,042.070","1,042.070","0.02%"
"Jan 06, 2023","1,041.820","1,041.820","1,041.820","1,041.820","0.67%"
"Jan 05, 2023","1,034.900","1,034.900","1,034.900","1,034.900","-0.24%"
"Jan 04, 2023","1,037.370","1,037.370","1,037.370","1,037.370","0.63%"
"Jan 03, 2023","1,030.840","1,030.840","1,030.840","1,030.840","0.55%"
"Jan 02, 2023","1,025.240","1,025.240","1,025.240","1,025.240","0.37%"
"Dec 30, 2022","1,021.420","1,021.420","1,021.420","1,021.420","-0.46%"
"Dec 29, 2022","1,026.170","1,026.170","1,026.170","1,026.170","0.32%"
"Dec 28, 2022","1,022.870","1,022.870","1,022.870","1,022.870","-0.13%"
"Dec 27, 2022","1,024.200","1,024.200","1,024.200","1,024.200","-0.43%"
"Dec 23, 2022","1,028.580","1,028.580","1,028.580","1,028.580","-0.06%"
"Dec 22, 2022","1,029.200","1,029.200","1,029.200","1,029.200","-0.49%"
"Dec 21, 2022","1,034.270","1,034.270","1,034.270","1,034.270","0.45%"
"Dec 20, 2022","1,029.620","1,029.620","1,029.620","1,029.620","-0.50%"
"Dec 19, 2022","1,034.820","1,034.820","1,034.820","1,034.820","-0.13%"
"Dec 16, 2022","1,036.140","1,036.140","1,036.140","1,036.140","-0.59%"
"Dec 15, 2022","1,042.340","1,042.340","1,042.340","1,042.340","-1.38%"
"Dec 14, 2022","1,056.950","1,056.950","1,056.950","1,056.950","-0.16%"
"Dec 13, 2022","1,058.660","1,058.660","1,058.660","1,058.660","-0.60%"
"Dec 12, 2022","1,065.030","1,065.030","1,065.030","1,065.030","0.02%"
"Dec 09, 2022","1,064.800","1,064.800","1,064.800","1,064.800","-0.28%"
"Dec 08, 2022","1,067.830","1,067.830","1,067.830","1,067.830","-0.03%"
"Dec 07, 2022","1,068.160","1,068.160","1,068.160","1,068.160","-0.07%"
"Dec 06, 2022","1,068.920","1,068.920","1,068.920","1,068.920","-0.10%"
"Dec 05, 2022","1,069.970","1,069.970","1,069.970","1,069.970","-0.42%"
"Dec 02, 2022","1,074.520","1,074.520","1,074.520","1,074.520","-0.17%"
"Dec 01, 2022","1,076.310","1,076.310","1,076.310","1,076.310","0.30%"
"Nov 30, 2022","1,073.100","1,073.100","1,073.100","1,073.100","0.53%"
"Nov 29, 2022","1,067.400","1,067.400","1,067.400","1,067.400","0.27%"
"Nov 28, 2022","1,064.510","1,064.510","1,064.510","1,064.510","-0.30%"
"Nov 25, 2022","1,067.660","1,067.660","1,067.660","1,067.660","-0.37%"
"Nov 24, 2022","1,071.610","1,071.610","1,071.610","1,071.610","0.40%"
"Nov 23, 2022","1,067.390","1,067.390","1,067.390","1,067.390","0.20%"
"Nov 22, 2022","1,065.300","1,065.300","1,065.300","1,065.300","0.26%"
"Nov 21, 2022","1,062.500","1,062.500","1,062.500","1,062.500","0.29%"
"Nov 18, 2022","1,059.400","1,059.400","1,059.400","1,059.400","0.21%"
"Nov 17, 2022","1,057.230","1,057.230","1,057.230","1,057.230","-0.18%"
"Nov 16, 2022","1,059.140","1,059.140","1,059.140","1,059.140","-0.22%"
"Nov 15, 2022","1,061.470","1,061.470","1,061.470","1,061.470","0.27%"
"Nov 10, 2022","1,058.610","1,058.610","1,058.610","1,058.610","1.40%"
"Nov 08, 2022","1,044.040","1,044.040","1,044.040","1,044.040","0.19%"
"Nov 07, 2022","1,042.100","1,042.100","1,042.100","1,042.100","0.08%"
"Nov 04, 2022","1,041.230","1,041.230","1,041.230","1,041.230","-0.07%"
"Nov 03, 2022","1,042.000","1,042.000","1,042.000","1,042.000","-0.47%"
"Nov 02, 2022","1,046.940","1,046.940","1,046.940","1,046.940","0.00%"
"Oct 31, 2022","1,046.940","1,046.940","1,046.940","1,046.940","0.04%"
"Oct 28, 2022","1,046.500","1,046.500","1,046.500","1,046.500","0.17%"
"Oct 27, 2022","1,044.680","1,044.680","1,044.680","1,044.680","0.54%"
"Oct 26, 2022","1,039.070","1,039.070","1,039.070","1,039.070","0.10%"
"Oct 25, 2022","1,037.990","1,037.990","1,037.990","1,037.990","0.75%"
"Oct 24, 2022","1,030.220","1,030.220","1,030.220","1,030.220","0.40%"
"Oct 21, 2022","1,026.130","1,026.130","1,026.130","1,026.130","0.17%"
"Oct 20, 2022","1,024.380","1,024.380","1,024.380","1,024.380","-0.24%"
"Oct 19, 2022","1,026.800","1,026.800","1,026.800","1,026.800","-0.32%"
"Oct 18, 2022","1,030.050","1,030.050","1,030.050","1,030.050","0.27%"
"Oct 17, 2022","1,027.280","1,027.280","1,027.280","1,027.280","0.42%"
"Oct 14, 2022","1,022.980","1,022.980","1,022.980","1,022.980","-0.11%"
"Oct 13, 2022","1,024.060","1,024.060","1,024.060","1,024.060","0.13%"
"Oct 12, 2022","1,022.710","1,022.710","1,022.710","1,022.710","-0.32%"
"Oct 11, 2022","1,026.040","1,026.040","1,026.040","1,026.040","-0.35%"
"Oct 10, 2022","1,029.600","1,029.600","1,029.600","1,029.600","-0.39%"
"Oct 07, 2022","1,033.670","1,033.670","1,033.670","1,033.670","-0.92%"
"Oct 06, 2022","1,043.260","1,043.260","1,043.260","1,043.260","-0.26%"
"Oct 05, 2022","1,045.930","1,045.930","1,045.930","1,045.930","-0.35%"
"Oct 04, 2022","1,049.580","1,049.580","1,049.580","1,049.580","2.08%"
"Sep 29, 2022","1,028.160","1,028.160","1,028.160","1,028.160","-1.05%"
"Sep 28, 2022","1,039.030","1,039.030","1,039.030","1,039.030","0.11%"
"Sep 27, 2022","1,037.910","1,037.910","1,037.910","1,037.910","-0.42%"
"Sep 26, 2022","1,042.310","1,042.310","1,042.310","1,042.310","-0.53%"
"Sep 23, 2022","1,047.880","1,047.880","1,047.880","1,047.880","-0.62%"
"Sep 22, 2022","1,054.370","1,054.370","1,054.370","1,054.370","-0.71%"
"Sep 21, 2022","1,061.920","1,061.920","1,061.920","1,061.920","0.29%"
"Sep 20, 2022","1,058.890","1,058.890","1,058.890","1,058.890","-0.65%"
"Sep 19, 2022","1,065.800","1,065.800","1,065.800","1,065.800","0.06%"
"Sep 16, 2022","1,065.200","1,065.200","1,065.200","1,065.200","-0.74%"
"Sep 15, 2022","1,073.150","1,073.150","1,073.150","1,073.150","-0.27%"
"Sep 14, 2022","1,076.050","1,076.050","1,076.050","1,076.050","-0.24%"
"Sep 13, 2022","1,078.660","1,078.660","1,078.660","1,078.660","-0.85%"
"Sep 12, 2022","1,087.960","1,087.960","1,087.960","1,087.960","0.37%"
"Sep 09, 2022","1,083.960","1,083.960","1,083.960","1,083.960","0.23%"
"Sep 08, 2022","1,081.450","1,081.450","1,081.450","1,081.450","0.10%"
"Sep 07, 2022","1,080.330","1,080.330","1,080.330","1,080.330","0.10%"
"Sep 06, 2022","1,079.270","1,079.270","1,079.270","1,079.270","-0.12%"
"Sep 05, 2022","1,080.590","1,080.590","1,080.590","1,080.590","-0.23%"
"Sep 02, 2022","1,083.030","1,083.030","1,083.030","1,083.030","0.29%"
"Sep 01, 2022","1,079.920","1,079.920","1,079.920","1,079.920","-0.25%"
"Aug 31, 2022","1,082.640","1,082.640","1,082.640","1,082.640","-0.53%"
"Aug 30, 2022","1,088.400","1,088.400","1,088.400","1,088.400","-0.64%"
"Aug 29, 2022","1,095.420","1,095.420","1,095.420","1,095.420","-0.55%"
"Aug 26, 2022","1,101.500","1,101.500","1,101.500","1,101.500","-0.91%"
"Aug 25, 2022","1,111.650","1,111.650","1,111.650","1,111.650","0.54%"
"Aug 24, 2022","1,105.670","1,105.670","1,105.670","1,105.670","-0.08%"
"Aug 23, 2022","1,106.570","1,106.570","1,106.570","1,106.570","-0.29%"
"Aug 22, 2022","1,109.780","1,109.780","1,109.780","1,109.780","-0.56%"
"Aug 19, 2022","1,116.060","1,116.060","1,116.060","1,116.060","-0.61%"
"Aug 18, 2022","1,122.880","1,122.880","1,122.880","1,122.880","0.10%"
"Aug 17, 2022","1,121.750","1,121.750","1,121.750","1,121.750","-0.65%"
"Aug 16, 2022","1,129.110","1,129.110","1,129.110","1,129.110","0.39%"
"Aug 12, 2022","1,124.720","1,124.720","1,124.720","1,124.720","0.48%"
"Aug 11, 2022","1,119.360","1,119.360","1,119.360","1,119.360","0.08%"
"Aug 10, 2022","1,118.520","1,118.520","1,118.520","1,118.520","0.35%"
"Aug 09, 2022","1,114.650","1,114.650","1,114.650","1,114.650","-0.47%"
"Aug 08, 2022","1,119.860","1,119.860","1,119.860","1,119.860","0.09%"
"Aug 05, 2022","1,118.800","1,118.800","1,118.800","1,118.800","-0.31%"
"Aug 04, 2022","1,122.320","1,122.320","1,122.320","1,122.320","0.07%"
"Aug 03, 2022","1,121.590","1,121.590","1,121.590","1,121.590","0.07%"
"Aug 02, 2022","1,120.750","1,120.750","1,120.750","1,120.750","-0.00%"
"Aug 01, 2022","1,120.760","1,120.760","1,120.760","1,120.760","0.14%"
"Jul 29, 2022","1,119.180","1,119.180","1,119.180","1,119.180","0.27%"
"Jul 28, 2022","1,116.160","1,116.160","1,116.160","1,116.160","0.88%"
"Jul 27, 2022","1,106.450","1,106.450","1,106.450","1,106.450","0.38%"
"Jul 26, 2022","1,102.210","1,102.210","1,102.210","1,102.210","0.29%"
"Jul 25, 2022","1,099.070","1,099.070","1,099.070","1,099.070","0.14%"
"Jul 22, 2022","1,097.520","1,097.520","1,097.520","1,097.520","0.86%"
"Jul 20, 2022","1,088.200","1,088.200","1,088.200","1,088.200","0.57%"
"Jul 19, 2022","1,082.050","1,082.050","1,082.050","1,082.050","0.10%"
"Jul 18, 2022","1,080.940","1,080.940","1,080.940","1,080.940","-0.32%"
"Jul 15, 2022","1,084.360","1,084.360","1,084.360","1,084.360","0.59%"
"Jul 14, 2022","1,077.960","1,077.960","1,077.960","1,077.960","-0.34%"
"Jul 13, 2022","1,081.600","1,081.600","1,081.600","1,081.600","-0.59%"
"Jul 12, 2022","1,088.030","1,088.030","1,088.030","1,088.030","0.39%"
"Jul 11, 2022","1,083.790","1,083.790","1,083.790","1,083.790","0.17%"
"Jul 08, 2022","1,081.940","1,081.940","1,081.940","1,081.940","0.01%"
"Jul 07, 2022","1,081.780","1,081.780","1,081.780","1,081.780","0.31%"
"Jul 06, 2022","1,078.420","1,078.420","1,078.420","1,078.420","0.60%"
"Jul 05, 2022","1,071.950","1,071.950","1,071.950","1,071.950","0.60%"
"Jul 04, 2022","1,065.510","1,065.510","1,065.510","1,065.510","-0.41%"
"Jul 01, 2022","1,069.870","1,069.870","1,069.870","1,069.870","0.97%"
"Jun 30, 2022","1,059.570","1,059.570","1,059.570","1,059.570","0.03%"
"Jun 29, 2022","1,059.230","1,059.230","1,059.230","1,059.230","0.07%"
"Jun 28, 2022","1,058.470","1,058.470","1,058.470","1,058.470","-0.37%"
