"Date","Price","Open","High","Low","Change %"
"Jan 20, 2023","1,074.610","1,074.610","1,074.610","1,074.610","0.35%"
"Jan 19, 2023","1,070.900","1,070.900","1,070.900","1,070.900","-0.81%"
"Jan 18, 2023","1,079.660","1,079.660","1,079.660","1,079.660","-0.22%"
"Jan 17, 2023","1,082.000","1,082.000","1,082.000","1,082.000","0.18%"
"Jan 16, 2023","1,080.020","1,080.020","1,080.020","1,080.020","0.14%"
"Jan 13, 2023","1,078.490","1,078.490","1,078.490","1,078.490","0.29%"
"Jan 12, 2023","1,075.340","1,075.340","1,075.340","1,075.340","0.30%"
"Jan 11, 2023","1,072.100","1,072.100","1,072.100","1,072.100","0.62%"
"Jan 10, 2023","1,065.510","1,065.510","1,065.510","1,065.510","-0.15%"
"Jan 09, 2023","1,067.100","1,067.100","1,067.100","1,067.100","0.10%"
"Jan 06, 2023","1,066.060","1,066.060","1,066.060","1,066.060","0.62%"
"Jan 05, 2023","1,059.500","1,059.500","1,059.500","1,059.500","-0.07%"
"Jan 04, 2023","1,060.280","1,060.280","1,060.280","1,060.280","0.50%"
"Jan 03, 2023","1,054.990","1,054.990","1,054.990","1,054.990","0.77%"
"Jan 02, 2023","1,046.920","1,046.920","1,046.920","1,046.920","-0.05%"
"Dec 30, 2022","1,047.450","1,047.450","1,047.450","1,047.450","-0.33%"
"Dec 29, 2022","1,050.970","1,050.970","1,050.970","1,050.970","0.39%"
"Dec 28, 2022","1,046.860","1,046.860","1,046.860","1,046.860","-0.27%"
"Dec 27, 2022","1,049.680","1,049.680","1,049.680","1,049.680","-0.11%"
"Dec 23, 2022","1,050.790","1,050.790","1,050.790","1,050.790","-0.22%"
"Dec 22, 2022","1,053.070","1,053.070","1,053.070","1,053.070","-0.02%"
"Dec 21, 2022","1,053.290","1,053.290","1,053.290","1,053.290","0.71%"
"Dec 20, 2022","1,045.820","1,045.820","1,045.820","1,045.820","-0.33%"
"Dec 19, 2022","1,049.280","1,049.280","1,049.280","1,049.280","-0.28%"
"Dec 16, 2022","1,052.210","1,052.210","1,052.210","1,052.210","-0.94%"
"Dec 15, 2022","1,062.190","1,062.190","1,062.190","1,062.190","-1.09%"
"Dec 14, 2022","1,073.850","1,073.850","1,073.850","1,073.850","-0.34%"
"Dec 13, 2022","1,077.460","1,077.460","1,077.460","1,077.460","0.33%"
"Dec 12, 2022","1,073.880","1,073.880","1,073.880","1,073.880","0.23%"
"Dec 09, 2022","1,071.440","1,071.440","1,071.440","1,071.440","-0.02%"
"Dec 08, 2022","1,071.660","1,071.660","1,071.660","1,071.660","0.10%"
"Dec 07, 2022","1,070.600","1,070.600","1,070.600","1,070.600","-0.43%"
"Dec 06, 2022","1,075.260","1,075.260","1,075.260","1,075.260","-0.81%"
"Dec 05, 2022","1,084.020","1,084.020","1,084.020","1,084.020","-0.81%"
"Dec 02, 2022","1,092.860","1,092.860","1,092.860","1,092.860","-0.33%"
"Dec 01, 2022","1,096.530","1,096.530","1,096.530","1,096.530","0.13%"
"Nov 30, 2022","1,095.090","1,095.090","1,095.090","1,095.090","1.38%"
"Nov 29, 2022","1,080.220","1,080.220","1,080.220","1,080.220","0.03%"
"Nov 28, 2022","1,079.890","1,079.890","1,079.890","1,079.890","-0.59%"
"Nov 25, 2022","1,086.300","1,086.300","1,086.300","1,086.300","-0.15%"
"Nov 24, 2022","1,087.970","1,087.970","1,087.970","1,087.970","0.15%"
"Nov 23, 2022","1,086.360","1,086.360","1,086.360","1,086.360","0.19%"
"Nov 22, 2022","1,084.330","1,084.330","1,084.330","1,084.330","0.35%"
"Nov 21, 2022","1,080.590","1,080.590","1,080.590","1,080.590","0.42%"
"Nov 18, 2022","1,076.100","1,076.100","1,076.100","1,076.100","0.40%"
"Nov 17, 2022","1,071.860","1,071.860","1,071.860","1,071.860","-0.10%"
"Nov 16, 2022","1,072.970","1,072.970","1,072.970","1,072.970","-0.45%"
"Nov 15, 2022","1,077.860","1,077.860","1,077.860","1,077.860","0.13%"
"Nov 14, 2022","1,076.510","1,076.510","1,076.510","1,076.510","-0.25%"
"Nov 11, 2022","1,079.200","1,079.200","1,079.200","1,079.200","0.70%"
"Nov 10, 2022","1,071.710","1,071.710","1,071.710","1,071.710","0.81%"
"Nov 09, 2022","1,063.130","1,063.130","1,063.130","1,063.130","-0.34%"
"Nov 08, 2022","1,066.740","1,066.740","1,066.740","1,066.740","0.04%"
"Nov 07, 2022","1,066.330","1,066.330","1,066.330","1,066.330","0.06%"
"Nov 04, 2022","1,065.710","1,065.710","1,065.710","1,065.710","0.27%"
"Nov 03, 2022","1,062.890","1,062.890","1,062.890","1,062.890","-0.54%"
"Nov 02, 2022","1,068.640","1,068.640","1,068.640","1,068.640","-0.76%"
"Nov 01, 2022","1,076.810","1,076.810","1,076.810","1,076.810","0.56%"
"Oct 31, 2022","1,070.780","1,070.780","1,070.780","1,070.780","0.10%"
"Oct 28, 2022","1,069.710","1,069.710","1,069.710","1,069.710","1.04%"
"Oct 27, 2022","1,058.670","1,058.670","1,058.670","1,058.670","0.00%"
"Oct 26, 2022","1,058.660","1,058.660","1,058.660","1,058.660","-0.28%"
"Oct 25, 2022","1,061.680","1,061.680","1,061.680","1,061.680","0.65%"
"Oct 24, 2022","1,054.830","1,054.830","1,054.830","1,054.830","0.48%"
"Oct 21, 2022","1,049.770","1,049.770","1,049.770","1,049.770","0.64%"
"Oct 20, 2022","1,043.100","1,043.100","1,043.100","1,043.100","-0.48%"
"Oct 19, 2022","1,048.150","1,048.150","1,048.150","1,048.150","-0.28%"
"Oct 18, 2022","1,051.140","1,051.140","1,051.140","1,051.140","0.94%"
"Oct 17, 2022","1,041.380","1,041.380","1,041.380","1,041.380","0.18%"
"Oct 14, 2022","1,039.560","1,039.560","1,039.560","1,039.560","-0.52%"
"Oct 13, 2022","1,044.990","1,044.990","1,044.990","1,044.990","0.71%"
