"Date","Price","Open","High","Low","Change %"
"Jan 20, 2023","1,675.020","1,675.020","1,675.020","1,675.020","0.02%"
"Jan 19, 2023","1,674.630","1,674.630","1,674.630","1,674.630","-0.67%"
"Jan 18, 2023","1,685.850","1,685.850","1,685.850","1,685.850","0.00%"
"Jan 17, 2023","1,685.810","1,685.810","1,685.810","1,685.810","0.35%"
"Jan 16, 2023","1,679.850","1,679.850","1,679.850","1,679.850","0.07%"
"Jan 13, 2023","1,678.700","1,678.700","1,678.700","1,678.700","0.21%"
"Jan 12, 2023","1,675.190","1,675.190","1,675.190","1,675.190","0.32%"
"Jan 11, 2023","1,669.810","1,669.810","1,669.810","1,669.810","0.67%"
"Jan 10, 2023","1,658.700","1,658.700","1,658.700","1,658.700","-0.20%"
"Jan 09, 2023","1,661.970","1,661.970","1,661.970","1,661.970","-0.06%"
"Jan 06, 2023","1,662.910","1,662.910","1,662.910","1,662.910","0.73%"
"Jan 05, 2023","1,650.920","1,650.920","1,650.920","1,650.920","-0.19%"
"Jan 04, 2023","1,654.110","1,654.110","1,654.110","1,654.110","0.56%"
"Jan 03, 2023","1,644.840","1,644.840","1,644.840","1,644.840","0.70%"
"Jan 02, 2023","1,633.410","1,633.410","1,633.410","1,633.410","0.11%"
"Dec 30, 2022","1,631.580","1,631.580","1,631.580","1,631.580","-0.40%"
"Dec 29, 2022","1,638.060","1,638.060","1,638.060","1,638.060","0.34%"
"Dec 28, 2022","1,632.430","1,632.430","1,632.430","1,632.430","-0.19%"
"Dec 27, 2022","1,635.550","1,635.550","1,635.550","1,635.550","-0.25%"
"Dec 23, 2022","1,639.730","1,639.730","1,639.730","1,639.730","-0.18%"
"Dec 22, 2022","1,642.610","1,642.610","1,642.610","1,642.610","-0.10%"
"Dec 21, 2022","1,644.260","1,644.260","1,644.260","1,644.260","0.47%"
"Dec 20, 2022","1,636.630","1,636.630","1,636.630","1,636.630","-0.38%"
"Dec 19, 2022","1,642.840","1,642.840","1,642.840","1,642.840","-0.21%"
"Dec 16, 2022","1,646.330","1,646.330","1,646.330","1,646.330","-0.76%"
"Dec 15, 2022","1,658.890","1,658.890","1,658.890","1,658.890","-0.97%"
"Dec 14, 2022","1,675.190","1,675.190","1,675.190","1,675.190","-0.33%"
"Dec 13, 2022","1,680.680","1,680.680","1,680.680","1,680.680","0.28%"
"Dec 12, 2022","1,676.050","1,676.050","1,676.050","1,676.050","0.20%"
"Dec 09, 2022","1,672.650","1,672.650","1,672.650","1,672.650","-0.21%"
"Dec 08, 2022","1,676.150","1,676.150","1,676.150","1,676.150","0.02%"
"Dec 07, 2022","1,675.840","1,675.840","1,675.840","1,675.840","-0.26%"
"Dec 06, 2022","1,680.250","1,680.250","1,680.250","1,680.250","-0.38%"
"Dec 05, 2022","1,686.740","1,686.740","1,686.740","1,686.740","-0.56%"
"Dec 02, 2022","1,696.280","1,696.280","1,696.280","1,696.280","-0.27%"
"Dec 01, 2022","1,700.930","1,700.930","1,700.930","1,700.930","0.23%"
"Nov 30, 2022","1,697.000","1,697.000","1,697.000","1,697.000","0.87%"
"Nov 29, 2022","1,682.330","1,682.330","1,682.330","1,682.330","0.18%"
"Nov 28, 2022","1,679.260","1,679.260","1,679.260","1,679.260","-0.43%"
"Nov 25, 2022","1,686.480","1,686.480","1,686.480","1,686.480","-0.31%"
"Nov 24, 2022","1,691.690","1,691.690","1,691.690","1,691.690","0.27%"
"Nov 23, 2022","1,687.090","1,687.090","1,687.090","1,687.090","0.23%"
"Nov 22, 2022","1,683.250","1,683.250","1,683.250","1,683.250","0.24%"
"Nov 21, 2022","1,679.160","1,679.160","1,679.160","1,679.160","0.35%"
"Nov 18, 2022","1,673.380","1,673.380","1,673.380","1,673.380","0.34%"
"Nov 17, 2022","1,667.650","1,667.650","1,667.650","1,667.650","-0.05%"
"Nov 16, 2022","1,668.500","1,668.500","1,668.500","1,668.500","-0.20%"
"Nov 15, 2022","1,671.920","1,671.920","1,671.920","1,671.920","0.25%"
"Nov 14, 2022","1,667.680","1,667.680","1,667.680","1,667.680","-0.16%"
"Nov 11, 2022","1,670.320","1,670.320","1,670.320","1,670.320","0.12%"
"Nov 10, 2022","1,668.280","1,668.280","1,668.280","1,668.280","0.84%"
"Nov 09, 2022","1,654.310","1,654.310","1,654.310","1,654.310","-0.09%"
"Nov 08, 2022","1,655.790","1,655.790","1,655.790","1,655.790","0.11%"
"Nov 07, 2022","1,653.910","1,653.910","1,653.910","1,653.910","0.03%"
"Nov 04, 2022","1,653.340","1,653.340","1,653.340","1,653.340","0.13%"
"Nov 03, 2022","1,651.270","1,651.270","1,651.270","1,651.270","-0.52%"
