"Date","Price","Open","High","Low","Change %"
"Jan 20, 2023","3,285.500","3,285.500","3,285.500","3,285.500","0.35%"
"Jan 19, 2023","3,274.170","3,274.170","3,274.170","3,274.170","-0.81%"
"Jan 18, 2023","3,300.950","3,300.950","3,300.950","3,300.950","-0.22%"
"Jan 17, 2023","3,308.100","3,308.100","3,308.100","3,308.100","0.18%"
"Jan 16, 2023","3,302.040","3,302.040","3,302.040","3,302.040","0.14%"
"Jan 13, 2023","3,297.380","3,297.380","3,297.380","3,297.380","0.29%"
"Jan 12, 2023","3,287.760","3,287.760","3,287.760","3,287.760","0.30%"
"Jan 11, 2023","3,277.830","3,277.830","3,277.830","3,277.830","0.62%"
"Jan 10, 2023","3,257.690","3,257.690","3,257.690","3,257.690","-0.15%"
"Jan 09, 2023","3,262.550","3,262.550","3,262.550","3,262.550","0.10%"
"Jan 06, 2023","3,259.360","3,259.360","3,259.360","3,259.360","0.62%"
"Jan 05, 2023","3,239.300","3,239.300","3,239.300","3,239.300","-0.07%"
"Jan 04, 2023","3,241.690","3,241.690","3,241.690","3,241.690","0.50%"
"Jan 03, 2023","3,225.520","3,225.520","3,225.520","3,225.520","0.77%"
"Jan 02, 2023","3,200.860","3,200.860","3,200.860","3,200.860","-0.05%"
"Dec 30, 2022","3,202.480","3,202.480","3,202.480","3,202.480","-0.34%"
"Dec 29, 2022","3,213.250","3,213.250","3,213.250","3,213.250","0.39%"
"Dec 28, 2022","3,200.670","3,200.670","3,200.670","3,200.670","-0.27%"
"Dec 27, 2022","3,209.290","3,209.290","3,209.290","3,209.290","-0.11%"
"Dec 23, 2022","3,212.670","3,212.670","3,212.670","3,212.670","-0.22%"
"Dec 22, 2022","3,219.660","3,219.660","3,219.660","3,219.660","-0.02%"
"Dec 21, 2022","3,220.340","3,220.340","3,220.340","3,220.340","0.71%"
"Dec 20, 2022","3,197.500","3,197.500","3,197.500","3,197.500","-0.33%"
"Dec 19, 2022","3,208.070","3,208.070","3,208.070","3,208.070","-0.28%"
"Dec 16, 2022","3,217.030","3,217.030","3,217.030","3,217.030","-0.94%"
"Dec 15, 2022","3,247.550","3,247.550","3,247.550","3,247.550","-1.09%"
"Dec 14, 2022","3,283.200","3,283.200","3,283.200","3,283.200","-0.41%"
"Dec 13, 2022","3,296.620","3,296.620","3,296.620","3,296.620","0.33%"
"Dec 12, 2022","3,285.660","3,285.660","3,285.660","3,285.660","0.23%"
"Dec 09, 2022","3,278.220","3,278.220","3,278.220","3,278.220","-0.02%"
"Dec 08, 2022","3,278.880","3,278.880","3,278.880","3,278.880","0.10%"
"Dec 07, 2022","3,275.620","3,275.620","3,275.620","3,275.620","-0.43%"
"Dec 06, 2022","3,289.900","3,289.900","3,289.900","3,289.900","-0.81%"
"Dec 05, 2022","3,316.690","3,316.690","3,316.690","3,316.690","-0.81%"
"Dec 02, 2022","3,343.740","3,343.740","3,343.740","3,343.740","-0.33%"
"Dec 01, 2022","3,354.970","3,354.970","3,354.970","3,354.970","0.13%"
"Nov 30, 2022","3,350.560","3,350.560","3,350.560","3,350.560","1.38%"
"Nov 29, 2022","3,305.070","3,305.070","3,305.070","3,305.070","0.03%"
"Nov 28, 2022","3,304.060","3,304.060","3,304.060","3,304.060","-0.59%"
"Nov 25, 2022","3,323.670","3,323.670","3,323.670","3,323.670","-0.15%"
"Nov 24, 2022","3,328.780","3,328.780","3,328.780","3,328.780","0.15%"
"Nov 23, 2022","3,323.860","3,323.860","3,323.860","3,323.860","0.19%"
"Nov 22, 2022","3,317.660","3,317.660","3,317.660","3,317.660","0.35%"
"Nov 21, 2022","3,306.200","3,306.200","3,306.200","3,306.200","0.42%"
"Nov 18, 2022","3,292.470","3,292.470","3,292.470","3,292.470","0.40%"
"Nov 17, 2022","3,279.490","3,279.490","3,279.490","3,279.490","-0.10%"
"Nov 16, 2022","3,282.890","3,282.890","3,282.890","3,282.890","-0.45%"
"Nov 15, 2022","3,297.840","3,297.840","3,297.840","3,297.840","0.12%"
"Nov 14, 2022","3,293.730","3,293.730","3,293.730","3,293.730","-0.25%"
"Nov 11, 2022","3,301.950","3,301.950","3,301.950","3,301.950","0.70%"
"Nov 10, 2022","3,279.030","3,279.030","3,279.030","3,279.030","0.81%"
"Nov 09, 2022","3,252.780","3,252.780","3,252.780","3,252.780","-0.34%"
"Nov 08, 2022","3,263.810","3,263.810","3,263.810","3,263.810","0.04%"
"Nov 07, 2022","3,262.570","3,262.570","3,262.570","3,262.570","0.06%"
"Nov 04, 2022","3,260.660","3,260.660","3,260.660","3,260.660","0.27%"
"Nov 03, 2022","3,252.040","3,252.040","3,252.040","3,252.040","-0.54%"
"Nov 02, 2022","3,269.630","3,269.630","3,269.630","3,269.630","-0.76%"
"Nov 01, 2022","3,294.640","3,294.640","3,294.640","3,294.640","0.56%"
"Oct 31, 2022","3,276.180","3,276.180","3,276.180","3,276.180","0.10%"
"Oct 28, 2022","3,272.900","3,272.900","3,272.900","3,272.900","1.04%"
"Oct 27, 2022","3,239.130","3,239.130","3,239.130","3,239.130","0.00%"
"Oct 26, 2022","3,239.090","3,239.090","3,239.090","3,239.090","-0.28%"
"Oct 25, 2022","3,248.340","3,248.340","3,248.340","3,248.340","0.65%"
"Oct 24, 2022","3,227.380","3,227.380","3,227.380","3,227.380","0.48%"
"Oct 21, 2022","3,211.890","3,211.890","3,211.890","3,211.890","0.64%"
"Oct 20, 2022","3,191.490","3,191.490","3,191.490","3,191.490","-0.48%"
"Oct 19, 2022","3,206.960","3,206.960","3,206.960","3,206.960","-0.28%"
"Oct 18, 2022","3,216.110","3,216.110","3,216.110","3,216.110","0.94%"
"Oct 17, 2022","3,186.230","3,186.230","3,186.230","3,186.230","0.18%"
"Oct 14, 2022","3,180.660","3,180.660","3,180.660","3,180.660","-0.52%"
"Oct 13, 2022","3,197.270","3,197.270","3,197.270","3,197.270","0.71%"
"Oct 12, 2022","3,174.820","3,174.820","3,174.820","3,174.820","-0.43%"
"Oct 11, 2022","3,188.690","3,188.690","3,188.690","3,188.690","-0.40%"
"Oct 10, 2022","3,201.620","3,201.620","3,201.620","3,201.620","-0.54%"
"Oct 07, 2022","3,219.000","3,219.000","3,219.000","3,219.000","-1.12%"
"Oct 06, 2022","3,255.480","3,255.480","3,255.480","3,255.480","-0.26%"
"Oct 05, 2022","3,263.810","3,263.810","3,263.810","3,263.810","1.85%"
"Oct 03, 2022","3,204.640","3,204.640","3,204.640","3,204.640","0.75%"
"Sep 30, 2022","3,180.670","3,180.670","3,180.670","3,180.670","-1.24%"
"Sep 29, 2022","3,220.590","3,220.590","3,220.590","3,220.590","-1.00%"
"Sep 28, 2022","3,253.220","3,253.220","3,253.220","3,253.220","0.45%"
"Sep 27, 2022","3,238.530","3,238.530","3,238.530","3,238.530","-0.23%"
"Sep 26, 2022","3,245.860","3,245.860","3,245.860","3,245.860","-0.58%"
"Sep 23, 2022","3,264.830","3,264.830","3,264.830","3,264.830","-0.28%"
"Sep 22, 2022","3,273.960","3,273.960","3,273.960","3,273.960","-0.30%"
"Sep 21, 2022","3,283.830","3,283.830","3,283.830","3,283.830","-0.49%"
"Sep 20, 2022","3,299.840","3,299.840","3,299.840","3,299.840","-0.30%"
"Sep 19, 2022","3,309.650","3,309.650","3,309.650","3,309.650","0.01%"
"Sep 16, 2022","3,309.290","3,309.290","3,309.290","3,309.290","-0.94%"
"Sep 15, 2022","3,340.600","3,340.600","3,340.600","3,340.600","-0.31%"
"Sep 14, 2022","3,351.110","3,351.110","3,351.110","3,351.110","-0.66%"
"Sep 13, 2022","3,373.240","3,373.240","3,373.240","3,373.240","-1.26%"
"Sep 12, 2022","3,416.310","3,416.310","3,416.310","3,416.310","0.27%"
"Sep 09, 2022","3,406.970","3,406.970","3,406.970","3,406.970","0.51%"
"Sep 08, 2022","3,389.700","3,389.700","3,389.700","3,389.700","0.55%"
"Sep 07, 2022","3,371.160","3,371.160","3,371.160","3,371.160","0.20%"
"Sep 06, 2022","3,364.510","3,364.510","3,364.510","3,364.510","0.50%"
"Sep 05, 2022","3,347.740","3,347.740","3,347.740","3,347.740","-0.20%"
"Sep 02, 2022","3,354.490","3,354.490","3,354.490","3,354.490","-0.72%"
"Sep 01, 2022","3,378.930","3,378.930","3,378.930","3,378.930","0.17%"
"Aug 31, 2022","3,373.360","3,373.360","3,373.360","3,373.360","-0.75%"
