"Date","Price","Open","High","Low","Change %"
"Jan 20, 2023","1,358.490","1,358.490","1,358.490","1,358.490","0.02%"
"Jan 19, 2023","1,358.180","1,358.180","1,358.180","1,358.180","-0.67%"
"Jan 18, 2023","1,367.280","1,367.280","1,367.280","1,367.280","0.00%"
"Jan 17, 2023","1,367.250","1,367.250","1,367.250","1,367.250","0.36%"
"Jan 16, 2023","1,362.410","1,362.410","1,362.410","1,362.410","0.07%"
"Jan 13, 2023","1,361.480","1,361.480","1,361.480","1,361.480","0.21%"
"Jan 12, 2023","1,358.640","1,358.640","1,358.640","1,358.640","0.32%"
"Jan 11, 2023","1,354.270","1,354.270","1,354.270","1,354.270","0.67%"
"Jan 10, 2023","1,345.260","1,345.260","1,345.260","1,345.260","-0.20%"
"Jan 09, 2023","1,347.910","1,347.910","1,347.910","1,347.910","-0.06%"
"Jan 06, 2023","1,348.680","1,348.680","1,348.680","1,348.680","0.73%"
"Jan 05, 2023","1,338.950","1,338.950","1,338.950","1,338.950","-0.19%"
"Jan 04, 2023","1,341.540","1,341.540","1,341.540","1,341.540","0.56%"
"Jan 03, 2023","1,334.020","1,334.020","1,334.020","1,334.020","0.70%"
"Jan 02, 2023","1,324.750","1,324.750","1,324.750","1,324.750","0.11%"
"Dec 30, 2022","1,323.270","1,323.270","1,323.270","1,323.270","-0.40%"
"Dec 29, 2022","1,328.520","1,328.520","1,328.520","1,328.520","0.34%"
"Dec 28, 2022","1,323.960","1,323.960","1,323.960","1,323.960","-0.19%"
"Dec 27, 2022","1,326.480","1,326.480","1,326.480","1,326.480","-0.26%"
"Dec 23, 2022","1,329.880","1,329.880","1,329.880","1,329.880","-0.17%"
"Dec 22, 2022","1,332.210","1,332.210","1,332.210","1,332.210","-0.10%"
"Dec 21, 2022","1,333.550","1,333.550","1,333.550","1,333.550","0.47%"
"Dec 20, 2022","1,327.360","1,327.360","1,327.360","1,327.360","-0.38%"
"Dec 19, 2022","1,332.400","1,332.400","1,332.400","1,332.400","-0.21%"
"Dec 16, 2022","1,335.230","1,335.230","1,335.230","1,335.230","-0.76%"
"Dec 15, 2022","1,345.420","1,345.420","1,345.420","1,345.420","-0.97%"
"Dec 14, 2022","1,358.640","1,358.640","1,358.640","1,358.640","-0.35%"
"Dec 13, 2022","1,363.410","1,363.410","1,363.410","1,363.410","0.28%"
