"Date","Price","Open","High","Low","Change %"
"Jan 20, 2023","621.770","621.770","621.770","621.770","-0.36%"
"Jan 19, 2023","624.000","624.000","624.000","624.000","-0.53%"
"Jan 18, 2023","627.330","627.330","627.330","627.330","0.31%"
"Jan 17, 2023","625.370","625.370","625.370","625.370","0.46%"
"Jan 16, 2023","622.520","622.520","622.520","622.520","0.05%"
"Jan 13, 2023","622.190","622.190","622.190","622.190","0.12%"
"Jan 12, 2023","621.420","621.420","621.420","621.420","0.36%"
"Jan 11, 2023","619.190","619.190","619.190","619.190","0.69%"
"Jan 10, 2023","614.960","614.960","614.960","614.960","-0.29%"
"Jan 09, 2023","616.740","616.740","616.740","616.740","-0.08%"
"Jan 06, 2023","617.240","617.240","617.240","617.240","0.73%"
"Jan 05, 2023","612.790","612.790","612.790","612.790","-0.27%"
"Jan 04, 2023","614.450","614.450","614.450","614.450","0.63%"
"Jan 03, 2023","610.600","610.600","610.600","610.600","0.63%"
"Jan 02, 2023","606.760","606.760","606.760","606.760","0.25%"
"Dec 30, 2022","605.230","605.230","605.230","605.230","-0.43%"
"Dec 29, 2022","607.840","607.840","607.840","607.840","0.27%"
"Dec 28, 2022","606.230","606.230","606.230","606.230","-0.11%"
"Dec 27, 2022","606.870","606.870","606.870","606.870","-0.39%"
"Dec 23, 2022","609.220","609.220","609.220","609.220","-0.19%"
"Dec 22, 2022","610.380","610.380","610.380","610.380","-0.12%"
"Dec 21, 2022","611.120","611.120","611.120","611.120","0.22%"
"Dec 20, 2022","609.780","609.780","609.780","609.780","-0.48%"
"Dec 19, 2022","612.700","612.700","612.700","612.700","-0.15%"
"Dec 16, 2022","613.600","613.600","613.600","613.600","-0.71%"
"Dec 15, 2022","617.980","617.980","617.980","617.980","-0.80%"
"Dec 14, 2022","622.990","622.990","622.990","622.990","-0.28%"
"Dec 13, 2022","624.710","624.710","624.710","624.710","0.22%"
"Dec 12, 2022","623.310","623.310","623.310","623.310","0.16%"
"Dec 09, 2022","622.310","622.310","622.310","622.310","-0.39%"
"Dec 08, 2022","624.720","624.720","624.720","624.720","-0.08%"
"Dec 07, 2022","625.210","625.210","625.210","625.210","-0.11%"
"Dec 06, 2022","625.880","625.880","625.880","625.880","0.00%"
"Dec 05, 2022","625.880","625.880","625.880","625.880","-0.25%"
"Dec 02, 2022","627.450","627.450","627.450","627.450","-0.23%"
"Dec 01, 2022","628.900","628.900","628.900","628.900","0.50%"
"Nov 30, 2022","625.790","625.790","625.790","625.790","0.30%"
"Nov 29, 2022","623.890","623.890","623.890","623.890","0.29%"
"Nov 28, 2022","622.070","622.070","622.070","622.070","-0.25%"
"Nov 25, 2022","623.620","623.620","623.620","623.620","-0.46%"
"Nov 24, 2022","626.490","626.490","626.490","626.490","0.40%"
"Nov 23, 2022","624.010","624.010","624.010","624.010","0.36%"
"Nov 22, 2022","621.790","621.790","621.790","621.790","0.12%"
"Nov 21, 2022","621.040","621.040","621.040","621.040","0.26%"
"Nov 18, 2022","619.410","619.410","619.410","619.410","0.31%"
"Nov 17, 2022","617.480","617.480","617.480","617.480","-0.06%"
"Nov 16, 2022","617.870","617.870","617.870","617.870","0.16%"
"Nov 15, 2022","616.910","616.910","616.910","616.910","0.32%"
"Nov 14, 2022","614.930","614.930","614.930","614.930","0.00%"
"Nov 11, 2022","614.920","614.920","614.920","614.920","-0.35%"
"Nov 10, 2022","617.060","617.060","617.060","617.060","0.76%"
"Nov 09, 2022","612.420","612.420","612.420","612.420","0.25%"
"Nov 08, 2022","610.920","610.920","610.920","610.920","0.20%"
"Nov 07, 2022","609.730","609.730","609.730","609.730","0.06%"
"Nov 04, 2022","609.370","609.370","609.370","609.370","-0.02%"
"Nov 03, 2022","609.520","609.520","609.520","609.520","-0.57%"
