"Date","Price","Open","High","Low","Change %"
"Jan 20, 2023","806.740","806.740","806.740","806.740","-0.05%"
"Jan 19, 2023","807.160","807.160","807.160","807.160","-0.98%"
"Jan 18, 2023","815.150","815.150","815.150","815.150","0.19%"
"Jan 17, 2023","813.610","813.610","813.610","813.610","0.30%"
"Jan 16, 2023","811.190","811.190","811.190","811.190","0.22%"
"Jan 13, 2023","809.420","809.420","809.420","809.420","0.31%"
"Jan 12, 2023","806.910","806.910","806.910","806.910","0.37%"
"Jan 11, 2023","803.960","803.960","803.960","803.960","0.72%"
"Jan 10, 2023","798.180","798.180","798.180","798.180","-0.31%"
"Jan 09, 2023","800.630","800.630","800.630","800.630","0.51%"
"Jan 06, 2023","796.570","796.570","796.570","796.570","0.77%"
"Jan 05, 2023","790.500","790.500","790.500","790.500","-0.36%"
"Jan 04, 2023","793.330","793.330","793.330","793.330","1.17%"
"Jan 03, 2023","784.150","784.150","784.150","784.150","0.63%"
"Jan 02, 2023","779.240","779.240","779.240","779.240","0.55%"
"Dec 30, 2022","774.980","774.980","774.980","774.980","-0.75%"
"Dec 29, 2022","780.820","780.820","780.820","780.820","0.46%"
"Dec 28, 2022","777.250","777.250","777.250","777.250","-0.16%"
"Dec 27, 2022","778.510","778.510","778.510","778.510","-0.11%"
"Dec 23, 2022","779.390","779.390","779.390","779.390","-0.09%"
"Dec 22, 2022","780.080","780.080","780.080","780.080","-0.52%"
"Dec 21, 2022","784.150","784.150","784.150","784.150","0.73%"
"Dec 20, 2022","778.450","778.450","778.450","778.450","-0.43%"
"Dec 19, 2022","781.840","781.840","781.840","781.840","-0.11%"
"Dec 16, 2022","782.680","782.680","782.680","782.680","-0.63%"
"Dec 15, 2022","787.630","787.630","787.630","787.630","-1.68%"
"Dec 14, 2022","801.110","801.110","801.110","801.110","-0.01%"
"Dec 13, 2022","801.210","801.210","801.210","801.210","0.68%"
"Dec 12, 2022","795.760","795.760","795.760","795.760","-0.22%"
"Dec 09, 2022","797.500","797.500","797.500","797.500","0.19%"
"Dec 08, 2022","795.960","795.960","795.960","795.960","-0.05%"
"Dec 07, 2022","796.390","796.390","796.390","796.390","-0.23%"
"Dec 06, 2022","798.250","798.250","798.250","798.250","-0.25%"
"Dec 05, 2022","800.220","800.220","800.220","800.220","-0.19%"
"Dec 02, 2022","801.740","801.740","801.740","801.740","-0.02%"
"Dec 01, 2022","801.910","801.910","801.910","801.910","0.68%"
"Nov 30, 2022","796.530","796.530","796.530","796.530","0.26%"
"Nov 29, 2022","794.500","794.500","794.500","794.500","-0.16%"
"Nov 28, 2022","795.780","795.780","795.780","795.780","-0.22%"
"Nov 25, 2022","797.530","797.530","797.530","797.530","-0.16%"
"Nov 24, 2022","798.790","798.790","798.790","798.790","0.34%"
"Nov 23, 2022","796.120","796.120","796.120","796.120","0.39%"
"Nov 22, 2022","793.060","793.060","793.060","793.060","0.10%"
"Nov 21, 2022","792.240","792.240","792.240","792.240","0.04%"
"Nov 18, 2022","791.930","791.930","791.930","791.930","0.50%"
"Nov 17, 2022","788.000","788.000","788.000","788.000","0.09%"
"Nov 16, 2022","787.330","787.330","787.330","787.330","-0.26%"
"Nov 15, 2022","789.360","789.360","789.360","789.360","0.18%"
"Nov 14, 2022","787.930","787.930","787.930","787.930","0.02%"
"Nov 11, 2022","787.760","787.760","787.760","787.760","-0.07%"
"Nov 10, 2022","788.340","788.340","788.340","788.340","1.88%"
"Nov 09, 2022","773.810","773.810","773.810","773.810","0.13%"
"Nov 08, 2022","772.790","772.790","772.790","772.790","0.77%"
"Nov 07, 2022","766.880","766.880","766.880","766.880","0.15%"
"Nov 04, 2022","765.730","765.730","765.730","765.730","0.73%"
"Nov 03, 2022","760.170","760.170","760.170","760.170","-0.69%"
"Nov 02, 2022","765.460","765.460","765.460","765.460","-0.09%"
