"Date","Price","Open","High","Low","Change %"
"Jan 20, 2023","2,564.440","2,564.440","2,564.440","2,564.440","-0.05%"
"Jan 19, 2023","2,565.760","2,565.760","2,565.760","2,565.760","-0.98%"
"Jan 18, 2023","2,591.150","2,591.150","2,591.150","2,591.150","0.19%"
"Jan 17, 2023","2,586.280","2,586.280","2,586.280","2,586.280","0.30%"
"Jan 16, 2023","2,578.610","2,578.610","2,578.610","2,578.610","0.22%"
"Jan 13, 2023","2,573.000","2,573.000","2,573.000","2,573.000","0.31%"
"Jan 12, 2023","2,565.000","2,565.000","2,565.000","2,565.000","0.37%"
"Jan 11, 2023","2,555.620","2,555.620","2,555.620","2,555.620","0.73%"
"Jan 10, 2023","2,537.180","2,537.180","2,537.180","2,537.180","-0.31%"
"Jan 09, 2023","2,544.970","2,544.970","2,544.970","2,544.970","0.51%"
"Jan 06, 2023","2,532.040","2,532.040","2,532.040","2,532.040","0.77%"
"Jan 05, 2023","2,512.760","2,512.760","2,512.760","2,512.760","-0.36%"
"Jan 04, 2023","2,521.750","2,521.750","2,521.750","2,521.750","1.17%"
"Jan 03, 2023","2,492.600","2,492.600","2,492.600","2,492.600","0.63%"
"Jan 02, 2023","2,476.970","2,476.970","2,476.970","2,476.970","0.55%"
"Dec 30, 2022","2,463.430","2,463.430","2,463.430","2,463.430","-0.75%"
"Dec 29, 2022","2,481.960","2,481.960","2,481.960","2,481.960","0.46%"
"Dec 28, 2022","2,470.620","2,470.620","2,470.620","2,470.620","-0.16%"
"Dec 27, 2022","2,474.640","2,474.640","2,474.640","2,474.640","-0.11%"
"Dec 23, 2022","2,477.470","2,477.470","2,477.470","2,477.470","-0.09%"
"Dec 22, 2022","2,479.640","2,479.640","2,479.640","2,479.640","-0.52%"
"Dec 21, 2022","2,492.550","2,492.550","2,492.550","2,492.550","0.73%"
"Dec 20, 2022","2,474.430","2,474.430","2,474.430","2,474.430","-0.43%"
"Dec 19, 2022","2,485.230","2,485.230","2,485.230","2,485.230","-0.11%"
"Dec 16, 2022","2,487.910","2,487.910","2,487.910","2,487.910","-0.63%"
"Dec 15, 2022","2,503.640","2,503.640","2,503.640","2,503.640","-1.68%"
"Dec 14, 2022","2,546.470","2,546.470","2,546.470","2,546.470","-0.07%"
"Dec 13, 2022","2,548.370","2,548.370","2,548.370","2,548.370","0.69%"
"Dec 12, 2022","2,531.030","2,531.030","2,531.030","2,531.030","-0.22%"
"Dec 09, 2022","2,536.580","2,536.580","2,536.580","2,536.580","0.19%"
"Dec 08, 2022","2,531.670","2,531.670","2,531.670","2,531.670","-0.05%"
"Dec 07, 2022","2,533.040","2,533.040","2,533.040","2,533.040","-0.23%"
"Dec 06, 2022","2,538.980","2,538.980","2,538.980","2,538.980","-0.25%"
"Dec 05, 2022","2,545.220","2,545.220","2,545.220","2,545.220","-0.19%"
"Dec 02, 2022","2,550.060","2,550.060","2,550.060","2,550.060","-0.02%"
"Dec 01, 2022","2,550.590","2,550.590","2,550.590","2,550.590","0.68%"
"Nov 30, 2022","2,533.450","2,533.450","2,533.450","2,533.450","0.25%"
"Nov 29, 2022","2,527.020","2,527.020","2,527.020","2,527.020","-0.16%"
"Nov 28, 2022","2,531.090","2,531.090","2,531.090","2,531.090","-0.22%"
"Nov 25, 2022","2,536.670","2,536.670","2,536.670","2,536.670","-0.16%"
"Nov 24, 2022","2,540.680","2,540.680","2,540.680","2,540.680","0.34%"
"Nov 23, 2022","2,532.160","2,532.160","2,532.160","2,532.160","0.39%"
"Nov 22, 2022","2,522.420","2,522.420","2,522.420","2,522.420","0.10%"
"Nov 21, 2022","2,519.810","2,519.810","2,519.810","2,519.810","0.04%"
"Nov 18, 2022","2,518.850","2,518.850","2,518.850","2,518.850","0.50%"
"Nov 17, 2022","2,506.330","2,506.330","2,506.330","2,506.330","0.09%"
"Nov 16, 2022","2,504.200","2,504.200","2,504.200","2,504.200","-0.26%"
"Nov 15, 2022","2,510.690","2,510.690","2,510.690","2,510.690","0.18%"
"Nov 14, 2022","2,506.120","2,506.120","2,506.120","2,506.120","0.02%"
"Nov 11, 2022","2,505.600","2,505.600","2,505.600","2,505.600","-0.07%"
"Nov 10, 2022","2,507.450","2,507.450","2,507.450","2,507.450","1.88%"
"Nov 09, 2022","2,461.230","2,461.230","2,461.230","2,461.230","0.13%"
"Nov 08, 2022","2,458.000","2,458.000","2,458.000","2,458.000","0.77%"
"Nov 07, 2022","2,439.200","2,439.200","2,439.200","2,439.200","0.15%"
"Nov 04, 2022","2,435.530","2,435.530","2,435.530","2,435.530","0.73%"
"Nov 03, 2022","2,417.860","2,417.860","2,417.860","2,417.860","-0.69%"
"Nov 02, 2022","2,434.690","2,434.690","2,434.690","2,434.690","-0.09%"
"Nov 01, 2022","2,436.880","2,436.880","2,436.880","2,436.880","0.18%"
"Oct 31, 2022","2,432.400","2,432.400","2,432.400","2,432.400","-0.12%"
"Oct 28, 2022","2,435.210","2,435.210","2,435.210","2,435.210","-0.17%"
"Oct 27, 2022","2,439.400","2,439.400","2,439.400","2,439.400","0.10%"
"Oct 26, 2022","2,437.030","2,437.030","2,437.030","2,437.030","0.38%"
"Oct 25, 2022","2,427.810","2,427.810","2,427.810","2,427.810","1.42%"
"Oct 24, 2022","2,393.930","2,393.930","2,393.930","2,393.930","1.02%"
"Oct 21, 2022","2,369.730","2,369.730","2,369.730","2,369.730","-0.45%"
