"Date","Price","Open","High","Low","Change %"
"Jan 20, 2023","906.350","906.350","906.350","906.350","0.34%"
"Jan 19, 2023","903.240","903.240","903.240","903.240","-0.81%"
"Jan 18, 2023","910.650","910.650","910.650","910.650","-0.22%"
"Jan 17, 2023","912.640","912.640","912.640","912.640","0.18%"
"Jan 16, 2023","910.990","910.990","910.990","910.990","0.14%"
"Jan 13, 2023","909.760","909.760","909.760","909.760","0.29%"
"Jan 12, 2023","907.130","907.130","907.130","907.130","0.30%"
"Jan 11, 2023","904.410","904.410","904.410","904.410","0.62%"
"Jan 10, 2023","898.870","898.870","898.870","898.870","-0.15%"
"Jan 09, 2023","900.230","900.230","900.230","900.230","0.09%"
"Jan 06, 2023","899.410","899.410","899.410","899.410","0.62%"
"Jan 05, 2023","893.890","893.890","893.890","893.890","-0.08%"
"Jan 04, 2023","894.570","894.570","894.570","894.570","0.50%"
"Jan 03, 2023","890.130","890.130","890.130","890.130","0.77%"
"Jan 02, 2023","883.340","883.340","883.340","883.340","-0.06%"
"Dec 30, 2022","883.830","883.830","883.830","883.830","-0.34%"
"Dec 29, 2022","886.840","886.840","886.840","886.840","0.39%"
"Dec 28, 2022","883.390","883.390","883.390","883.390","-0.27%"
"Dec 27, 2022","885.790","885.790","885.790","885.790","-0.11%"
"Dec 23, 2022","886.800","886.800","886.800","886.800","-0.22%"
"Dec 22, 2022","888.750","888.750","888.750","888.750","-0.02%"
"Dec 21, 2022","888.960","888.960","888.960","888.960","0.71%"
"Dec 20, 2022","882.670","882.670","882.670","882.670","-0.33%"
"Dec 19, 2022","885.610","885.610","885.610","885.610","-0.28%"
"Dec 16, 2022","888.140","888.140","888.140","888.140","-0.94%"
"Dec 15, 2022","896.580","896.580","896.580","896.580","-1.09%"
"Dec 14, 2022","906.450","906.450","906.450","906.450","-0.34%"
"Dec 13, 2022","909.510","909.510","909.510","909.510","0.33%"
"Dec 12, 2022","906.500","906.500","906.500","906.500","0.22%"
"Dec 09, 2022","904.510","904.510","904.510","904.510","-0.02%"
"Dec 08, 2022","904.710","904.710","904.710","904.710","0.10%"
"Dec 07, 2022","903.830","903.830","903.830","903.830","-0.44%"
"Dec 06, 2022","907.790","907.790","907.790","907.790","-0.81%"
"Dec 05, 2022","915.210","915.210","915.210","915.210","-0.81%"
"Dec 02, 2022","922.730","922.730","922.730","922.730","-0.34%"
"Dec 01, 2022","925.850","925.850","925.850","925.850","0.13%"
"Nov 30, 2022","924.650","924.650","924.650","924.650","1.37%"
"Nov 29, 2022","912.120","912.120","912.120","912.120","0.03%"
"Nov 28, 2022","911.860","911.860","911.860","911.860","-0.60%"
"Nov 25, 2022","917.330","917.330","917.330","917.330","-0.16%"
"Nov 24, 2022","918.760","918.760","918.760","918.760","0.14%"
"Nov 23, 2022","917.430","917.430","917.430","917.430","0.18%"
"Nov 22, 2022","915.740","915.740","915.740","915.740","0.35%"
"Nov 21, 2022","912.590","912.590","912.590","912.590","0.41%"
"Nov 18, 2022","908.860","908.860","908.860","908.860","0.39%"
"Nov 17, 2022","905.300","905.300","905.300","905.300","-0.11%"
"Nov 16, 2022","906.260","906.260","906.260","906.260","-0.45%"
"Nov 15, 2022","910.400","910.400","910.400","910.400","0.12%"
"Nov 14, 2022","909.290","909.290","909.290","909.290","-0.26%"
"Nov 11, 2022","911.620","911.620","911.620","911.620","0.70%"
"Nov 10, 2022","905.310","905.310","905.310","905.310","0.81%"
"Nov 09, 2022","898.080","898.080","898.080","898.080","-0.34%"
"Nov 08, 2022","901.150","901.150","901.150","901.150","0.04%"
"Nov 07, 2022","900.830","900.830","900.830","900.830","0.05%"
"Nov 04, 2022","900.360","900.360","900.360","900.360","0.26%"
"Nov 03, 2022","898.000","898.000","898.000","898.000","-0.54%"
"Nov 02, 2022","902.870","902.870","902.870","902.870","-0.76%"
"Nov 01, 2022","909.800","909.800","909.800","909.800","0.56%"
"Oct 31, 2022","904.720","904.720","904.720","904.720","0.09%"
"Oct 28, 2022","903.880","903.880","903.880","903.880","1.04%"
"Oct 27, 2022","894.570","894.570","894.570","894.570","-0.00%"
"Oct 26, 2022","894.580","894.580","894.580","894.580","-0.29%"
"Oct 25, 2022","897.150","897.150","897.150","897.150","0.65%"
"Oct 24, 2022","891.390","891.390","891.390","891.390","0.48%"
"Oct 21, 2022","887.160","887.160","887.160","887.160","0.64%"
"Oct 20, 2022","881.550","881.550","881.550","881.550","-0.48%"
"Oct 19, 2022","885.840","885.840","885.840","885.840","-0.29%"
"Oct 18, 2022","888.390","888.390","888.390","888.390","0.94%"
"Oct 17, 2022","880.150","880.150","880.150","880.150","0.17%"
"Oct 14, 2022","878.670","878.670","878.670","878.670","-0.52%"
"Oct 13, 2022","883.280","883.280","883.280","883.280","0.70%"
"Oct 12, 2022","877.100","877.100","877.100","877.100","-0.44%"
"Oct 11, 2022","880.950","880.950","880.950","880.950","-0.41%"
"Oct 10, 2022","884.540","884.540","884.540","884.540","-0.55%"
"Oct 07, 2022","889.400","889.400","889.400","889.400","-1.12%"
"Oct 06, 2022","899.500","899.500","899.500","899.500","-0.26%"
"Oct 05, 2022","901.820","901.820","901.820","901.820","1.84%"
"Oct 03, 2022","885.510","885.510","885.510","885.510","0.75%"
"Sep 30, 2022","878.940","878.940","878.940","878.940","-1.24%"
"Sep 29, 2022","889.990","889.990","889.990","889.990","-1.01%"
"Sep 28, 2022","899.030","899.030","899.030","899.030","0.45%"
"Sep 27, 2022","894.990","894.990","894.990","894.990","-0.23%"
"Sep 26, 2022","897.040","897.040","897.040","897.040","-0.59%"
"Sep 23, 2022","902.340","902.340","902.340","902.340","-0.28%"
"Sep 22, 2022","904.880","904.880","904.880","904.880","-0.30%"
"Sep 21, 2022","907.630","907.630","907.630","907.630","-0.49%"
"Sep 20, 2022","912.070","912.070","912.070","912.070","-0.30%"
"Sep 19, 2022","914.810","914.810","914.810","914.810","0.00%"
"Sep 16, 2022","914.770","914.770","914.770","914.770","-0.94%"
"Sep 15, 2022","923.440","923.440","923.440","923.440","-0.32%"
"Sep 14, 2022","926.370","926.370","926.370","926.370","-0.66%"
"Sep 13, 2022","932.510","932.510","932.510","932.510","-1.26%"
"Sep 12, 2022","944.430","944.430","944.430","944.430","0.27%"
"Sep 09, 2022","941.920","941.920","941.920","941.920","0.51%"
"Sep 08, 2022","937.160","937.160","937.160","937.160","0.55%"
"Sep 07, 2022","932.050","932.050","932.050","932.050","0.19%"
"Sep 06, 2022","930.240","930.240","930.240","930.240","0.50%"
"Sep 05, 2022","925.620","925.620","925.620","925.620","-0.21%"
"Sep 02, 2022","927.550","927.550","927.550","927.550","-0.72%"
"Sep 01, 2022","934.320","934.320","934.320","934.320","0.16%"
"Aug 31, 2022","932.810","932.810","932.810","932.810","-0.75%"
"Aug 30, 2022","939.900","939.900","939.900","939.900","-0.60%"
"Aug 29, 2022","945.540","945.540","945.540","945.540","-1.13%"
"Aug 26, 2022","956.340","956.340","956.340","956.340","-1.15%"
"Aug 25, 2022","967.460","967.460","967.460","967.460","0.74%"
"Aug 24, 2022","960.320","960.320","960.320","960.320","-0.03%"
"Aug 23, 2022","960.590","960.590","960.590","960.590","-0.52%"
"Aug 22, 2022","965.570","965.570","965.570","965.570","-0.69%"
"Aug 19, 2022","972.250","972.250","972.250","972.250","-0.10%"
"Aug 18, 2022","973.180","973.180","973.180","973.180","-0.00%"
"Aug 17, 2022","973.210","973.210","973.210","973.210","-0.15%"
"Aug 16, 2022","974.680","974.680","974.680","974.680","0.18%"
"Aug 15, 2022","972.970","972.970","972.970","972.970","0.89%"
"Aug 12, 2022","964.430","964.430","964.430","964.430","0.93%"
"Aug 11, 2022","955.590","955.590","955.590","955.590","0.49%"
"Aug 10, 2022","950.960","950.960","950.960","950.960","0.10%"
"Aug 09, 2022","950.050","950.050","950.050","950.050","-0.32%"
"Aug 08, 2022","953.120","953.120","953.120","953.120","-0.15%"
"Aug 05, 2022","954.550","954.550","954.550","954.550","0.10%"
"Aug 04, 2022","953.640","953.640","953.640","953.640","0.08%"
"Aug 03, 2022","952.910","952.910","952.910","952.910","0.46%"
"Aug 02, 2022","948.550","948.550","948.550","948.550","0.19%"
"Aug 01, 2022","946.750","946.750","946.750","946.750","-0.47%"
"Jul 29, 2022","951.210","951.210","951.210","951.210","0.57%"
"Jul 28, 2022","945.830","945.830","945.830","945.830","1.14%"
"Jul 27, 2022","935.190","935.190","935.190","935.190","0.62%"
"Jul 26, 2022","929.410","929.410","929.410","929.410","0.13%"
"Jul 25, 2022","928.210","928.210","928.210","928.210","-0.09%"
"Jul 22, 2022","929.090","929.090","929.090","929.090","-0.08%"
"Jul 21, 2022","929.860","929.860","929.860","929.860","0.68%"
"Jul 20, 2022","923.600","923.600","923.600","923.600","0.72%"
"Jul 19, 2022","917.020","917.020","917.020","917.020","0.47%"
"Jul 18, 2022","912.740","912.740","912.740","912.740","-0.32%"
"Jul 15, 2022","915.710","915.710","915.710","915.710","0.51%"
"Jul 14, 2022","911.080","911.080","911.080","911.080","-0.05%"
"Jul 13, 2022","911.570","911.570","911.570","911.570","-0.66%"
"Jul 12, 2022","917.640","917.640","917.640","917.640","-0.29%"
"Jul 11, 2022","920.290","920.290","920.290","920.290","-0.14%"
"Jul 08, 2022","921.560","921.560","921.560","921.560","0.39%"
"Jul 07, 2022","917.940","917.940","917.940","917.940","1.04%"
"Jul 06, 2022","908.490","908.490","908.490","908.490","0.83%"
"Jul 05, 2022","901.010","901.010","901.010","901.010","0.36%"
"Jul 04, 2022","897.820","897.820","897.820","897.820","0.16%"
"Jul 01, 2022","896.420","896.420","896.420","896.420","0.55%"
"Jun 30, 2022","891.540","891.540","891.540","891.540","-0.42%"
"Jun 29, 2022","895.310","895.310","895.310","895.310","-0.30%"
"Jun 28, 2022","897.960","897.960","897.960","897.960","-0.34%"
"Jun 27, 2022","901.010","901.010","901.010","901.010","0.47%"
"Jun 24, 2022","896.810","896.810","896.810","896.810","1.54%"
"Jun 23, 2022","883.180","883.180","883.180","883.180","0.45%"
"Jun 22, 2022","879.230","879.230","879.230","879.230","-0.13%"
"Jun 21, 2022","880.400","880.400","880.400","880.400","0.54%"
"Jun 20, 2022","875.630","875.630","875.630","875.630","-0.05%"
"Jun 17, 2022","876.100","876.100","876.100","876.100","-0.43%"
"Jun 16, 2022","879.850","879.850","879.850","879.850","-1.47%"
"Jun 15, 2022","892.980","892.980","892.980","892.980","0.65%"
"Jun 14, 2022","887.170","887.170","887.170","887.170","-0.83%"
"Jun 13, 2022","894.590","894.590","894.590","894.590","-1.74%"
"Jun 10, 2022","910.470","910.470","910.470","910.470","-1.15%"
"Jun 09, 2022","921.040","921.040","921.040","921.040","-0.92%"
"Jun 08, 2022","929.590","929.590","929.590","929.590","-0.33%"
"Jun 07, 2022","932.710","932.710","932.710","932.710","0.03%"
"Jun 06, 2022","932.440","932.440","932.440","932.440","0.20%"
"Jun 03, 2022","930.600","930.600","930.600","930.600","-0.26%"
"Jun 02, 2022","933.020","933.020","933.020","933.020","0.22%"
"Jun 01, 2022","930.990","930.990","930.990","930.990","-0.24%"
"May 31, 2022","933.230","933.230","933.230","933.230","-0.17%"
"May 30, 2022","934.800","934.800","934.800","934.800","0.36%"
"May 27, 2022","931.440","931.440","931.440","931.440","1.49%"
"May 26, 2022","917.800","917.800","917.800","917.800","0.71%"
"May 25, 2022","911.290","911.290","911.290","911.290","0.17%"
"May 24, 2022","909.770","909.770","909.770","909.770","-0.59%"
"May 23, 2022","915.200","915.200","915.200","915.200","0.37%"
"May 20, 2022","911.860","911.860","911.860","911.860","0.23%"
"May 19, 2022","909.730","909.730","909.730","909.730","-1.30%"
"May 18, 2022","921.680","921.680","921.680","921.680","-1.39%"
"May 17, 2022","934.700","934.700","934.700","934.700","0.34%"
"May 16, 2022","931.530","931.530","931.530","931.530","0.24%"
"May 13, 2022","929.290","929.290","929.290","929.290","1.61%"
"May 12, 2022","914.530","914.530","914.530","914.530","0.13%"
"May 11, 2022","913.360","913.360","913.360","913.360","-0.53%"
"May 10, 2022","918.220","918.220","918.220","918.220","-0.44%"
"May 09, 2022","922.270","922.270","922.270","922.270","-1.57%"
"May 06, 2022","936.950","936.950","936.950","936.950","-1.81%"
"May 05, 2022","954.230","954.230","954.230","954.230","-0.71%"
"May 04, 2022","961.010","961.010","961.010","961.010","0.82%"
"May 03, 2022","953.180","953.180","953.180","953.180","-0.65%"
"May 02, 2022","959.460","959.460","959.460","959.460","0.19%"
"Apr 29, 2022","957.680","957.680","957.680","957.680","-0.89%"
"Apr 28, 2022","966.310","966.310","966.310","966.310","1.11%"
"Apr 27, 2022","955.730","955.730","955.730","955.730","0.34%"
"Apr 26, 2022","952.460","952.460","952.460","952.460","-0.72%"
"Apr 25, 2022","959.350","959.350","959.350","959.350","-0.31%"
