"Date","Price","Open","High","Low","Change %"
"Jan 20, 2023","1,413.820","1,413.820","1,413.820","1,413.820","0.02%"
"Jan 19, 2023","1,413.520","1,413.520","1,413.520","1,413.520","-0.67%"
"Jan 18, 2023","1,423.020","1,423.020","1,423.020","1,423.020","-0.00%"
"Jan 17, 2023","1,423.030","1,423.030","1,423.030","1,423.030","0.35%"
"Jan 16, 2023","1,418.020","1,418.020","1,418.020","1,418.020","0.06%"
"Jan 13, 2023","1,417.140","1,417.140","1,417.140","1,417.140","0.21%"
"Jan 12, 2023","1,414.220","1,414.220","1,414.220","1,414.220","0.32%"
"Jan 11, 2023","1,409.700","1,409.700","1,409.700","1,409.700","0.67%"
"Jan 10, 2023","1,400.360","1,400.360","1,400.360","1,400.360","-0.20%"
"Jan 09, 2023","1,403.150","1,403.150","1,403.150","1,403.150","-0.06%"
"Jan 06, 2023","1,404.030","1,404.030","1,404.030","1,404.030","0.72%"
"Jan 05, 2023","1,393.940","1,393.940","1,393.940","1,393.940","-0.20%"
"Jan 04, 2023","1,396.670","1,396.670","1,396.670","1,396.670","0.56%"
"Jan 03, 2023","1,388.870","1,388.870","1,388.870","1,388.870","0.70%"
"Jan 02, 2023","1,379.250","1,379.250","1,379.250","1,379.250","0.11%"
"Dec 30, 2022","1,377.760","1,377.760","1,377.760","1,377.760","-0.40%"
"Dec 29, 2022","1,383.290","1,383.290","1,383.290","1,383.290","0.34%"
"Dec 28, 2022","1,378.570","1,378.570","1,378.570","1,378.570","-0.19%"
"Dec 27, 2022","1,381.230","1,381.230","1,381.230","1,381.230","-0.26%"
"Dec 23, 2022","1,384.890","1,384.890","1,384.890","1,384.890","-0.18%"
"Dec 22, 2022","1,387.350","1,387.350","1,387.350","1,387.350","-0.10%"
"Dec 21, 2022","1,388.770","1,388.770","1,388.770","1,388.770","0.46%"
"Dec 20, 2022","1,382.360","1,382.360","1,382.360","1,382.360","-0.38%"
"Dec 19, 2022","1,387.630","1,387.630","1,387.630","1,387.630","-0.22%"
"Dec 16, 2022","1,390.670","1,390.670","1,390.670","1,390.670","-0.76%"
"Dec 15, 2022","1,401.320","1,401.320","1,401.320","1,401.320","-0.98%"
"Dec 14, 2022","1,415.120","1,415.120","1,415.120","1,415.120","-0.33%"
"Dec 13, 2022","1,419.780","1,419.780","1,419.780","1,419.780","0.27%"
"Dec 12, 2022","1,415.900","1,415.900","1,415.900","1,415.900","0.20%"
"Dec 09, 2022","1,413.120","1,413.120","1,413.120","1,413.120","-0.21%"
"Dec 08, 2022","1,416.110","1,416.110","1,416.110","1,416.110","0.02%"
"Dec 07, 2022","1,415.880","1,415.880","1,415.880","1,415.880","-0.26%"
"Dec 06, 2022","1,419.640","1,419.640","1,419.640","1,419.640","-0.39%"
"Dec 05, 2022","1,425.150","1,425.150","1,425.150","1,425.150","-0.57%"
"Dec 02, 2022","1,433.310","1,433.310","1,433.310","1,433.310","-0.27%"
"Dec 01, 2022","1,437.260","1,437.260","1,437.260","1,437.260","0.23%"
"Nov 30, 2022","1,433.980","1,433.980","1,433.980","1,433.980","0.87%"
"Nov 29, 2022","1,421.610","1,421.610","1,421.610","1,421.610","0.18%"
"Nov 28, 2022","1,419.050","1,419.050","1,419.050","1,419.050","-0.44%"
"Nov 25, 2022","1,425.250","1,425.250","1,425.250","1,425.250","-0.31%"
"Nov 24, 2022","1,429.680","1,429.680","1,429.680","1,429.680","0.27%"
"Nov 23, 2022","1,425.820","1,425.820","1,425.820","1,425.820","0.23%"
"Nov 22, 2022","1,422.610","1,422.610","1,422.610","1,422.610","0.24%"
"Nov 21, 2022","1,419.180","1,419.180","1,419.180","1,419.180","0.34%"
"Nov 18, 2022","1,414.390","1,414.390","1,414.390","1,414.390","0.34%"
"Nov 17, 2022","1,409.580","1,409.580","1,409.580","1,409.580","-0.05%"
"Nov 16, 2022","1,410.330","1,410.330","1,410.330","1,410.330","-0.21%"
