"Date","Price","Open","High","Low","Change %"
"Jan 20, 2023","524.750","524.750","524.750","524.750","-0.36%"
"Jan 19, 2023","526.640","526.640","526.640","526.640","-0.53%"
"Jan 18, 2023","529.470","529.470","529.470","529.470","0.31%"
"Jan 17, 2023","527.830","527.830","527.830","527.830","0.46%"
"Jan 16, 2023","525.430","525.430","525.430","525.430","0.05%"
"Jan 13, 2023","525.180","525.180","525.180","525.180","0.12%"
"Jan 12, 2023","524.550","524.550","524.550","524.550","0.36%"
"Jan 11, 2023","522.680","522.680","522.680","522.680","0.69%"
"Jan 10, 2023","519.120","519.120","519.120","519.120","-0.29%"
"Jan 09, 2023","520.630","520.630","520.630","520.630","-0.09%"
"Jan 06, 2023","521.090","521.090","521.090","521.090","0.72%"
"Jan 05, 2023","517.340","517.340","517.340","517.340","-0.27%"
"Jan 04, 2023","518.760","518.760","518.760","518.760","0.63%"
"Jan 03, 2023","515.510","515.510","515.510","515.510","0.63%"
"Jan 02, 2023","512.280","512.280","512.280","512.280","0.25%"
"Dec 30, 2022","511.010","511.010","511.010","511.010","-0.43%"
"Dec 29, 2022","513.240","513.240","513.240","513.240","0.26%"
"Dec 28, 2022","511.890","511.890","511.890","511.890","-0.11%"
"Dec 27, 2022","512.440","512.440","512.440","512.440","-0.39%"
"Dec 23, 2022","514.470","514.470","514.470","514.470","-0.19%"
"Dec 22, 2022","515.470","515.470","515.470","515.470","-0.12%"
"Dec 21, 2022","516.100","516.100","516.100","516.100","0.22%"
"Dec 20, 2022","514.980","514.980","514.980","514.980","-0.48%"
"Dec 19, 2022","517.450","517.450","517.450","517.450","-0.15%"
"Dec 16, 2022","518.250","518.250","518.250","518.250","-0.71%"
"Dec 15, 2022","521.960","521.960","521.960","521.960","-0.81%"
"Dec 14, 2022","526.210","526.210","526.210","526.210","-0.28%"
"Dec 13, 2022","527.670","527.670","527.670","527.670","0.22%"
"Dec 12, 2022","526.500","526.500","526.500","526.500","0.15%"
"Dec 09, 2022","525.690","525.690","525.690","525.690","-0.39%"
"Dec 08, 2022","527.730","527.730","527.730","527.730","-0.08%"
"Dec 07, 2022","528.170","528.170","528.170","528.170","-0.11%"
"Dec 06, 2022","528.740","528.740","528.740","528.740","-0.00%"
"Dec 05, 2022","528.750","528.750","528.750","528.750","-0.26%"
"Dec 02, 2022","530.110","530.110","530.110","530.110","-0.23%"
"Dec 01, 2022","531.350","531.350","531.350","531.350","0.49%"
"Nov 30, 2022","528.740","528.740","528.740","528.740","0.30%"
"Nov 29, 2022","527.140","527.140","527.140","527.140","0.29%"
"Nov 28, 2022","525.610","525.610","525.610","525.610","-0.26%"
"Nov 25, 2022","526.960","526.960","526.960","526.960","-0.46%"
"Nov 24, 2022","529.400","529.400","529.400","529.400","0.40%"
"Nov 23, 2022","527.310","527.310","527.310","527.310","0.36%"
"Nov 22, 2022","525.440","525.440","525.440","525.440","0.12%"
"Nov 21, 2022","524.820","524.820","524.820","524.820","0.26%"
"Nov 18, 2022","523.480","523.480","523.480","523.480","0.31%"
"Nov 17, 2022","521.860","521.860","521.860","521.860","-0.07%"
"Nov 16, 2022","522.200","522.200","522.200","522.200","0.15%"
"Nov 15, 2022","521.400","521.400","521.400","521.400","0.32%"
"Nov 14, 2022","519.740","519.740","519.740","519.740","-0.01%"
"Nov 11, 2022","519.770","519.770","519.770","519.770","-0.35%"
"Nov 10, 2022","521.590","521.590","521.590","521.590","0.76%"
"Nov 09, 2022","517.680","517.680","517.680","517.680","0.24%"
"Nov 08, 2022","516.420","516.420","516.420","516.420","0.19%"
"Nov 07, 2022","515.430","515.430","515.430","515.430","0.05%"
"Nov 04, 2022","515.160","515.160","515.160","515.160","-0.03%"
"Nov 03, 2022","515.290","515.290","515.290","515.290","-0.57%"
"Nov 02, 2022","518.270","518.270","518.270","518.270","-0.30%"
"Nov 01, 2022","519.810","519.810","519.810","519.810","0.28%"
"Oct 31, 2022","518.360","518.360","518.360","518.360","-0.31%"
"Oct 28, 2022","519.980","519.980","519.980","519.980","0.16%"
"Oct 27, 2022","519.160","519.160","519.160","519.160","0.59%"
"Oct 26, 2022","516.120","516.120","516.120","516.120","0.01%"
"Oct 25, 2022","516.090","516.090","516.090","516.090","0.92%"
"Oct 24, 2022","511.370","511.370","511.370","511.370","0.56%"
"Oct 21, 2022","508.500","508.500","508.500","508.500","0.09%"
"Oct 20, 2022","508.060","508.060","508.060","508.060","-0.29%"
"Oct 19, 2022","509.560","509.560","509.560","509.560","-0.44%"
"Oct 18, 2022","511.790","511.790","511.790","511.790","0.51%"
"Oct 17, 2022","509.180","509.180","509.180","509.180","0.23%"
"Oct 14, 2022","507.990","507.990","507.990","507.990","-0.31%"
"Oct 13, 2022","509.580","509.580","509.580","509.580","0.37%"
"Oct 12, 2022","507.720","507.720","507.720","507.720","-0.51%"
"Oct 11, 2022","510.340","510.340","510.340","510.340","-0.10%"
"Oct 10, 2022","510.850","510.850","510.850","510.850","-0.61%"
"Oct 07, 2022","514.000","514.000","514.000","514.000","-0.84%"
"Oct 06, 2022","518.370","518.370","518.370","518.370","-0.40%"
"Oct 05, 2022","520.430","520.430","520.430","520.430","0.12%"
"Oct 03, 2022","519.820","519.820","519.820","519.820","1.14%"
"Sep 30, 2022","513.960","513.960","513.960","513.960","-0.19%"
