"Date","Price","Open","High","Low","Change %"
"Jan 20, 2023","1,726.790","1,726.790","1,726.790","1,726.790","-0.36%"
"Jan 19, 2023","1,732.970","1,732.970","1,732.970","1,732.970","-0.53%"
"Jan 18, 2023","1,742.240","1,742.240","1,742.240","1,742.240","0.31%"
"Jan 17, 2023","1,736.790","1,736.790","1,736.790","1,736.790","0.46%"
"Jan 16, 2023","1,728.860","1,728.860","1,728.860","1,728.860","0.05%"
"Jan 13, 2023","1,727.950","1,727.950","1,727.950","1,727.950","0.12%"
"Jan 12, 2023","1,725.810","1,725.810","1,725.810","1,725.810","0.36%"
"Jan 11, 2023","1,719.620","1,719.620","1,719.620","1,719.620","0.69%"
"Jan 10, 2023","1,707.880","1,707.880","1,707.880","1,707.880","-0.29%"
"Jan 09, 2023","1,712.830","1,712.830","1,712.830","1,712.830","-0.08%"
"Jan 06, 2023","1,714.210","1,714.210","1,714.210","1,714.210","0.73%"
"Jan 05, 2023","1,701.840","1,701.840","1,701.840","1,701.840","-0.27%"
"Jan 04, 2023","1,706.470","1,706.470","1,706.470","1,706.470","0.63%"
"Jan 03, 2023","1,695.760","1,695.760","1,695.760","1,695.760","0.63%"
"Jan 02, 2023","1,685.100","1,685.100","1,685.100","1,685.100","0.25%"
"Dec 30, 2022","1,680.840","1,680.840","1,680.840","1,680.840","-0.43%"
"Dec 29, 2022","1,688.090","1,688.090","1,688.090","1,688.090","0.26%"
"Dec 28, 2022","1,683.630","1,683.630","1,683.630","1,683.630","-0.11%"
"Dec 27, 2022","1,685.400","1,685.400","1,685.400","1,685.400","-0.39%"
"Dec 23, 2022","1,691.930","1,691.930","1,691.930","1,691.930","-0.19%"
"Dec 22, 2022","1,695.150","1,695.150","1,695.150","1,695.150","-0.12%"
"Dec 21, 2022","1,697.200","1,697.200","1,697.200","1,697.200","0.22%"
"Dec 20, 2022","1,693.480","1,693.480","1,693.480","1,693.480","-0.48%"
"Dec 19, 2022","1,701.580","1,701.580","1,701.580","1,701.580","-0.15%"
"Dec 16, 2022","1,704.090","1,704.090","1,704.090","1,704.090","-0.71%"
"Dec 15, 2022","1,716.250","1,716.250","1,716.250","1,716.250","-0.80%"
"Dec 14, 2022","1,730.170","1,730.170","1,730.170","1,730.170","-0.28%"
"Dec 13, 2022","1,735.010","1,735.010","1,735.010","1,735.010","0.23%"
"Dec 12, 2022","1,731.110","1,731.110","1,731.110","1,731.110","0.16%"
"Dec 09, 2022","1,728.320","1,728.320","1,728.320","1,728.320","-0.39%"
"Dec 08, 2022","1,735.020","1,735.020","1,735.020","1,735.020","-0.08%"
"Dec 07, 2022","1,736.400","1,736.400","1,736.400","1,736.400","-0.11%"
"Dec 06, 2022","1,738.250","1,738.250","1,738.250","1,738.250","0.00%"
"Dec 05, 2022","1,738.240","1,738.240","1,738.240","1,738.240","-0.25%"
"Dec 02, 2022","1,742.600","1,742.600","1,742.600","1,742.600","-0.23%"
"Dec 01, 2022","1,746.630","1,746.630","1,746.630","1,746.630","0.50%"
"Nov 30, 2022","1,738.010","1,738.010","1,738.010","1,738.010","0.31%"
"Nov 29, 2022","1,732.720","1,732.720","1,732.720","1,732.720","0.29%"
"Nov 28, 2022","1,727.660","1,727.660","1,727.660","1,727.660","-0.25%"
"Nov 25, 2022","1,731.980","1,731.980","1,731.980","1,731.980","-0.46%"
"Nov 24, 2022","1,739.960","1,739.960","1,739.960","1,739.960","0.40%"
"Nov 23, 2022","1,733.050","1,733.050","1,733.050","1,733.050","0.36%"
"Nov 22, 2022","1,726.880","1,726.880","1,726.880","1,726.880","0.12%"
"Nov 21, 2022","1,724.810","1,724.810","1,724.810","1,724.810","0.26%"
