"Date","Price","Open","High","Low","Change %"
"Jan 20, 2023","812.600","812.600","812.600","812.600","-0.15%"
"Jan 19, 2023","813.780","813.780","813.780","813.780","-1.00%"
"Jan 18, 2023","822.000","822.000","822.000","822.000","0.31%"
"Jan 17, 2023","819.500","819.500","819.500","819.500","0.44%"
"Jan 16, 2023","815.870","815.870","815.870","815.870","0.21%"
"Jan 13, 2023","814.140","814.140","814.140","814.140","0.35%"
"Jan 12, 2023","811.330","811.330","811.330","811.330","0.32%"
"Jan 11, 2023","808.740","808.740","808.740","808.740","0.58%"
"Jan 10, 2023","804.090","804.090","804.090","804.090","-0.37%"
"Jan 09, 2023","807.070","807.070","807.070","807.070","0.52%"
"Jan 06, 2023","802.910","802.910","802.910","802.910","0.80%"
"Jan 05, 2023","796.500","796.500","796.500","796.500","-0.41%"
"Jan 04, 2023","799.810","799.810","799.810","799.810","1.19%"
"Jan 03, 2023","790.370","790.370","790.370","790.370","0.64%"
"Jan 02, 2023","785.360","785.360","785.360","785.360","0.55%"
"Dec 30, 2022","781.060","781.060","781.060","781.060","-0.77%"
"Dec 29, 2022","787.110","787.110","787.110","787.110","0.43%"
"Dec 28, 2022","783.720","783.720","783.720","783.720","-0.11%"
"Dec 27, 2022","784.560","784.560","784.560","784.560","-0.11%"
"Dec 23, 2022","785.450","785.450","785.450","785.450","-0.15%"
"Dec 22, 2022","786.640","786.640","786.640","786.640","-0.58%"
"Dec 21, 2022","791.220","791.220","791.220","791.220","0.77%"
"Dec 20, 2022","785.210","785.210","785.210","785.210","-0.45%"
"Dec 19, 2022","788.780","788.780","788.780","788.780","-0.07%"
"Dec 16, 2022","789.360","789.360","789.360","789.360","-0.66%"
"Dec 15, 2022","794.620","794.620","794.620","794.620","-1.84%"
"Dec 14, 2022","809.490","809.490","809.490","809.490","0.01%"
"Dec 13, 2022","809.440","809.440","809.440","809.440","0.69%"
"Dec 12, 2022","803.860","803.860","803.860","803.860","-0.24%"
"Dec 09, 2022","805.800","805.800","805.800","805.800","0.26%"
"Dec 08, 2022","803.680","803.680","803.680","803.680","-0.09%"
"Dec 07, 2022","804.370","804.370","804.370","804.370","-0.23%"
"Dec 06, 2022","806.190","806.190","806.190","806.190","-0.24%"
"Dec 05, 2022","808.100","808.100","808.100","808.100","-0.24%"
"Dec 02, 2022","810.070","810.070","810.070","810.070","-0.06%"
"Dec 01, 2022","810.520","810.520","810.520","810.520","0.71%"
"Nov 30, 2022","804.810","804.810","804.810","804.810","0.28%"
"Nov 29, 2022","802.570","802.570","802.570","802.570","-0.18%"
