"Date","Price","Open","High","Low","Change %"
"Jan 20, 2023","640.610","640.610","640.610","640.610","-0.35%"
"Jan 19, 2023","642.890","642.890","642.890","642.890","-0.53%"
"Jan 18, 2023","646.310","646.310","646.310","646.310","0.32%"
"Jan 17, 2023","644.280","644.280","644.280","644.280","0.46%"
"Jan 16, 2023","641.330","641.330","641.330","641.330","0.06%"
"Jan 13, 2023","640.960","640.960","640.960","640.960","0.12%"
"Jan 12, 2023","640.160","640.160","640.160","640.160","0.36%"
"Jan 11, 2023","637.850","637.850","637.850","637.850","0.69%"
"Jan 10, 2023","633.490","633.490","633.490","633.490","-0.29%"
"Jan 09, 2023","635.310","635.310","635.310","635.310","-0.08%"
"Jan 06, 2023","635.790","635.790","635.790","635.790","0.73%"
"Jan 05, 2023","631.190","631.190","631.190","631.190","-0.27%"
"Jan 04, 2023","632.900","632.900","632.900","632.900","0.63%"
"Jan 03, 2023","628.920","628.920","628.920","628.920","0.64%"
"Jan 02, 2023","624.950","624.950","624.950","624.950","0.26%"
"Dec 30, 2022","623.350","623.350","623.350","623.350","-0.43%"
"Dec 29, 2022","626.020","626.020","626.020","626.020","0.27%"
"Dec 28, 2022","624.360","624.360","624.360","624.360","-0.10%"
"Dec 27, 2022","625.000","625.000","625.000","625.000","-0.38%"
"Dec 23, 2022","627.380","627.380","627.380","627.380","-0.19%"
"Dec 22, 2022","628.570","628.570","628.570","628.570","-0.12%"
"Dec 21, 2022","629.320","629.320","629.320","629.320","0.22%"
"Dec 20, 2022","627.930","627.930","627.930","627.930","-0.47%"
"Dec 19, 2022","630.920","630.920","630.920","630.920","-0.14%"
"Dec 16, 2022","631.820","631.820","631.820","631.820","-0.71%"
"Dec 15, 2022","636.320","636.320","636.320","636.320","-0.80%"
"Dec 14, 2022","641.470","641.470","641.470","641.470","-0.27%"
"Dec 13, 2022","643.230","643.230","643.230","643.230","0.23%"
"Dec 12, 2022","641.780","641.780","641.780","641.780","0.17%"
"Dec 09, 2022","640.710","640.710","640.710","640.710","-0.38%"
"Dec 08, 2022","643.180","643.180","643.180","643.180","-0.08%"
"Dec 07, 2022","643.690","643.690","643.690","643.690","-0.10%"
"Dec 06, 2022","644.360","644.360","644.360","644.360","0.00%"
"Dec 05, 2022","644.350","644.350","644.350","644.350","-0.24%"
"Dec 02, 2022","645.930","645.930","645.930","645.930","-0.23%"
"Dec 01, 2022","647.410","647.410","647.410","647.410","0.50%"
"Nov 30, 2022","644.210","644.210","644.210","644.210","0.31%"
"Nov 29, 2022","642.240","642.240","642.240","642.240","0.30%"
"Nov 28, 2022","640.350","640.350","640.350","640.350","-0.24%"
"Nov 25, 2022","641.920","641.920","641.920","641.920","-0.46%"
"Nov 24, 2022","644.870","644.870","644.870","644.870","0.40%"
"Nov 23, 2022","642.300","642.300","642.300","642.300","0.36%"
"Nov 22, 2022","640.000","640.000","640.000","640.000","0.12%"
"Nov 21, 2022","639.220","639.220","639.220","639.220","0.27%"
"Nov 18, 2022","637.510","637.510","637.510","637.510","0.31%"
"Nov 17, 2022","635.510","635.510","635.510","635.510","-0.06%"
"Nov 16, 2022","635.900","635.900","635.900","635.900","0.16%"
"Nov 15, 2022","634.910","634.910","634.910","634.910","0.32%"
"Nov 14, 2022","632.860","632.860","632.860","632.860","0.01%"
"Nov 11, 2022","632.820","632.820","632.820","632.820","-0.34%"
"Nov 10, 2022","635.010","635.010","635.010","635.010","0.76%"
