,Datum_Eerste_Storting,Datum_Verkoop,Investering Totaal,Verkoop Totaal,Winst Pct,Eff Interest
0,2023-01-10,2023-01-20,,,,
85,2022-12-12,2023-01-20,,,,
86,2022-12-12,2022-12-20,,,,
170,2022-11-10,2023-01-20,,,,
171,2022-11-10,2022-12-20,,,,
172,2022-11-10,2022-11-21,,,,
255,2022-10-10,2023-01-20,1.0,0.9961408052293077,-0.3859194770692298,-1.375
256,2022-10-10,2022-12-20,,,,
257,2022-10-10,2022-11-21,,,,
258,2022-10-10,2022-10-20,,,,
340,2022-09-12,2023-01-20,2.0,1.929680453082574,-3.5159773458713017,-10.65625
341,2022-09-12,2022-12-20,1.0,0.9085290798688853,-9.147092013111468,-29.7890625
342,2022-09-12,2022-11-21,,,,
343,2022-09-12,2022-10-20,,,,
344,2022-09-12,2022-09-20,,,,
425,2022-08-10,2023-01-20,3.0,2.8574866445590574,-4.750445181364753,-12.6328125
426,2022-08-10,2022-12-20,2.0,1.8114783090496451,-9.426084547517743,-26.890625
427,2022-08-10,2022-11-21,1.0,0.9329692562395414,-6.703074376045858,-21.796875
428,2022-08-10,2022-10-20,,,,
429,2022-08-10,2022-09-20,,,,
430,2022-08-10,2022-08-22,,,,
510,2022-07-11,2023-01-20,4.0,3.8168362313207043,-4.579094216982393,-11.0
511,2022-07-11,2022-12-20,3.0,2.7451258507876393,-8.495804973745358,-21.94921875
512,2022-07-11,2022-11-21,2.0,1.8976574407518465,-5.117127962407675,-15.0
513,2022-07-11,2022-10-20,1.0,0.9312192832293334,-6.8780716770666555,-22.703125
514,2022-07-11,2022-09-20,,,,
515,2022-07-11,2022-08-22,,,,
516,2022-07-11,2022-07-20,,,,
595,2022-06-10,2023-01-20,5.0,4.78719742699008,-4.256051460198407,-9.328125
596,2022-06-10,2022-12-20,4.0,3.6894899881537038,-7.762750296157406,-18.2734375
597,2022-06-10,2022-11-21,3.0,2.8734185116783877,-4.219382944053744,-11.140625
598,2022-06-10,2022-10-20,2.0,1.8731272900436435,-6.343635497817823,-18.5703125
599,2022-06-10,2022-09-20,1.0,0.9738828534457881,-2.6117146554211934,-9.03515625
600,2022-06-10,2022-08-22,,,,
601,2022-06-10,2022-07-20,,,,
602,2022-06-10,2022-06-20,,,,
680,2022-05-10,2023-01-20,6.0,5.750029564140116,-4.166173930998074,-8.37890625
681,2022-05-10,2022-12-20,5.0,4.62652677887243,-7.469464422551404,-16.08984375
682,2022-05-10,2022-11-21,4.0,3.841608626308772,-3.9597843422807033,-9.44921875
683,2022-05-10,2022-10-20,3.0,2.8077270073933818,-6.409099753553941,-16.75390625
684,2022-05-10,2022-09-20,2.0,1.9402093237351814,-2.98953381324093,-9.0
685,2022-05-10,2022-08-22,1.0,1.022352278290428,2.2352278290427963,8.0703125
686,2022-05-10,2022-07-20,,,,
687,2022-05-10,2022-06-20,,,,
688,2022-05-10,2022-05-20,,,,
765,2022-04-11,2023-01-20,7.0,6.652656553627654,-4.962049233890653,-9.19921875
766,2022-04-11,2022-12-20,6.0,5.5049713849582265,-8.250476917362892,-16.3125
767,2022-04-11,2022-11-21,5.0,4.749258563095458,-5.0148287380908485,-10.8515625
