,Datum_Eerste_Storting,Datum_Verkoop,Investering Totaal,Verkoop Totaal,Winst Pct,Eff Interest
0,2023-01-10,2023-01-20,,,,
66,2022-12-12,2023-01-20,,,,
67,2022-12-12,2022-12-20,,,,
132,2022-11-10,2023-01-20,,,,
133,2022-11-10,2022-12-20,,,,
134,2022-11-10,2022-11-21,,,,
198,2022-10-10,2023-01-20,1.0,0.995703710058954,-0.42962899410460276,-1.53125
199,2022-10-10,2022-12-20,,,,
200,2022-10-10,2022-11-21,,,,
201,2022-10-10,2022-10-20,,,,
264,2022-09-12,2023-01-20,2.0,1.9348170612331568,-3.259146938342161,-9.90234375
265,2022-09-12,2022-12-20,1.0,0.917589690828907,-8.241030917109304,-27.171875
266,2022-09-12,2022-11-21,,,,
267,2022-09-12,2022-10-20,,,,
268,2022-09-12,2022-09-20,,,,
330,2022-08-10,2023-01-20,3.0,2.8567923544629115,-4.7735881845696175,-12.69140625
331,2022-08-10,2022-12-20,2.0,1.8184341130797539,-9.078294346012306,-25.99609375
332,2022-08-10,2022-11-21,1.0,0.9242540586856725,-7.574594131432755,-24.35546875
333,2022-08-10,2022-10-20,,,,
334,2022-08-10,2022-09-20,,,,
335,2022-08-10,2022-08-22,,,,
396,2022-07-11,2023-01-20,4.0,3.8071110634837395,-4.822223412906512,-11.5625
397,2022-07-11,2022-12-20,3.0,2.7469723447096794,-8.434255176344019,-21.80078125
398,2022-07-11,2022-11-21,2.0,1.8769215870969234,-6.153920645153832,-17.84375
399,2022-07-11,2022-10-20,1.0,0.9213385895853683,-7.8661410414631705,-25.625
400,2022-07-11,2022-09-20,,,,
401,2022-07-11,2022-08-22,,,,
402,2022-07-11,2022-07-20,,,,
462,2022-06-10,2023-01-20,5.0,4.76759805516622,-4.648038896675608,-10.16015625
463,2022-06-10,2022-12-20,4.0,3.685445810815933,-7.863854729601671,-18.49609375
464,2022-06-10,2022-11-21,3.0,2.839782530222112,-5.340582325929599,-13.9609375
465,2022-06-10,2022-10-20,2.0,1.8525353784433203,-7.373231077833986,-21.34765625
466,2022-06-10,2022-09-20,1.0,0.9639332352019674,-3.6066764798032613,-12.3203125
467,2022-06-10,2022-08-22,,,,
468,2022-06-10,2022-07-20,,,,
469,2022-06-10,2022-06-20,,,,
