,Datum_Eerste_Storting,Datum_Verkoop,Investering Totaal,Verkoop Totaal,Winst Pct,Eff Interest
0,2023-01-10,2023-01-20,,,,
66,2022-12-12,2023-01-20,,,,
67,2022-12-12,2022-12-20,,,,
132,2022-11-10,2023-01-20,,,,
133,2022-11-10,2022-12-20,,,,
134,2022-11-10,2022-11-21,,,,
198,2022-10-10,2023-01-20,1.0,0.9954132595373593,-0.4586740462640737,-1.6328125
199,2022-10-10,2022-12-20,,,,
200,2022-10-10,2022-11-21,,,,
201,2022-10-10,2022-10-20,,,,
264,2022-09-12,2023-01-20,2.0,1.9282721043143263,-3.5863947842836863,-10.859375
265,2022-09-12,2022-12-20,1.0,0.9078728218457927,-9.212717815420735,-29.9765625
266,2022-09-12,2022-11-21,,,,
267,2022-09-12,2022-10-20,,,,
268,2022-09-12,2022-09-20,,,,
330,2022-08-10,2023-01-20,3.0,2.855402044792941,-4.819931840235296,-12.80859375
331,2022-08-10,2022-12-20,2.0,1.810170184402594,-9.491490779870304,-27.0546875
332,2022-08-10,2022-11-21,1.0,0.9329712400579503,-6.702875994204971,-21.796875
333,2022-08-10,2022-10-20,,,,
334,2022-08-10,2022-09-20,,,,
335,2022-08-10,2022-08-22,,,,
396,2022-07-11,2023-01-20,4.0,3.814054609624384,-4.6486347593904025,-11.16015625
397,2022-07-11,2022-12-20,3.0,2.7431458581352186,-8.561804728826047,-22.10546875
398,2022-07-11,2022-11-21,2.0,1.8976637099546831,-5.116814502265843,-15.0
399,2022-07-11,2022-10-20,1.0,0.9312220587837167,-6.877794121628334,-22.703125
400,2022-07-11,2022-09-20,,,,
401,2022-07-11,2022-08-22,,,,
402,2022-07-11,2022-07-20,,,,
462,2022-06-10,2023-01-20,5.0,4.783706355459087,-4.3258728908182675,-9.4765625
463,2022-06-10,2022-12-20,4.0,3.686826106896887,-7.829347327577829,-18.421875
464,2022-06-10,2022-11-21,3.0,2.87342466021452,-4.219177992849336,-11.140625
465,2022-06-10,2022-10-20,2.0,1.873128572347556,-6.343571382622204,-18.5703125
466,2022-06-10,2022-09-20,1.0,0.9738839193350128,-2.6116080664987162,-9.03515625
467,2022-06-10,2022-08-22,,,,
468,2022-06-10,2022-07-20,,,,
469,2022-06-10,2022-06-20,,,,
