,Datum_Eerste_Storting,Datum_Verkoop,Investering Totaal,Verkoop Totaal,Winst Pct,Eff Interest
0,2023-01-10,2023-01-20,,,,
66,2022-12-12,2023-01-20,,,,
67,2022-12-12,2022-12-20,,,,
132,2022-11-10,2023-01-20,,,,
133,2022-11-10,2022-12-20,,,,
134,2022-11-10,2022-11-21,,,,
198,2022-10-10,2023-01-20,1.0,0.9954638373094414,-0.4536162690558565,-1.6171875
199,2022-10-10,2022-12-20,,,,
200,2022-10-10,2022-11-21,,,,
201,2022-10-10,2022-10-20,,,,
264,2022-09-12,2023-01-20,2.0,1.9343561066361248,-3.282194668193761,-9.96875
265,2022-09-12,2022-12-20,1.0,0.917377413608835,-8.262258639116505,-27.234375
266,2022-09-12,2022-11-21,,,,
267,2022-09-12,2022-10-20,,,,
268,2022-09-12,2022-09-20,,,,
330,2022-08-10,2023-01-20,3.0,2.856107155880669,-4.796428137311033,-12.75
331,2022-08-10,2022-12-20,2.0,1.8180064007381018,-9.099679963094909,-26.05078125
332,2022-08-10,2022-11-21,1.0,0.9242479714605485,-7.575202853945151,-24.359375
333,2022-08-10,2022-10-20,,,,
334,2022-08-10,2022-09-20,,,,
335,2022-08-10,2022-08-22,,,,
396,2022-07-11,2023-01-20,4.0,3.8062029055472033,-4.844927361319917,-11.6171875
397,2022-07-11,2022-12-20,3.0,2.7463305652717906,-8.455647824273646,-21.8515625
398,2022-07-11,2022-11-21,2.0,1.8769174260191122,-6.154128699044392,-17.84375
399,2022-07-11,2022-10-20,1.0,0.9213373950034247,-7.866260499657529,-25.625
400,2022-07-11,2022-09-20,,,,
401,2022-07-11,2022-08-22,,,,
402,2022-07-11,2022-07-20,,,,
462,2022-06-10,2023-01-20,5.0,4.766455405037103,-4.6708918992579385,-10.2109375
463,2022-06-10,2022-12-20,4.0,3.6845787361990068,-7.885531595024831,-18.546875
464,2022-06-10,2022-11-21,3.0,2.8397711439192492,-5.34096186935836,-13.96484375
465,2022-06-10,2022-10-20,2.0,1.852524106170242,-7.3737946914879,-21.34765625
466,2022-06-10,2022-09-20,1.0,0.9639281342000174,-3.607186579998256,-12.3203125
467,2022-06-10,2022-08-22,,,,
468,2022-06-10,2022-07-20,,,,
469,2022-06-10,2022-06-20,,,,
