,Datum_Eerste_Storting,Datum_Verkoop,Investering Totaal,Verkoop Totaal,Winst Pct,Eff Interest
0,2023-01-10,2023-01-20,,,,
66,2022-12-12,2023-01-20,,,,
67,2022-12-12,2022-12-20,,,,
132,2022-11-10,2023-01-20,,,,
133,2022-11-10,2022-12-20,,,,
134,2022-11-10,2022-11-21,,,,
198,2022-10-10,2023-01-20,1.0,0.9986205811739381,-0.13794188260618512,-0.4921875
199,2022-10-10,2022-12-20,,,,
200,2022-10-10,2022-11-21,,,,
201,2022-10-10,2022-10-20,,,,
264,2022-09-12,2023-01-20,2.0,1.9445527632972461,-2.7723618351376933,-8.46875
265,2022-09-12,2022-12-20,1.0,0.9276911494847785,-7.230885051522151,-24.171875
266,2022-09-12,2022-11-21,,,,
267,2022-09-12,2022-10-20,,,,
268,2022-09-12,2022-09-20,,,,
330,2022-08-10,2023-01-20,3.0,2.861297051856124,-4.623431604795873,-12.30859375
331,2022-08-10,2022-12-20,2.0,1.8267572547607365,-8.662137261963176,-24.91796875
332,2022-08-10,2022-11-21,1.0,0.9156679688093753,-8.43320311906247,-26.81640625
333,2022-08-10,2022-10-20,,,,
334,2022-08-10,2022-09-20,,,,
335,2022-08-10,2022-08-22,,,,
396,2022-07-11,2023-01-20,4.0,3.8029756628761557,-4.9256084280961066,-11.80078125
397,2022-07-11,2022-12-20,3.0,2.750276857552436,-8.32410474825213,-21.5390625
398,2022-07-11,2022-11-21,2.0,1.8562409855002429,-7.187950724987857,-20.6171875
399,2022-07-11,2022-10-20,1.0,0.9098889877746029,-9.011101222539708,-28.9140625
400,2022-07-11,2022-09-20,,,,
401,2022-07-11,2022-08-22,,,,
402,2022-07-11,2022-07-20,,,,
462,2022-06-10,2023-01-20,5.0,4.75385919827906,-4.922816034418798,-10.7421875
463,2022-06-10,2022-12-20,4.0,3.682823880113806,-7.929402997154855,-18.640625
464,2022-06-10,2022-11-21,3.0,2.8060081193706763,-6.466396020977457,-16.7421875
465,2022-06-10,2022-10-20,2.0,1.8286721558260637,-8.566392208696815,-24.484375
466,2022-06-10,2022-09-20,1.0,0.9527645955192583,-4.7235404480741705,-15.8984375
467,2022-06-10,2022-08-22,,,,
468,2022-06-10,2022-07-20,,,,
469,2022-06-10,2022-06-20,,,,
