,Datum_Eerste_Storting,Datum_Verkoop,Investering Totaal,Verkoop Totaal,Winst Pct,Eff Interest
0,2023-01-10,2023-01-20,,,,
66,2022-12-12,2023-01-20,,,,
67,2022-12-12,2022-12-20,,,,
132,2022-11-10,2023-01-20,,,,
133,2022-11-10,2022-12-20,,,,
134,2022-11-10,2022-11-21,,,,
198,2022-10-10,2023-01-20,1.0,1.053766849355651,5.37668493556509,20.609375
199,2022-10-10,2022-12-20,,,,
200,2022-10-10,2022-11-21,,,,
201,2022-10-10,2022-10-20,,,,
264,2022-09-12,2023-01-20,2.0,2.041657473369386,2.0828736684693094,6.703125
265,2022-09-12,2022-12-20,1.0,0.9532482042089051,-4.675179579109489,-16.1796875
266,2022-09-12,2022-11-21,,,,
267,2022-09-12,2022-10-20,,,,
268,2022-09-12,2022-09-20,,,,
330,2022-08-10,2023-01-20,3.0,2.9942293540754115,-0.1923548641529512,-0.53125
331,2022-08-10,2022-12-20,2.0,1.8724161896014797,-6.379190519926015,-18.81640625
332,2022-08-10,2022-11-21,1.0,0.9354507608034084,-6.454923919659161,-21.05859375
333,2022-08-10,2022-10-20,,,,
334,2022-08-10,2022-09-20,,,,
335,2022-08-10,2022-08-22,,,,
396,2022-07-11,2023-01-20,4.0,3.985687138385162,-0.3578215403709506,-0.88671875
397,2022-07-11,2022-12-20,3.0,2.8291064642822015,-5.696451190593284,-15.09375
398,2022-07-11,2022-11-21,2.0,1.909088506597043,-4.545574670147845,-13.40625
399,2022-07-11,2022-10-20,1.0,0.9198089397932293,-8.01910602067707,-26.0703125
400,2022-07-11,2022-09-20,,,,
401,2022-07-11,2022-08-22,,,,
402,2022-07-11,2022-07-20,,,,
462,2022-06-10,2023-01-20,5.0,4.978264162446857,-0.434716751062858,-0.9765625
463,2022-06-10,2022-12-20,4.0,3.7868767302673105,-5.328081743317236,-12.76953125
464,2022-06-10,2022-11-21,3.0,2.8838253754056278,-3.872487486479074,-10.25390625
465,2022-06-10,2022-10-20,2.0,1.8406562361820724,-7.96718819089638,-22.91796875
466,2022-06-10,2022-09-20,1.0,0.9381091845406462,-6.189081545935382,-20.4375
467,2022-06-10,2022-08-22,,,,
468,2022-06-10,2022-07-20,,,,
469,2022-06-10,2022-06-20,,,,
