,Datum_Eerste_Storting,Datum_Verkoop,Investering Totaal,Verkoop Totaal,Winst Pct,Eff Interest
0,2023-01-10,2023-01-20,,,,
66,2022-12-12,2023-01-20,,,,
67,2022-12-12,2022-12-20,,,,
132,2022-11-10,2023-01-20,,,,
133,2022-11-10,2022-12-20,,,,
134,2022-11-10,2022-11-21,,,,
198,2022-10-10,2023-01-20,1.0,1.053131358461649,5.313135846164907,20.3515625
199,2022-10-10,2022-12-20,,,,
200,2022-10-10,2022-11-21,,,,
201,2022-10-10,2022-10-20,,,,
264,2022-09-12,2023-01-20,2.0,2.0404096133950502,2.0204806697525113,6.49609375
265,2022-09-12,2022-12-20,1.0,0.9526254981028434,-4.7374501897156645,-16.3828125
266,2022-09-12,2022-11-21,,,,
267,2022-09-12,2022-10-20,,,,
268,2022-09-12,2022-09-20,,,,
330,2022-08-10,2023-01-20,3.0,2.9923831304252837,-0.25389565249054336,-0.703125
331,2022-08-10,2022-12-20,2.0,1.8711854292165058,-6.440728539174712,-18.984375
332,2022-08-10,2022-11-21,1.0,0.9354059318790661,-6.459406812093393,-21.0703125
333,2022-08-10,2022-10-20,,,,
334,2022-08-10,2022-09-20,,,,
335,2022-08-10,2022-08-22,,,,
396,2022-07-11,2023-01-20,4.0,3.983196690692474,-0.420082732688154,-1.0390625
397,2022-07-11,2022-12-20,3.0,2.827222145978038,-5.759261800732067,-15.25
398,2022-07-11,2022-11-21,2.0,1.9089759578094323,-4.5512021095283846,-13.421875
399,2022-07-11,2022-10-20,1.0,0.9197646351227011,-8.023536487729888,-26.0859375
400,2022-07-11,2022-09-20,,,,
401,2022-07-11,2022-08-22,,,,
402,2022-07-11,2022-07-20,,,,
462,2022-06-10,2023-01-20,5.0,4.975049286847087,-0.4990142630582639,-1.1171875
463,2022-06-10,2022-12-20,4.0,3.784261429214479,-5.393464269638026,-12.921875
464,2022-06-10,2022-11-21,3.0,2.8835669368599675,-3.8811021046677516,-10.27734375
465,2022-06-10,2022-10-20,2.0,1.8404937992972825,-7.975310035135874,-22.94140625
466,2022-06-10,2022-09-20,1.0,0.9379907812786589,-6.2009218721341135,-20.47265625
467,2022-06-10,2022-08-22,,,,
468,2022-06-10,2022-07-20,,,,
469,2022-06-10,2022-06-20,,,,
