,Datum_Eerste_Storting,Datum_Verkoop,Investering Totaal,Verkoop Totaal,Winst Pct,Eff Interest
0,2023-01-10,2023-01-20,,,,
66,2022-12-12,2023-01-20,,,,
67,2022-12-12,2022-12-20,,,,
132,2022-11-10,2023-01-20,,,,
133,2022-11-10,2022-12-20,,,,
134,2022-11-10,2022-11-21,,,,
198,2022-10-10,2023-01-20,1.0,0.9939171772898908,-0.6082822710109181,-2.15625
199,2022-10-10,2022-12-20,,,,
200,2022-10-10,2022-11-21,,,,
201,2022-10-10,2022-10-20,,,,
264,2022-09-12,2023-01-20,2.0,1.9248061791216835,-3.759691043915825,-11.36328125
265,2022-09-12,2022-12-20,1.0,0.9065678769204706,-9.343212307952943,-30.34765625
266,2022-09-12,2022-11-21,,,,
267,2022-09-12,2022-10-20,,,,
268,2022-09-12,2022-09-20,,,,
330,2022-08-10,2023-01-20,3.0,2.849303003383482,-5.023233220550605,-13.32421875
331,2022-08-10,2022-12-20,2.0,1.8069105832382966,-9.654470838085171,-27.46875
332,2022-08-10,2022-11-21,1.0,0.9308617607470345,-6.913823925296548,-22.421875
333,2022-08-10,2022-10-20,,,,
334,2022-08-10,2022-09-20,,,,
335,2022-08-10,2022-08-22,,,,
396,2022-07-11,2023-01-20,4.0,3.8046100261697777,-4.884749345755557,-11.70703125
397,2022-07-11,2022-12-20,3.0,2.737258517041772,-8.75804943194094,-22.5703125
398,2022-07-11,2022-11-21,2.0,1.8927458407652897,-5.362707961735513,-15.6796875
399,2022-07-11,2022-10-20,1.0,0.9291674363515848,-7.083256364841517,-23.3203125
400,2022-07-11,2022-09-20,,,,
401,2022-07-11,2022-08-22,,,,
402,2022-07-11,2022-07-20,,,,
462,2022-06-10,2023-01-20,5.0,4.770220644861222,-4.5955871027755535,-10.05078125
463,2022-06-10,2022-12-20,4.0,3.6776408470471535,-8.05897882382116,-18.9296875
464,2022-06-10,2022-11-21,3.0,2.8650044544483326,-4.499851518388913,-11.8515625
465,2022-06-10,2022-10-20,2.0,1.8683565364866799,-6.582173175666006,-19.21875
466,2022-06-10,2022-09-20,1.0,0.9717046141004096,-2.8295385899590353,-9.76171875
467,2022-06-10,2022-08-22,,,,
468,2022-06-10,2022-07-20,,,,
469,2022-06-10,2022-06-20,,,,
