,Datum_Eerste_Storting,Datum_Verkoop,Investering Totaal,Verkoop Totaal,Winst Pct,Eff Interest
0,2023-01-10,2023-01-20,,,,
66,2022-12-12,2023-01-20,,,,
67,2022-12-12,2022-12-20,,,,
132,2022-11-10,2023-01-20,,,,
133,2022-11-10,2022-12-20,,,,
134,2022-11-10,2022-11-21,,,,
198,2022-10-10,2023-01-20,1.0,0.993476865568925,-0.6523134431074995,-2.3125
199,2022-10-10,2022-12-20,,,,
200,2022-10-10,2022-11-21,,,,
201,2022-10-10,2022-10-20,,,,
264,2022-09-12,2023-01-20,2.0,1.9299157623862468,-3.5042118806876577,-10.6171875
265,2022-09-12,2022-12-20,1.0,0.9156014721848561,-8.43985278151439,-27.75390625
266,2022-09-12,2022-11-21,,,,
267,2022-09-12,2022-10-20,,,,
268,2022-09-12,2022-09-20,,,,
330,2022-08-10,2023-01-20,3.0,2.8485956927185083,-5.046810242716389,-13.3828125
331,2022-08-10,2022-12-20,2.0,1.8138391463542023,-9.308042682289885,-26.5859375
332,2022-08-10,2022-11-21,1.0,0.9221627813504825,-7.783721864951754,-24.9609375
333,2022-08-10,2022-10-20,,,,
334,2022-08-10,2022-09-20,,,,
335,2022-08-10,2022-08-22,,,,
396,2022-07-11,2023-01-20,4.0,3.794901567602929,-5.1274608099267756,-12.265625
397,2022-07-11,2022-12-20,3.0,2.739088038861896,-8.69706537127013,-22.4296875
398,2022-07-11,2022-11-21,2.0,1.8720562412806518,-6.397187935967407,-18.50390625
399,2022-07-11,2022-10-20,1.0,0.9192985882060696,-8.070141179393042,-26.21875
400,2022-07-11,2022-09-20,,,,
401,2022-07-11,2022-08-22,,,,
402,2022-07-11,2022-07-20,,,,
462,2022-06-10,2023-01-20,5.0,4.7506780196609695,-4.9864396067806105,-10.87890625
463,2022-06-10,2022-12-20,4.0,3.6735967714211704,-8.160080714470741,-19.15234375
464,2022-06-10,2022-11-21,3.0,2.8314561827383553,-5.618127242054823,-14.65234375
465,2022-06-10,2022-10-20,2.0,1.8477974661453809,-7.610126692730956,-21.9765625
466,2022-06-10,2022-09-20,1.0,0.9617727861951689,-3.8227213804831073,-13.015625
467,2022-06-10,2022-08-22,,,,
468,2022-06-10,2022-07-20,,,,
469,2022-06-10,2022-06-20,,,,
