,Datum_Eerste_Storting,Datum_Verkoop,Investering Totaal,Verkoop Totaal,Winst Pct,Eff Interest
0,2023-01-10,2023-01-20,,,,
66,2022-12-12,2023-01-20,,,,
67,2022-12-12,2022-12-20,,,,
132,2022-11-10,2023-01-20,,,,
133,2022-11-10,2022-12-20,,,,
134,2022-11-10,2022-11-21,,,,
198,2022-10-10,2023-01-20,1.0,0.9963932661250856,-0.3606733874914392,-1.28125
199,2022-10-10,2022-12-20,,,,
200,2022-10-10,2022-11-21,,,,
201,2022-10-10,2022-10-20,,,,
264,2022-09-12,2023-01-20,2.0,1.939628571143246,-3.018571442837703,-9.1953125
265,2022-09-12,2022-12-20,1.0,0.9256737825216811,-7.432621747831892,-24.78125
266,2022-09-12,2022-11-21,,,,
267,2022-09-12,2022-10-20,,,,
268,2022-09-12,2022-09-20,,,,
330,2022-08-10,2023-01-20,3.0,2.853105294878934,-4.896490170702202,-13.00390625
331,2022-08-10,2022-12-20,2.0,1.8221430406244052,-8.892847968779737,-25.515625
332,2022-08-10,2022-11-21,1.0,0.9135985786583397,-8.640142134166028,-27.3984375
333,2022-08-10,2022-10-20,,,,
334,2022-08-10,2022-09-20,,,,
335,2022-08-10,2022-08-22,,,,
396,2022-07-11,2023-01-20,4.0,3.7908148486905104,-5.2296287827372385,-12.50390625
397,2022-07-11,2022-12-20,3.0,2.7423939525289036,-8.586868249036547,-22.1640625
398,2022-07-11,2022-11-21,2.0,1.8514332199759036,-7.4283390012048205,-21.25
399,2022-07-11,2022-10-20,1.0,0.9078851184554732,-9.211488154452685,-29.4765625
400,2022-07-11,2022-09-20,,,,
401,2022-07-11,2022-08-22,,,,
402,2022-07-11,2022-07-20,,,,
462,2022-06-10,2023-01-20,5.0,4.7370485593963645,-5.25902881207271,-11.453125
463,2022-06-10,2022-12-20,4.0,3.671010315252678,-8.224742118683048,-19.29296875
464,2022-06-10,2022-11-21,3.0,2.797793155283472,-6.740228157217605,-17.40625
465,2022-06-10,2022-10-20,2.0,1.824023277695523,-8.798836115223851,-25.0859375
466,2022-06-10,2022-09-20,1.0,0.9506515717658433,-4.934842823415675,-16.5625
467,2022-06-10,2022-08-22,,,,
468,2022-06-10,2022-07-20,,,,
469,2022-06-10,2022-06-20,,,,
