,Datum_Eerste_Storting,Datum_Verkoop,Investering Totaal,Verkoop Totaal,Winst Pct,Eff Interest
65,2022-12-12,2022-12-27,,,,
130,2022-11-14,2022-12-27,,,,
131,2022-11-14,2022-11-21,,,,
195,2022-10-10,2022-12-27,,,,
196,2022-10-10,2022-11-21,,,,
197,2022-10-10,2022-10-24,,,,
260,2022-09-12,2022-12-27,1.0,0.9623658952180547,-3.763410478194529,-12.375
261,2022-09-12,2022-11-21,,,,
262,2022-09-12,2022-10-24,,,,
263,2022-09-12,2022-09-26,,,,
325,2022-08-16,2022-12-27,2.0,1.8851033636990744,-5.744831815046281,-16.5390625
326,2022-08-16,2022-11-21,1.0,0.9254667009837169,-7.453329901628313,-25.28125
327,2022-08-16,2022-10-24,,,,
328,2022-08-16,2022-09-26,,,,
329,2022-08-16,2022-08-22,,,,
390,2022-07-11,2022-12-27,3.0,2.856818248193968,-4.772725060201062,-12.3125
391,2022-07-11,2022-11-21,2.0,1.9000556812390048,-4.997215938049759,-15.0234375
392,2022-07-11,2022-10-24,1.0,0.9319126837366192,-6.808731626338083,-21.7421875
393,2022-07-11,2022-09-26,,,,
394,2022-07-11,2022-08-22,,,,
395,2022-07-11,2022-07-25,,,,
455,2022-06-13,2022-12-27,4.0,3.8287950630144936,-4.280123424637661,-10.03125
456,2022-06-13,2022-11-21,3.0,2.874907366545979,-4.169754448467374,-11.25390625
457,2022-06-13,2022-10-24,2.0,1.864076568928116,-6.796171553594199,-19.42578125
458,2022-06-13,2022-09-26,1.0,0.9156908157138897,-8.430918428611033,-26.375
459,2022-06-13,2022-08-22,,,,
460,2022-06-13,2022-07-25,,,,
461,2022-06-13,2022-06-20,,,,
520,2022-05-16,2022-12-27,5.0,4.761534488729054,-4.7693102254189235,-10.203125
521,2022-05-16,2022-11-21,4.0,3.810405608114628,-4.739859797134304,-11.51953125
522,2022-05-16,2022-10-24,3.0,2.7586102591230985,-8.046324695896715,-20.5859375
523,2022-05-16,2022-09-26,2.0,1.7944164319610008,-10.279178401949963,-28.3203125
524,2022-05-16,2022-08-22,1.0,0.955365585353489,-4.463441464651097,-15.640625
525,2022-05-16,2022-07-25,,,,
526,2022-05-16,2022-06-20,,,,
527,2022-05-16,2022-05-23,,,,
585,2022-04-11,2022-12-27,6.0,5.673832766725665,-5.4361205545722475,-10.64453125
586,2022-04-11,2022-11-21,5.0,4.725402242033169,-5.491955159336612,-12.05859375
587,2022-04-11,2022-10-24,4.0,3.633540086978983,-9.161497825525423,-21.05078125
588,2022-04-11,2022-09-26,3.0,2.653884622575554,-11.537179247481538,-28.20703125
589,2022-04-11,2022-08-22,2.0,1.889794166741594,-5.510291662920297,-16.40625
590,2022-04-11,2022-07-25,1.0,0.9282000246257505,-7.179997537424954,-22.8203125
591,2022-04-11,2022-06-20,,,,
592,2022-04-11,2022-05-23,,,,
593,2022-04-11,2022-04-25,,,,
650,2022-03-14,2022-12-27,7.0,6.592149166456074,-5.826440479198944,-10.5625
651,2022-03-14,2022-11-21,6.0,5.646434797822603,-5.892753369623286,-11.86328125
652,2022-03-14,2022-10-24,5.0,4.514241529601181,-9.715169407976383,-20.4296875
653,2022-03-14,2022-09-26,4.0,3.519022432789525,-12.02443918026187,-26.78515625
654,2022-03-14,2022-08-22,3.0,2.8303868559549192,-5.653771468169359,-15.01953125
655,2022-03-14,2022-07-25,2.0,1.862523069404272,-6.873846529786398,-19.6328125
656,2022-03-14,2022-06-20,1.0,0.9038522840711661,-9.614771592883386,-31.375
