,Datum_Eerste_Storting,Datum_Verkoop,Investering Totaal,Verkoop Totaal,Winst Pct,Eff Interest
65,2022-12-12,2022-12-27,,,,
130,2022-11-14,2022-12-27,,,,
131,2022-11-14,2022-11-21,,,,
195,2022-10-10,2022-12-27,,,,
196,2022-10-10,2022-11-21,,,,
197,2022-10-10,2022-10-24,,,,
260,2022-09-12,2022-12-27,1.0,0.9620968582585923,-3.790314174140774,-12.4609375
261,2022-09-12,2022-11-21,,,,
262,2022-09-12,2022-10-24,,,,
263,2022-09-12,2022-09-26,,,,
325,2022-08-16,2022-12-27,2.0,1.8845488784182232,-5.772556079088842,-16.61328125
326,2022-08-16,2022-11-21,1.0,0.9252482534535095,-7.475174654649052,-25.3515625
327,2022-08-16,2022-10-24,,,,
328,2022-08-16,2022-09-26,,,,
329,2022-08-16,2022-08-22,,,,
390,2022-07-11,2022-12-27,3.0,2.855881114592466,-4.803962846917805,-12.38671875
391,2022-07-11,2022-11-21,2.0,1.8995248937581024,-5.023755312094879,-15.1015625
392,2022-07-11,2022-10-24,1.0,0.9317585660815418,-6.824143391845816,-21.78515625
393,2022-07-11,2022-09-26,,,,
394,2022-07-11,2022-08-22,,,,
395,2022-07-11,2022-07-25,,,,
455,2022-06-13,2022-12-27,4.0,3.8274091615058063,-4.314770962354841,-10.109375
456,2022-06-13,2022-11-21,3.0,2.8739979383638388,-4.2000687212053744,-11.33203125
457,2022-06-13,2022-10-24,2.0,1.863704965251177,-6.814751737441149,-19.4765625
458,2022-06-13,2022-09-26,1.0,0.9154720521375717,-8.452794786242833,-26.4375
459,2022-06-13,2022-08-22,,,,
460,2022-06-13,2022-07-25,,,,
461,2022-06-13,2022-06-20,,,,
520,2022-05-16,2022-12-27,5.0,4.759683828479368,-4.806323430412647,-10.28125
521,2022-05-16,2022-11-21,4.0,3.809098614068326,-4.772534648291849,-11.59765625
522,2022-05-16,2022-10-24,3.0,2.757997231628311,-8.066758945722974,-20.6328125
523,2022-05-16,2022-09-26,2.0,1.7939555969428267,-10.302220152858666,-28.375
524,2022-05-16,2022-08-22,1.0,0.9551848579287412,-4.481514207125881,-15.6953125
525,2022-05-16,2022-07-25,,,,
526,2022-05-16,2022-06-20,,,,
527,2022-05-16,2022-05-23,,,,
585,2022-04-11,2022-12-27,6.0,5.671472562484305,-5.475457291928251,-10.72265625
586,2022-04-11,2022-11-21,5.0,4.723651257695973,-5.526974846080535,-12.1328125
587,2022-04-11,2022-10-24,4.0,3.6326381955809834,-9.184045110475413,-21.09765625
588,2022-04-11,2022-09-26,3.0,2.6531352223663163,-11.562159254456125,-28.26171875
589,2022-04-11,2022-08-22,2.0,1.8893803511719693,-5.530982441401533,-16.46875
590,2022-04-11,2022-07-25,1.0,0.9280161167003365,-7.198388329966354,-22.87109375
591,2022-04-11,2022-06-20,,,,
592,2022-04-11,2022-05-23,,,,
593,2022-04-11,2022-04-25,,,,
650,2022-03-14,2022-12-27,7.0,6.600836350751324,-5.702337846409655,-10.34375
651,2022-03-14,2022-11-21,6.0,5.655832230933141,-5.736129484447646,-11.55859375
652,2022-03-14,2022-10-24,5.0,4.524138177229333,-9.517236455413336,-20.0390625
653,2022-03-14,2022-09-26,4.0,3.528875842650279,-11.778103933743022,-26.28125
654,2022-03-14,2022-08-22,3.0,2.8415827969830643,-5.280573433897858,-14.078125
655,2022-03-14,2022-07-25,2.0,1.8739200762735013,-6.303996186324934,-18.109375
656,2022-03-14,2022-06-20,1.0,0.9151401542754479,-8.485984572455207,-28.125
