,Datum_Eerste_Storting,Datum_Verkoop,Investering Totaal,Verkoop Totaal,Winst Pct,Eff Interest
0,2023-01-10,2023-01-20,,,,
85,2022-12-12,2023-01-20,,,,
86,2022-12-12,2022-12-20,,,,
170,2022-11-10,2023-01-20,,,,
171,2022-11-10,2022-12-20,,,,
172,2022-11-10,2022-11-21,,,,
255,2022-10-10,2023-01-20,1.0,0.9985967663085601,-0.1403233691439909,-0.5
256,2022-10-10,2022-12-20,,,,
257,2022-10-10,2022-11-21,,,,
258,2022-10-10,2022-10-20,,,,
340,2022-09-12,2023-01-20,2.0,1.944499871155012,-2.7750064422493947,-8.4765625
341,2022-09-12,2022-12-20,1.0,0.9276565129490959,-7.23434870509041,-24.18359375
342,2022-09-12,2022-11-21,,,,
343,2022-09-12,2022-10-20,,,,
344,2022-09-12,2022-09-20,,,,
425,2022-08-10,2023-01-20,3.0,2.8612206111052076,-4.6259796298264115,-12.3125
426,2022-08-10,2022-12-20,2.0,1.826693592553945,-8.665320372302753,-24.92578125
427,2022-08-10,2022-11-21,1.0,0.9156695947240236,-8.433040527597635,-26.81640625
428,2022-08-10,2022-10-20,,,,
429,2022-08-10,2022-09-20,,,,
430,2022-08-10,2022-08-22,,,,
510,2022-07-11,2023-01-20,4.0,3.802880137966617,-4.927996550834579,-11.80859375
511,2022-07-11,2022-12-20,3.0,2.75018838668019,-8.327053777326995,-21.546875
512,2022-07-11,2022-11-21,2.0,1.8562493806423037,-7.187530967884815,-20.6171875
513,2022-07-11,2022-10-20,1.0,0.9098998740695765,-9.01001259304235,-28.91015625
514,2022-07-11,2022-09-20,,,,
515,2022-07-11,2022-08-22,,,,
516,2022-07-11,2022-07-20,,,,
595,2022-06-10,2023-01-20,5.0,4.7537448926698875,-4.925102146602249,-10.75
596,2022-06-10,2022-12-20,4.0,3.682710838625647,-7.932229034358828,-18.6484375
597,2022-06-10,2022-11-21,3.0,2.806023839354567,-6.4658720215144365,-16.73828125
598,2022-06-10,2022-10-20,2.0,1.8286945083100705,-8.565274584496475,-24.48046875
599,2022-06-10,2022-09-20,1.0,0.9527700194148302,-4.72299805851698,-15.8984375
600,2022-06-10,2022-08-22,,,,
601,2022-06-10,2022-07-20,,,,
602,2022-06-10,2022-06-20,,,,
680,2022-05-10,2023-01-20,6.0,5.678104761326933,-5.364920644551112,-10.7265625
681,2022-05-10,2022-12-20,5.0,4.589239687167353,-8.215206256652934,-17.61328125
682,2022-05-10,2022-11-21,4.0,3.729323803483592,-6.766904912910199,-15.82421875
683,2022-05-10,2022-10-20,3.0,2.7218781952944253,-9.270726823519157,-23.625
684,2022-05-10,2022-09-20,2.0,1.8789820444693266,-6.05089777653367,-17.6328125
685,2022-05-10,2022-08-22,1.0,0.9675536547004774,-3.2446345299522616,-10.9296875
686,2022-05-10,2022-07-20,,,,
687,2022-05-10,2022-06-20,,,,
688,2022-05-10,2022-05-20,,,,
765,2022-04-11,2023-01-20,7.0,6.565712228948867,-6.20411101501618,-11.44140625
766,2022-04-11,2022-12-20,6.0,5.459725093191476,-9.004581780142074,-17.734375
767,2022-04-11,2022-11-21,5.0,4.615913508212591,-7.681729835748179,-16.35546875
