,Datum_Eerste_Storting,Datum_Verkoop,Investering Totaal,Verkoop Totaal,Winst Pct,Eff Interest
0,2023-01-10,2023-01-20,,,,
67,2022-12-12,2023-01-20,,,,
68,2022-12-12,2022-12-20,,,,
134,2022-11-10,2023-01-20,,,,
135,2022-11-10,2022-12-20,,,,
136,2022-11-10,2022-11-21,,,,
201,2022-10-10,2023-01-20,1.0,1.0378253299517086,3.782532995170862,14.2109375
202,2022-10-10,2022-12-20,,,,
203,2022-10-10,2022-11-21,,,,
204,2022-10-10,2022-10-20,,,,
268,2022-09-12,2023-01-20,2.0,2.0126041018862413,0.6302050943120641,1.99609375
269,2022-09-12,2022-12-20,1.0,0.9448302013062597,-5.516979869374028,-18.87890625
270,2022-09-12,2022-11-21,,,,
271,2022-09-12,2022-10-20,,,,
272,2022-09-12,2022-09-20,,,,
335,2022-08-10,2023-01-20,3.0,2.9471392139703156,-1.7620262009894787,-4.8125
336,2022-08-10,2022-12-20,2.0,1.8506531669888422,-7.4673416505578905,-21.765625
337,2022-08-10,2022-11-21,1.0,0.9249505795146822,-7.504942048531782,-24.15625
338,2022-08-10,2022-10-20,,,,
339,2022-08-10,2022-09-20,,,,
340,2022-08-10,2022-08-22,,,,
402,2022-07-11,2023-01-20,4.0,3.92400084136468,-1.899978965882998,-4.65234375
403,2022-07-11,2022-12-20,3.0,2.797502231241306,-6.749925625289806,-17.71484375
404,2022-07-11,2022-11-21,2.0,1.8917935762952955,-5.410321185235222,-15.8125
405,2022-07-11,2022-10-20,1.0,0.9165336485835779,-8.346635141642212,-27.01953125
406,2022-07-11,2022-09-20,,,,
407,2022-07-11,2022-08-22,,,,
408,2022-07-11,2022-07-20,,,,
469,2022-06-10,2023-01-20,5.0,4.904998362534077,-1.9000327493184521,-4.22265625
470,2022-06-10,2022-12-20,4.0,3.748360120327214,-6.290996991819653,-14.97265625
471,2022-06-10,2022-11-21,3.0,2.8627300493878867,-4.575665020403778,-12.04296875
472,2022-06-10,2022-10-20,2.0,1.8369477708243063,-8.152611458784687,-23.40625
473,2022-06-10,2022-09-20,1.0,0.9411820237961154,-5.881797620388463,-19.5
474,2022-06-10,2022-08-22,,,,
475,2022-06-10,2022-07-20,,,,
476,2022-06-10,2022-06-20,,,,
536,2022-05-10,2023-01-20,6.0,5.87057329140074,-2.1571118099876627,-4.3828125
537,2022-05-10,2022-12-20,5.0,4.684269252413482,-6.314614951730366,-13.69921875
538,2022-05-10,2022-11-21,4.0,3.818402103301812,-4.539947417454703,-10.7890625
539,2022-05-10,2022-10-20,3.0,2.7428917527734704,-8.570274907550987,-21.9765625
540,2022-05-10,2022-09-20,2.0,1.8675674081283848,-6.621629593580758,-19.1796875
541,2022-05-10,2022-08-22,1.0,0.978381450799838,-2.161854920016204,-7.3828125
542,2022-05-10,2022-07-20,,,,
543,2022-05-10,2022-06-20,,,,
544,2022-05-10,2022-05-20,,,,
603,2022-04-11,2023-01-20,7.0,6.794310003631528,-2.9384285195495963,-5.4921875
604,2022-04-11,2022-12-20,6.0,5.579625582382487,-7.006240293625214,-13.94140625
605,2022-04-11,2022-11-21,5.0,4.732665030664126,-5.346699386717475,-11.546875
606,2022-04-11,2022-10-20,4.0,3.609581318059968,-9.760467048500798,-22.5625
607,2022-04-11,2022-09-20,3.0,2.753812652903081,-8.206244903230639,-21.0625
608,2022-04-11,2022-08-22,2.0,1.9143697802920099,-4.281510985399506,-12.61328125
609,2022-04-11,2022-07-20,1.0,0.9232344444885958,-7.676555551140418,-25.2890625
610,2022-04-11,2022-06-20,,,,
611,2022-04-11,2022-05-20,,,,
612,2022-04-11,2022-04-20,,,,
670,2022-03-10,2023-01-20,8.0,7.722498413106023,-3.468769836174712,-6.0078125
671,2022-03-10,2022-12-20,7.0,6.479296838080312,-7.43861659885268,-13.6796875
672,2022-03-10,2022-11-21,6.0,5.651333998946839,-5.81110001755268,-11.5078125
673,2022-03-10,2022-10-20,5.0,4.480447657418397,-10.391046851632062,-21.9296875
674,2022-03-10,2022-09-20,4.0,3.6443289150154827,-8.891777124612933,-20.59765625
675,2022-03-10,2022-08-22,3.0,2.8548688503570894,-4.837704988097021,-12.64453125
676,2022-03-10,2022-07-20,2.0,1.850918165678451,-7.454091716077449,-21.64453125
677,2022-03-10,2022-06-20,1.0,0.8931402074185493,-10.685979258145073,64.0
678,2022-03-10,2022-05-20,,,,
679,2022-03-10,2022-04-20,,,,
680,2022-03-10,2022-03-21,,,,
737,2022-02-10,2023-01-20,9.0,8.606447577990286,-4.372804688996822,-7.0625
738,2022-02-10,2022-12-20,8.0,7.336088031578102,-8.298899605273725,-14.19140625
739,2022-02-10,2022-11-21,7.0,6.526217437513311,-6.768322321238417,-12.3828125
740,2022-02-10,2022-10-20,6.0,5.3098068322841225,-11.50321946193129,-22.33984375
741,2022-02-10,2022-09-20,5.0,4.492401459528055,-10.151970809438904,-21.4296875
742,2022-02-10,2022-08-22,4.0,3.7505419260736157,-6.236451848159607,-14.63671875
743,2022-02-10,2022-07-20,3.0,2.7343866966922823,-8.853776776923924,-22.84765625
744,2022-02-10,2022-06-20,2.0,1.743711634957881,-12.814418252105952,64.0
745,2022-02-10,2022-05-20,1.0,0.8939358448595466,-10.606415514045342,64.0
746,2022-02-10,2022-04-20,,,,
747,2022-02-10,2022-03-21,,,,
748,2022-02-10,2022-02-21,,,,
804,2022-01-10,2023-01-20,10.0,9.457204983933075,-5.427950160669255,-8.212890625
805,2022-01-10,2022-12-20,9.0,8.16070723160896,-9.32547520434489,-14.90234375
806,2022-01-10,2022-11-21,8.0,7.368249529703334,-7.896880878708323,-13.423828125
807,2022-01-10,2022-10-20,7.0,6.108024069466535,-12.742513293335213,-22.91796875
808,2022-01-10,2022-09-20,6.0,5.308629390593847,-11.522843490102552,-22.33984375
809,2022-01-10,2022-08-22,5.0,4.612583017055541,-7.748339658889182,-16.48828125
810,2022-01-10,2022-07-20,4.0,3.5846815162770995,-10.382962093072512,-24.0703125
811,2022-01-10,2022-06-20,3.0,2.562344617497282,-14.588512750090596,64.0
812,2022-01-10,2022-05-20,2.0,1.7543049369572357,-12.284753152138217,64.0
813,2022-01-10,2022-04-20,1.0,0.8986689067091815,-10.133109329081847,64.0
814,2022-01-10,2022-03-21,,,,
815,2022-01-10,2022-02-21,,,,
816,2022-01-10,2022-01-20,,,,
871,2021-12-10,2023-01-20,11.0,10.292349267952769,-6.433188473156645,-9.16015625
872,2021-12-10,2022-12-20,10.0,8.97019299874782,-10.298070012521805,-15.45703125
873,2021-12-10,2022-11-21,9.0,8.194828627153978,-8.946348587178024,-14.2109375
