,Datum_Eerste_Storting,Datum_Verkoop,Investering Totaal,Verkoop Totaal,Winst Pct,Eff Interest
66,2022-12-12,2022-12-20,,,,
132,2022-11-10,2022-12-20,,,,
133,2022-11-10,2022-11-21,,,,
198,2022-10-10,2022-12-20,,,,
199,2022-10-10,2022-11-21,,,,
200,2022-10-10,2022-10-20,,,,
264,2022-09-12,2022-12-20,1.0,0.9167513500821789,-8.32486499178211,-27.41796875
265,2022-09-12,2022-11-21,,,,
266,2022-09-12,2022-10-20,,,,
267,2022-09-12,2022-09-20,,,,
330,2022-08-10,2022-12-20,2.0,1.81550235714891,-9.224882142554502,-26.375
331,2022-08-10,2022-11-21,1.0,0.9267057984025044,-7.329420159749556,-23.640625
332,2022-08-10,2022-10-20,,,,
333,2022-08-10,2022-09-20,,,,
334,2022-08-10,2022-08-22,,,,
396,2022-07-11,2022-12-20,3.0,2.7468615480272076,-8.437948399093079,-21.8125
397,2022-07-11,2022-11-21,2.0,1.8870340270175514,-5.648298649122429,-16.46875
398,2022-07-11,2022-10-20,1.0,0.9237467200992319,-7.625327990076814,-24.921875
399,2022-07-11,2022-09-20,,,,
400,2022-07-11,2022-08-22,,,,
401,2022-07-11,2022-07-20,,,,
462,2022-06-10,2022-12-20,4.0,3.6895768581655566,-7.760578545861085,-18.26953125
463,2022-06-10,2022-11-21,3.0,2.8590715961316833,-4.697613462277224,-12.3515625
464,2022-06-10,2022-10-20,2.0,1.8587567401393121,-7.062162993034393,-20.515625
465,2022-06-10,2022-09-20,1.0,0.9648006857087669,-3.519931429123313,-12.03515625
466,2022-06-10,2022-08-22,,,,
467,2022-06-10,2022-07-20,,,,
468,2022-06-10,2022-06-20,,,,
528,2022-05-10,2022-12-20,5.0,4.6184544334617454,-7.63091133076509,-16.421875
529,2022-05-10,2022-11-21,4.0,3.816841020883075,-4.578974477923126,-10.875
530,2022-05-10,2022-10-20,3.0,2.780042128158535,-7.331929061382174,-19.01171875
531,2022-05-10,2022-09-20,2.0,1.9154394543246493,-4.228027283767533,-12.5625
532,2022-05-10,2022-08-22,1.0,1.0029994766141694,0.29994766141694384,1.0546875
533,2022-05-10,2022-07-20,,,,
534,2022-05-10,2022-06-20,,,,
535,2022-05-10,2022-05-20,,,,
594,2022-04-11,2022-12-20,6.0,5.494086637991909,-8.431889366801512,-16.65625
