,Datum_Eerste_Storting,Datum_Verkoop,Investering Totaal,Verkoop Totaal,Winst Pct,Eff Interest
66,2022-12-12,2022-12-20,,,,
132,2022-11-10,2022-12-20,,,,
133,2022-11-10,2022-11-21,,,,
198,2022-10-10,2022-12-20,,,,
199,2022-10-10,2022-11-21,,,,
200,2022-10-10,2022-10-20,,,,
264,2022-09-12,2022-12-20,1.0,0.9266674052122856,-7.333259478771437,-24.484375
265,2022-09-12,2022-11-21,,,,
266,2022-09-12,2022-10-20,,,,
267,2022-09-12,2022-09-20,,,,
330,2022-08-10,2022-12-20,2.0,1.8280461767640097,-8.597691161799514,-24.75
331,2022-08-10,2022-11-21,1.0,0.9214477370689655,-7.855226293103446,-25.1640625
332,2022-08-10,2022-10-20,,,,
333,2022-08-10,2022-09-20,,,,
334,2022-08-10,2022-08-22,,,,
396,2022-07-11,2022-12-20,3.0,2.7582947310344723,-8.056842298850922,-20.8984375
397,2022-07-11,2022-11-21,2.0,1.87240803511167,-6.379598244416496,-18.453125
398,2022-07-11,2022-10-20,1.0,0.9168182829181494,-8.318171708185062,-26.9375
399,2022-07-11,2022-09-20,,,,
400,2022-07-11,2022-08-22,,,,
401,2022-07-11,2022-07-20,,,,
462,2022-06-10,2022-12-20,4.0,3.69889913899579,-7.527521525105252,-17.75
463,2022-06-10,2022-11-21,3.0,2.83395475725268,-5.534841424910667,-14.4453125
464,2022-06-10,2022-10-20,2.0,1.8438429090285733,-7.807854548571336,-22.5
465,2022-06-10,2022-09-20,1.0,0.9583017541886876,-4.169824581131243,-14.13671875
466,2022-06-10,2022-08-22,,,,
467,2022-06-10,2022-07-20,,,,
468,2022-06-10,2022-06-20,,,,
528,2022-05-10,2022-12-20,5.0,4.61843578669964,-7.631284266007192,-16.421875
529,2022-05-10,2022-11-21,4.0,3.7739646508960143,-5.650883727599643,-13.3203125
530,2022-05-10,2022-10-20,3.0,2.7501039363185393,-8.329868789382022,-21.40625
531,2022-05-10,2022-09-20,2.0,1.8951393610262943,-5.243031948685283,-15.4140625
532,2022-05-10,2022-08-22,1.0,0.981809437436447,-1.8190562563553003,-6.2421875
533,2022-05-10,2022-07-20,,,,
534,2022-05-10,2022-06-20,,,,
535,2022-05-10,2022-05-20,,,,
594,2022-04-11,2022-12-20,6.0,5.496583390499966,-8.390276825000567,-16.578125
