,Datum_Eerste_Storting,Datum_Verkoop,Investering Totaal,Verkoop Totaal,Winst Pct,Eff Interest
66,2022-12-12,2022-12-20,,,,
132,2022-11-10,2022-12-20,,,,
133,2022-11-10,2022-11-21,,,,
198,2022-10-10,2022-12-20,,,,
199,2022-10-10,2022-11-21,,,,
200,2022-10-10,2022-10-20,,,,
264,2022-09-12,2022-12-20,1.0,0.9219610633574316,-7.803893664256845,-25.88671875
265,2022-09-12,2022-11-21,,,,
266,2022-09-12,2022-10-20,,,,
267,2022-09-12,2022-09-20,,,,
330,2022-08-10,2022-12-20,2.0,1.823747811687053,-8.812609415647355,-25.30859375
331,2022-08-10,2022-11-21,1.0,0.9242544543429844,-7.574554565701563,-24.35546875
332,2022-08-10,2022-10-20,,,,
333,2022-08-10,2022-09-20,,,,
334,2022-08-10,2022-08-22,,,,
396,2022-07-11,2022-12-20,3.0,2.7612385502839505,-7.958714990534983,-20.66015625
397,2022-07-11,2022-11-21,2.0,1.8851024515645634,-5.744877421771832,-16.73046875
398,2022-07-11,2022-10-20,1.0,0.9265981708728872,-7.340182912711279,-24.078125
399,2022-07-11,2022-09-20,,,,
400,2022-07-11,2022-08-22,,,,
401,2022-07-11,2022-07-20,,,,
462,2022-06-10,2022-12-20,4.0,3.6996527110116864,-7.508682224707841,-17.7109375
463,2022-06-10,2022-11-21,3.0,2.8468968776610923,-5.103437411296922,-13.37109375
464,2022-06-10,2022-10-20,2.0,1.8541090347699842,-7.294548261500788,-21.13671875
465,2022-06-10,2022-09-20,1.0,0.9547129034127122,-4.52870965872878,-15.28125
466,2022-06-10,2022-08-22,,,,
467,2022-06-10,2022-07-20,,,,
468,2022-06-10,2022-06-21,,,,
528,2022-05-10,2022-12-20,5.0,4.633414025511542,-7.331719489769154,-15.8046875
529,2022-05-10,2022-11-21,4.0,3.8039225334696827,-4.901936663257933,-11.6171875
530,2022-05-10,2022-10-20,3.0,2.7770211131787477,-7.432629560708411,-19.25390625
531,2022-05-10,2022-09-20,2.0,1.9046921481518302,-4.765392592408491,-14.078125
532,2022-05-10,2022-08-22,1.0,1.0013733064283656,0.13733064283656393,0.484375
533,2022-05-10,2022-07-20,,,,
534,2022-05-10,2022-06-21,,,,
535,2022-05-10,2022-05-20,,,,
594,2022-04-11,2022-12-20,6.0,5.517383570321061,-8.043607161315647,-15.921875
