,Datum_Eerste_Storting,Datum_Verkoop,Investering Totaal,Verkoop Totaal,Winst Pct,Eff Interest
66,2022-12-12,2022-12-20,,,,
132,2022-11-10,2022-12-20,,,,
133,2022-11-10,2022-11-21,,,,
198,2022-10-10,2022-12-20,,,,
199,2022-10-10,2022-11-21,,,,
200,2022-10-10,2022-10-20,,,,
264,2022-09-12,2022-12-20,1.0,0.9376951405011609,-6.230485949883913,-21.1171875
265,2022-09-12,2022-11-21,,,,
266,2022-09-12,2022-10-20,,,,
267,2022-09-12,2022-09-20,,,,
330,2022-08-10,2022-12-20,2.0,1.8524678677738882,-7.376606611305592,-21.5234375
331,2022-08-10,2022-11-21,1.0,0.9277272727272727,-7.227272727272727,-23.34375
332,2022-08-10,2022-10-20,,,,
333,2022-08-10,2022-09-20,,,,
334,2022-08-10,2022-08-22,,,,
396,2022-07-11,2022-12-20,3.0,2.792948837743376,-6.901705408554133,-18.08984375
397,2022-07-11,2022-11-21,2.0,1.8815268551907383,-5.923657240463087,-17.21875
398,2022-07-11,2022-10-20,1.0,0.9256825116428455,-7.431748835715446,-24.3515625
399,2022-07-11,2022-09-20,,,,
400,2022-07-11,2022-08-22,,,,
401,2022-07-11,2022-07-20,,,,
462,2022-06-10,2022-12-20,4.0,3.732750651110944,-6.681233722226398,-15.85546875
463,2022-06-10,2022-11-21,3.0,2.8346376631823933,-5.512077893920224,-14.390625
464,2022-06-10,2022-10-20,2.0,1.8506965532058721,-7.465172339706394,-21.59375
465,2022-06-10,2022-09-20,1.0,0.9520211827007943,-4.797881729920572,-16.1328125
466,2022-06-10,2022-08-22,,,,
467,2022-06-10,2022-07-20,,,,
468,2022-06-10,2022-06-20,,,,
528,2022-05-10,2022-12-20,5.0,4.66314623455681,-6.737075308863806,-14.578125
529,2022-05-10,2022-11-21,4.0,3.7782090350149455,-5.544774124626361,-13.08203125
530,2022-05-10,2022-10-20,3.0,2.766452371777641,-7.784920940745306,-20.1015625
531,2022-05-10,2022-09-20,2.0,1.8945138350163078,-5.274308249184612,-15.5
532,2022-05-10,2022-08-22,1.0,0.9786297561363095,-2.1370243863690463,-7.30078125
533,2022-05-10,2022-07-20,,,,
534,2022-05-10,2022-06-20,,,,
535,2022-05-10,2022-05-20,,,,
594,2022-04-11,2022-12-20,6.0,5.560262502939163,-7.328958284347283,-14.55859375
