,Datum_Eerste_Storting,Datum_Verkoop,Investering Totaal,Verkoop Totaal,Winst Pct,Eff Interest
66,2022-12-12,2022-12-20,,,,
132,2022-11-10,2022-12-20,,,,
133,2022-11-10,2022-11-21,,,,
198,2022-10-10,2022-12-20,,,,
199,2022-10-10,2022-11-21,,,,
200,2022-10-10,2022-10-20,,,,
264,2022-09-12,2022-12-20,1.0,0.9376948193295602,-6.2305180670439775,-21.1171875
265,2022-09-12,2022-11-21,,,,
266,2022-09-12,2022-10-20,,,,
267,2022-09-12,2022-09-20,,,,
330,2022-08-10,2022-12-20,2.0,1.852425142092867,-7.378742895356649,-21.52734375
331,2022-08-10,2022-11-21,1.0,0.9277066817667043,-7.229331823329566,-23.3515625
332,2022-08-10,2022-10-20,,,,
333,2022-08-10,2022-09-20,,,,
334,2022-08-10,2022-08-22,,,,
396,2022-07-11,2022-12-20,3.0,2.792849388927389,-6.905020369087038,-18.09765625
397,2022-07-11,2022-11-21,2.0,1.881471781461072,-5.926410926946401,-17.2265625
398,2022-07-11,2022-10-20,1.0,0.9256010769902488,-7.4398923009751154,-24.375
399,2022-07-11,2022-09-20,,,,
400,2022-07-11,2022-08-22,,,,
401,2022-07-11,2022-07-20,,,,
462,2022-06-10,2022-12-20,4.0,3.732658130109848,-6.683546747253799,-15.859375
463,2022-06-10,2022-11-21,3.0,2.8346126439438004,-5.5129118685399865,-14.390625
464,2022-06-10,2022-10-20,2.0,1.850596350061298,-7.470182496935096,-21.60546875
465,2022-06-10,2022-09-20,1.0,0.9520827576176278,-4.791724238237216,-16.1171875
466,2022-06-10,2022-08-22,,,,
467,2022-06-10,2022-07-20,,,,
468,2022-06-10,2022-06-20,,,,
528,2022-05-10,2022-12-20,5.0,4.662995038899712,-6.740099222005753,-14.58203125
529,2022-05-10,2022-11-21,4.0,3.778147306675065,-5.546317333123374,-13.0859375
530,2022-05-10,2022-10-20,3.0,2.766269087805161,-7.791030406494641,-20.1171875
531,2022-05-10,2022-09-20,2.0,1.8945699795598925,-5.271501022005376,-15.4921875
532,2022-05-10,2022-08-22,1.0,0.9785890144698004,-2.14109855301996,-7.3125
533,2022-05-10,2022-07-20,,,,
534,2022-05-10,2022-06-20,,,,
535,2022-05-10,2022-05-20,,,,
594,2022-04-11,2022-12-20,6.0,5.560073339607751,-7.3321110065374855,-14.56640625
