,Datum_Eerste_Storting,Datum_Verkoop,Investering Totaal,Verkoop Totaal,Winst Pct,Eff Interest
66,2022-12-12,2022-12-20,,,,
132,2022-11-14,2022-12-20,,,,
133,2022-11-14,2022-11-21,,,,
198,2022-10-10,2022-12-20,,,,
199,2022-10-10,2022-11-21,,,,
200,2022-10-10,2022-10-20,,,,
264,2022-09-12,2022-12-20,1.0,0.9346760680215679,-6.532393197843211,-22.046875
265,2022-09-12,2022-11-21,,,,
266,2022-09-12,2022-10-20,,,,
267,2022-09-12,2022-09-20,,,,
330,2022-08-10,2022-12-20,2.0,1.8458454032957066,-7.707729835214671,-22.40625
331,2022-08-10,2022-11-21,1.0,0.9345708663539813,-6.542913364601866,-21.3203125
332,2022-08-10,2022-10-20,,,,
333,2022-08-10,2022-09-20,,,,
334,2022-08-10,2022-08-22,,,,
396,2022-07-11,2022-12-20,3.0,2.792510202914829,-6.9163265695057,-18.125
397,2022-07-11,2022-11-21,2.0,1.9055488258577202,-4.722558707113988,-13.90234375
398,2022-07-11,2022-10-20,1.0,0.9262634777494609,-7.373652225053906,-24.1796875
399,2022-07-11,2022-09-20,,,,
400,2022-07-11,2022-08-22,,,,
401,2022-07-11,2022-07-20,,,,
462,2022-06-10,2022-12-20,4.0,3.735188545265211,-6.620286368369721,-15.71875
463,2022-06-10,2022-11-21,3.0,2.8724379440461303,-4.252068531795657,-11.22265625
464,2022-06-10,2022-10-20,2.0,1.84862640931285,-7.5686795343575035,-21.8671875
465,2022-06-10,2022-09-20,1.0,0.9467901165709187,-5.320988342908128,-17.7734375
466,2022-06-10,2022-08-22,,,,
467,2022-06-10,2022-07-20,,,,
468,2022-06-10,2022-06-20,,,,
528,2022-05-10,2022-12-20,5.0,4.671003168337662,-6.579936633246763,-14.25
529,2022-05-10,2022-11-21,4.0,3.8322870622875964,-4.19282344281009,-9.98828125
530,2022-05-10,2022-10-20,3.0,2.764273539790965,-7.8575486736345,-20.27734375
531,2022-05-10,2022-09-20,2.0,1.8866865756944202,-5.665671215278989,-16.578125
532,2022-05-10,2022-08-22,1.0,0.9879923036460785,-1.2007696353921515,-4.1484375
533,2022-05-10,2022-07-20,,,,
534,2022-05-10,2022-06-20,,,,
535,2022-05-10,2022-05-20,,,,
594,2022-04-11,2022-12-20,6.0,5.565014276510103,-7.249762058164944,-14.40625
595,2022-04-11,2022-11-21,5.0,4.749259027376198,-5.014819452476047,-10.8515625
596,2022-04-11,2022-10-20,4.0,3.6390180518248183,-9.024548704379542,-20.9765625
597,2022-04-11,2022-09-20,3.0,2.7845971813542985,-7.180093954856718,-18.59765625
598,2022-04-11,2022-08-22,2.0,1.9318502777270095,-3.407486113649527,-10.1328125
599,2022-04-11,2022-07-20,1.0,0.9243861412324781,-7.561385876752191,-24.9453125
600,2022-04-11,2022-06-20,,,,
601,2022-04-11,2022-05-20,,,,
602,2022-04-11,2022-04-20,,,,
660,2022-03-10,2022-12-20,7.0,6.476011716208257,-7.485546911310616,-13.76171875
661,2022-03-10,2022-11-21,6.0,5.683653583365956,-5.2724402772340655,-10.46875
662,2022-03-10,2022-10-20,5.0,4.5303828274615245,-9.39234345076951,-19.9453125
663,2022-03-10,2022-09-20,4.0,3.6995682095176186,-7.510794762059536,-17.57421875
664,2022-03-10,2022-08-22,3.0,2.893641680502916,-3.5452773165694693,-9.37109375
665,2022-03-10,2022-07-20,2.0,1.8663357437119283,-6.683212814403583,-19.5703125
666,2022-03-10,2022-06-20,1.0,0.9047756367066433,-9.52243632933567,-30.1015625
667,2022-03-10,2022-05-20,,,,
668,2022-03-10,2022-04-20,,,,
669,2022-03-10,2022-03-21,,,,
726,2022-02-10,2022-12-20,8.0,7.339798290199518,-8.252521372506028,-14.115234375
727,2022-02-10,2022-11-21,7.0,6.569624758588914,-6.148217734444091,-11.27734375
728,2022-02-10,2022-10-20,6.0,5.375554166229317,-10.407430562844722,-20.328125
729,2022-02-10,2022-09-20,5.0,4.567122447628676,-8.657551047426484,-18.4453125
730,2022-02-10,2022-08-22,4.0,3.805589908341313,-4.860252291467171,-11.5234375
731,2022-02-10,2022-07-20,3.0,2.759470438215289,-8.017652059490374,-20.84765625
732,2022-02-10,2022-06-20,2.0,1.7626628418787487,-11.866857906062567,64.0
733,2022-02-10,2022-05-20,1.0,0.9022316203715534,-9.776837962844665,-31.56640625
734,2022-02-10,2022-04-20,,,,
735,2022-02-10,2022-03-21,,,,
736,2022-02-10,2022-02-21,,,,
792,2022-01-10,2022-12-20,9.0,8.185771711627552,-9.046980981916086,-14.46875
