,Datum_Eerste_Storting,Datum_Verkoop,Investering Totaal,Verkoop Totaal,Winst Pct,Eff Interest
66,2022-12-12,2022-12-20,,,,
132,2022-11-14,2022-12-20,,,,
133,2022-11-14,2022-11-21,,,,
198,2022-10-10,2022-12-20,,,,
199,2022-10-10,2022-11-21,,,,
200,2022-10-10,2022-10-20,,,,
264,2022-09-12,2022-12-20,1.0,0.9270267184288651,-7.297328157113492,-24.375
265,2022-09-12,2022-11-21,,,,
266,2022-09-12,2022-10-20,,,,
267,2022-09-12,2022-09-20,,,,
330,2022-08-10,2022-12-20,2.0,1.8307404930263607,-8.462975348681967,-24.3984375
331,2022-08-10,2022-11-21,1.0,0.9345933611608029,-6.540663883919706,-21.3125
332,2022-08-10,2022-10-20,,,,
333,2022-08-10,2022-09-20,,,,
334,2022-08-10,2022-08-22,,,,
396,2022-07-11,2022-12-20,3.0,2.7696595325029794,-7.678015583234021,-19.984375
397,2022-07-11,2022-11-21,2.0,1.9055949389038869,-4.7202530548056565,-13.8984375
398,2022-07-11,2022-10-20,1.0,0.9262831346698717,-7.371686533012833,-24.171875
399,2022-07-11,2022-09-20,,,,
400,2022-07-11,2022-08-22,,,,
401,2022-07-11,2022-07-20,,,,
462,2022-06-10,2022-12-20,4.0,3.704601214112534,-7.3849696471866455,-17.43359375
463,2022-06-10,2022-11-21,3.0,2.872483253839646,-4.25055820534513,-11.21875
464,2022-06-10,2022-10-20,2.0,1.848642438468381,-7.567878076580947,-21.8671875
465,2022-06-10,2022-09-20,1.0,0.9467581061740173,-5.324189382598266,-17.78125
466,2022-06-10,2022-08-22,,,,
467,2022-06-10,2022-07-20,,,,
468,2022-06-10,2022-06-20,,,,
528,2022-05-10,2022-12-20,5.0,4.632755840407823,-7.344883191843543,-15.83203125
529,2022-05-10,2022-11-21,4.0,3.8323526021326,-4.191184946685,-9.984375
530,2022-05-10,2022-10-20,3.0,2.7643060266542,-7.856465778193329,-20.2734375
531,2022-05-10,2022-09-20,2.0,1.8866433776437672,-5.667831117811639,-16.5859375
532,2022-05-10,2022-08-22,1.0,0.9880038868882843,-1.1996113111715667,-4.1484375
533,2022-05-10,2022-07-20,,,,
534,2022-05-10,2022-06-20,,,,
535,2022-05-10,2022-05-20,,,,
594,2022-04-11,2022-12-20,6.0,5.519375185181614,-8.01041358030643,-15.85546875
595,2022-04-11,2022-11-21,5.0,4.749267422725424,-5.0146515454915175,-10.8515625
596,2022-04-11,2022-10-20,4.0,3.6389933121456197,-9.025167196359508,-20.98046875
597,2022-04-11,2022-09-20,3.0,2.784468416645327,-7.184386111822431,-18.609375
598,2022-04-11,2022-08-22,2.0,1.9317942145013887,-3.410289274930567,-10.140625
599,2022-04-11,2022-07-20,1.0,0.9243146645865834,-7.56853354134166,-24.96875
600,2022-04-11,2022-06-20,,,,
601,2022-04-11,2022-05-20,,,,
602,2022-04-11,2022-04-20,,,,
660,2022-03-10,2022-12-20,7.0,6.4228662746368075,-8.244767505188465,-15.109375
661,2022-03-10,2022-11-21,6.0,5.683630489669767,-5.272825172170552,-10.47265625
662,2022-03-10,2022-10-20,5.0,4.530325283593722,-9.393494328125556,-19.94921875
663,2022-03-10,2022-09-20,4.0,3.699378436835143,-7.5155390791214245,-17.5859375
664,2022-03-10,2022-08-22,3.0,2.8935442105270153,-3.5485263157661575,-9.37890625
665,2022-03-10,2022-07-20,2.0,1.8662183893691853,-6.6890805315407365,-19.5859375
666,2022-03-10,2022-06-20,1.0,0.9047401554774812,-9.52598445225188,-30.109375
667,2022-03-10,2022-05-20,,,,
668,2022-03-10,2022-04-20,,,,
669,2022-03-10,2022-03-21,,,,
726,2022-02-10,2022-12-20,8.0,7.279535604312272,-9.005804946096596,-15.36328125
727,2022-02-10,2022-11-21,7.0,6.5695719135253015,-6.148972663924265,-11.28125
728,2022-02-10,2022-10-20,6.0,5.3754656191328305,-10.408906347786159,-20.33203125
729,2022-02-10,2022-09-20,5.0,4.5668749322150735,-8.66250135569853,-18.45703125
730,2022-02-10,2022-08-22,4.0,3.8054532863624715,-4.863667840938213,-11.53125
731,2022-02-10,2022-07-20,3.0,2.7593096903745966,-8.02301032084678,-20.859375
732,2022-02-10,2022-06-20,2.0,1.76259382063176,-11.870308968412003,64.0
733,2022-02-10,2022-05-20,1.0,0.9022150706199785,-9.778492938002149,-31.5703125
734,2022-02-10,2022-04-20,,,,
735,2022-02-10,2022-03-21,,,,
736,2022-02-10,2022-02-21,,,,
792,2022-01-10,2022-12-20,9.0,8.118500190013695,-9.794442333181172,-15.6328125
