,Datum_Eerste_Storting,Datum_Verkoop,Investering Totaal,Verkoop Totaal,Winst Pct,Eff Interest
0,2023-01-10,2023-01-20,,,,
67,2022-12-12,2023-01-20,,,,
68,2022-12-12,2022-12-20,,,,
134,2022-11-10,2023-01-20,,,,
135,2022-11-10,2022-12-20,,,,
136,2022-11-10,2022-11-21,,,,
201,2022-10-10,2023-01-20,1.0,1.0405095143680332,4.050951436803318,15.265625
202,2022-10-10,2022-12-20,,,,
203,2022-10-10,2022-11-21,,,,
204,2022-10-10,2022-10-20,,,,
268,2022-09-12,2023-01-20,2.0,2.0184667712060422,0.9233385603021116,2.93359375
269,2022-09-12,2022-12-20,1.0,0.9471734429709066,-5.282655702909345,-18.1328125
270,2022-09-12,2022-11-21,,,,
271,2022-09-12,2022-10-20,,,,
272,2022-09-12,2022-09-20,,,,
335,2022-08-10,2023-01-20,3.0,2.9568118573962168,-1.439604753459441,-3.94140625
336,2022-08-10,2022-12-20,2.0,1.8559816140511263,-7.200919297443686,-21.05078125
337,2022-08-10,2022-11-21,1.0,0.9273338721627166,-7.266612783728343,-23.4609375
338,2022-08-10,2022-10-20,,,,
339,2022-08-10,2022-09-20,,,,
340,2022-08-10,2022-08-22,,,,
402,2022-07-11,2023-01-20,4.0,3.938394655416962,-1.5401336145759448,-3.78125
403,2022-07-11,2022-12-20,3.0,2.8066664746230314,-6.4444508458989525,-16.9609375
404,2022-07-11,2022-11-21,2.0,1.8973980738442822,-5.130096307785892,-15.0390625
405,2022-07-11,2022-10-20,1.0,0.918855326080135,-8.114467391986501,-26.3515625
406,2022-07-11,2022-09-20,,,,
407,2022-07-11,2022-08-22,,,,
408,2022-07-11,2022-07-20,,,,
469,2022-06-10,2023-01-20,5.0,4.924906546542778,-1.501869069144437,-3.34375
470,2022-06-10,2022-12-20,4.0,3.762125271943613,-5.946868201409671,-14.1875
471,2022-06-10,2022-11-21,3.0,2.872333527118302,-4.255549096056595,-11.23046875
472,2022-06-10,2022-10-20,2.0,1.84232475446674,-7.883762276662997,-22.69921875
473,2022-06-10,2022-09-20,1.0,0.9435696167596103,-5.643038324038974,-18.765625
474,2022-06-10,2022-08-22,,,,
475,2022-06-10,2022-07-20,,,,
476,2022-06-10,2022-06-20,,,,
536,2022-05-10,2023-01-20,6.0,5.896660888880846,-1.7223185186525658,-3.50390625
537,2022-05-10,2022-12-20,5.0,4.7032910536979555,-5.9341789260408895,-12.90234375
538,2022-05-10,2022-11-21,4.0,3.832684607263097,-4.182884818422572,-9.96484375
539,2022-05-10,2022-10-20,3.0,2.75197970654951,-8.267343115016335,-21.2578125
540,2022-05-10,2022-09-20,2.0,1.8730240720303148,-6.348796398484257,-18.4453125
541,2022-05-10,2022-08-22,1.0,0.9809282357145555,-1.9071764285444548,-6.53515625
542,2022-05-10,2022-07-20,,,,
543,2022-05-10,2022-06-20,,,,
544,2022-05-10,2022-05-20,,,,
603,2022-04-11,2023-01-20,7.0,6.8269792363601445,-2.471725194855079,-4.62890625
604,2022-04-11,2022-12-20,6.0,5.604325149083712,-6.594580848604803,-13.1484375
605,2022-04-11,2022-11-21,5.0,4.75208593222208,-4.958281355558398,-10.73046875
606,2022-04-11,2022-10-20,4.0,3.6228466066776406,-9.428834833058986,-21.8515625
607,2022-04-11,2022-09-20,3.0,2.762846216590275,-7.905126113657494,-20.34375
608,2022-04-11,2022-08-22,2.0,1.9200292980777727,-3.9985350961113664,-11.8125
609,2022-04-11,2022-07-20,1.0,0.9255340415462672,-7.446595845373283,-24.609375
610,2022-04-11,2022-06-20,,,,
611,2022-04-11,2022-05-20,,,,
612,2022-04-11,2022-04-20,,,,
670,2022-03-10,2023-01-20,8.0,7.762524511119968,-2.968443611000404,-5.1484375
671,2022-03-10,2022-12-20,7.0,6.510421640268299,-6.993976567595731,-12.88671875
672,2022-03-10,2022-11-21,6.0,5.676652847949212,-5.389119200846467,-10.6953125
673,2022-03-10,2022-10-20,5.0,4.4986064103697165,-10.02787179260567,-21.2109375
674,2022-03-10,2022-09-20,4.0,3.6576677634030417,-8.558305914923958,-19.87109375
675,2022-03-10,2022-08-22,3.0,2.864406632778664,-4.519778907377869,-11.84375
676,2022-03-10,2022-07-20,2.0,1.8562681300914134,-7.186593495429328,-20.9296875
677,2022-03-10,2022-06-20,1.0,0.8954045665577179,-10.459543344228205,64.0
678,2022-03-10,2022-05-20,,,,
679,2022-03-10,2022-04-20,,,,
680,2022-03-10,2022-03-21,,,,
737,2022-02-10,2023-01-20,9.0,8.654110775159772,-3.8432136093358653,-6.21484375
738,2022-02-10,2022-12-20,8.0,7.373942847878737,-7.825714401515782,-13.40625
739,2022-02-10,2022-11-21,7.0,6.557776599506381,-6.317477149908842,-11.58203125
740,2022-02-10,2022-10-20,6.0,5.333216378092021,-11.113060365132982,-21.62890625
741,2022-02-10,2022-09-20,5.0,4.510443809019787,-9.791123819604266,-20.71484375
742,2022-02-10,2022-08-22,4.0,3.764409959614979,-5.889751009625521,-13.859375
743,2022-02-10,2022-07-20,3.0,2.7432692739254163,-8.55769086915279,-22.140625
744,2022-02-10,2022-06-20,2.0,1.748736237231087,-12.563188138445646,64.0
745,2022-02-10,2022-05-20,1.0,0.8961499657465685,-10.385003425343154,64.0
746,2022-02-10,2022-04-20,,,,
747,2022-02-10,2022-03-21,,,,
748,2022-02-10,2022-02-21,,,,
804,2022-01-10,2023-01-20,10.0,9.512886658672588,-4.871133413274116,-7.37890625
805,2022-01-10,2022-12-20,9.0,8.20568646922798,-8.825705897466898,-14.125
806,2022-01-10,2022-11-21,8.0,7.406474991066453,-7.419062611669336,-12.6328125
807,2022-01-10,2022-10-20,7.0,6.137112693375908,-12.326961523201316,-22.2109375
808,2022-01-10,2022-09-20,6.0,5.331837690409139,-11.136038493181019,-21.6328125
809,2022-01-10,2022-08-22,5.0,4.631293157956654,-7.374136840866913,-15.73046875
810,2022-01-10,2022-07-20,4.0,3.597628769686914,-10.05928075782715,-23.375
811,2022-01-10,2022-06-20,3.0,2.5706652966712342,-14.311156777625527,64.0
812,2022-01-10,2022-05-20,2.0,1.759321606712576,-12.033919664371195,64.0
813,2022-01-10,2022-04-20,1.0,0.9009274078568178,-9.90725921431822,-31.66796875
814,2022-01-10,2022-03-21,,,,
815,2022-01-10,2022-02-21,,,,
816,2022-01-10,2022-01-20,,,,
871,2021-12-10,2023-01-20,11.0,10.356559299045966,-5.849460917763949,-8.337890625
872,2021-12-10,2022-12-20,10.0,9.022802262311329,-9.771977376886714,-14.68359375
873,2021-12-10,2022-11-21,9.0,8.240247371770991,-8.44169586921121,-13.4296875
