,Datum_Eerste_Storting,Datum_Verkoop,Investering Totaal,Verkoop Totaal,Winst Pct,Eff Interest
0,2023-01-10,2023-01-20,,,,
85,2022-12-12,2023-01-20,,,,
86,2022-12-12,2022-12-20,,,,
170,2022-11-10,2023-01-20,,,,
171,2022-11-10,2022-12-20,,,,
172,2022-11-10,2022-11-21,,,,
255,2022-10-10,2023-01-20,1.0,1.049828851507039,4.9828851507039085,19.0078125
256,2022-10-10,2022-12-20,,,,
257,2022-10-10,2022-11-21,,,,
258,2022-10-10,2022-10-20,,,,
340,2022-09-12,2023-01-20,2.0,2.0316943688343265,1.5847184417163263,5.0703125
341,2022-09-12,2022-12-20,1.0,0.9487701487331522,-5.122985126684776,-17.625
342,2022-09-12,2022-11-21,,,,
343,2022-09-12,2022-10-20,,,,
344,2022-09-12,2022-09-20,,,,
425,2022-08-10,2023-01-20,3.0,2.977678070813372,-0.7440643062209299,-2.046875
426,2022-08-10,2022-12-20,2.0,1.8628679368588799,-6.856603157056007,-20.1171875
427,2022-08-10,2022-11-21,1.0,0.9314901047729918,-6.850989522700823,-22.234375
428,2022-08-10,2022-10-20,,,,
429,2022-08-10,2022-09-20,,,,
430,2022-08-10,2022-08-22,,,,
510,2022-07-11,2023-01-20,4.0,3.9653383011189844,-0.8665424720253889,-2.140625
511,2022-07-11,2022-12-20,3.0,2.8172374783777943,-6.092084054073524,-16.08203125
512,2022-07-11,2022-11-21,2.0,1.904018203811923,-4.799089809403845,-14.1171875
513,2022-07-11,2022-10-20,1.0,0.9188424574285463,-8.115754257145369,-26.3515625
514,2022-07-11,2022-09-20,,,,
515,2022-07-11,2022-08-22,,,,
516,2022-07-11,2022-07-20,,,,
595,2022-06-10,2023-01-20,5.0,4.95881195879481,-0.8237608241038075,-1.84375
596,2022-06-10,2022-12-20,4.0,3.77722449627545,-5.569387593113751,-13.32421875
597,2022-06-10,2022-11-21,3.0,2.8822706615885805,-3.924311280380651,-10.38671875
598,2022-06-10,2022-10-20,2.0,1.8430932766874322,-7.8453361656283915,-22.59765625
599,2022-06-10,2022-09-20,1.0,0.9431520040332746,-5.684799596672541,-18.8984375
600,2022-06-10,2022-08-22,,,,
601,2022-06-10,2022-07-20,,,,
602,2022-06-10,2022-06-20,,,,
680,2022-05-10,2023-01-20,6.0,5.939065658583393,-1.0155723569434432,-2.07421875
681,2022-05-10,2022-12-20,5.0,4.724437156392351,-5.5112568721529875,-12.015625
682,2022-05-10,2022-11-21,4.0,3.8475057069809444,-3.81235732547639,-9.10546875
683,2022-05-10,2022-10-20,3.0,2.755045272707828,-8.165157576405738,-21.015625
684,2022-05-10,2022-09-20,2.0,1.8737536704926703,-6.312316475366487,-18.34375
685,2022-05-10,2022-08-22,1.0,0.9825457032707373,-1.7454296729262686,-5.9921875
686,2022-05-10,2022-07-20,,,,
687,2022-05-10,2022-06-20,,,,
688,2022-05-10,2022-05-20,,,,
765,2022-04-11,2023-01-20,7.0,6.86351442945973,-1.9497938648609952,-3.66015625
766,2022-04-11,2022-12-20,6.0,5.617725883170357,-6.3712352804940435,-12.71875
767,2022-04-11,2022-11-21,5.0,4.75779082144895,-4.844183571021006,-10.4921875
