,Datum_Eerste_Storting,Datum_Verkoop,Investering Totaal,Verkoop Totaal,Winst Pct,Eff Interest
0,2023-01-10,2023-01-20,,,,
60,2022-12-12,2023-01-20,,,,
61,2022-12-12,2022-12-20,,,,
120,2022-11-10,2023-01-20,,,,
121,2022-11-10,2022-12-20,,,,
122,2022-11-10,2022-11-21,,,,
180,2022-10-10,2023-01-20,1.0,1.000308596265293,0.030859626529289308,0.109375
181,2022-10-10,2022-12-20,,,,
182,2022-10-10,2022-11-21,,,,
183,2022-10-10,2022-10-20,,,,
240,2022-09-12,2023-01-20,2.0,1.9482745764331038,-2.5862711783448122,-7.9140625
241,2022-09-12,2022-12-20,1.0,0.9292022883295193,-7.079771167048065,-23.71875
242,2022-09-12,2022-11-21,,,,
243,2022-09-12,2022-10-20,,,,
244,2022-09-12,2022-09-20,,,,
300,2022-08-10,2023-01-20,3.0,2.867493067557364,-4.41689774808786,-11.78125
301,2022-08-10,2022-12-20,2.0,1.8302261048975668,-8.488694755121662,-24.46484375
302,2022-08-10,2022-11-21,1.0,0.9172239644970415,-8.277603550295854,-26.375
303,2022-08-10,2022-10-20,,,,
304,2022-08-10,2022-09-20,,,,
305,2022-08-10,2022-08-22,,,,
360,2022-07-11,2023-01-20,4.0,3.81217320377312,-4.695669905671995,-11.26953125
361,2022-07-11,2022-12-20,3.0,2.7562075880682317,-8.12641373105894,-21.0625
362,2022-07-11,2022-11-21,2.0,1.8598543272323025,-7.007283638384876,-20.13671875
363,2022-07-11,2022-10-20,1.0,0.911411870230168,-8.858812976983199,-28.484375
364,2022-07-11,2022-09-20,,,,
365,2022-07-11,2022-08-22,,,,
366,2022-07-11,2022-07-20,,,,
420,2022-06-10,2023-01-20,5.0,4.766589318783795,-4.668213624324107,-10.203125
421,2022-06-10,2022-12-20,4.0,3.6917323396310437,-7.706691509223907,-18.1484375
422,2022-06-10,2022-11-21,3.0,2.8121995435684877,-6.260015214383745,-16.234375
423,2022-06-10,2022-10-20,2.0,1.8322168527973264,-8.38915736013368,-24.0234375
424,2022-06-10,2022-09-20,1.0,0.9543714193558296,-4.562858064417041,-15.390625
425,2022-06-10,2022-08-22,,,,
426,2022-06-10,2022-07-20,,,,
427,2022-06-10,2022-06-20,,,,
