,Datum_Eerste_Storting,Datum_Verkoop,Investering Totaal,Verkoop Totaal,Winst Pct,Eff Interest
67,2022-12-12,2022-12-20,,,,
134,2022-11-10,2022-12-20,,,,
135,2022-11-10,2022-11-21,,,,
201,2022-10-10,2022-12-20,,,,
202,2022-10-10,2022-11-21,,,,
203,2022-10-10,2022-10-20,,,,
268,2022-09-12,2022-12-20,1.0,0.9063811576229492,-9.361884237705077,-30.3984375
269,2022-09-12,2022-11-21,,,,
270,2022-09-12,2022-10-20,,,,
271,2022-09-12,2022-09-20,,,,
335,2022-08-10,2022-12-20,2.0,1.8019291468560055,-9.903542657199726,-28.1015625
336,2022-08-10,2022-11-21,1.0,0.9315561849664536,-6.844381503354635,-22.21875
337,2022-08-10,2022-10-20,,,,
338,2022-08-10,2022-09-20,,,,
339,2022-08-10,2022-08-22,,,,
402,2022-07-11,2022-12-20,3.0,2.7345324854887556,-8.848917150374813,-22.7890625
403,2022-07-11,2022-11-21,2.0,1.9016576409115626,-4.917117954421868,-14.4453125
404,2022-07-11,2022-10-20,1.0,0.9313249937243745,-6.867500627562551,-22.671875
405,2022-07-11,2022-09-20,,,,
406,2022-07-11,2022-08-22,,,,
407,2022-07-11,2022-07-20,,,,
469,2022-06-10,2022-12-20,4.0,3.683089293999394,-7.92276765001515,-18.62890625
470,2022-06-10,2022-11-21,3.0,2.888354023890286,-3.721532536990472,-9.8671875
471,2022-06-10,2022-10-20,2.0,1.8785815894690554,-6.07092052654723,-17.828125
472,2022-06-10,2022-09-20,1.0,0.9757374468085106,-2.42625531914894,-8.4140625
473,2022-06-10,2022-08-22,,,,
474,2022-06-10,2022-07-20,,,,
475,2022-06-10,2022-06-20,,,,
536,2022-05-10,2022-12-20,5.0,4.622650305590542,-7.546993888189152,-16.25
537,2022-05-10,2022-11-21,4.0,3.865692906925059,-3.3576773268735205,-8.046875
538,2022-05-10,2022-10-20,3.0,2.8168547190791715,-6.10484269736095,-16.0
539,2022-05-10,2022-09-20,2.0,1.94222132457458,-2.888933771270996,-8.70703125
540,2022-05-10,2022-08-22,1.0,1.0267894625922023,2.6789462592202273,9.71875
