id,file_name,directory,name
0P0000AA58,0P0000AA58 Historical Data.csv,Ing,Ing (b) Collect Portfolio - Ing Personal Portfolio Balanced R Cap
0P0000AA59,0P0000AA59 Historical Data.csv,Ing,Ing (b) Collect Portfolio - Ing Personal Portfolio Balanced R Dis
0P0000AA5A,0P0000AA5A Historical Data.csv,Ing,Ing (b) Collect Portfolio - Ing Personal Portfolio Moderate R Cap
0P0000XZ4E,0P0000XZ4E Historical Data.csv,Ing,Ing (b) Collect Portfolio - Ing Core Fund Balanced Cap
0P0000XZ4F,0P0000XZ4F Historical Data.csv,Ing,Ing (b) Collect Portfolio - Ing Core Fund Balanced Dis
LP65104373,LP65104373 Historical Data.csv,Ing,Ing (b) Collect Portfolio - Ing Personal Portfolio Moderate R Dis
LP65104374,LP65104374 Historical Data.csv,Ing,Ing (b) Collect Portfolio - Ing Personal Portfolio Active R Cap
LP65104375,LP65104375 Historical Data.csv,Ing,Ing (b) Collect Portfolio - Ing Personal Portfolio Active R Dis
0P00000N68,0P00000N68 Historical Data.csv,DPam,Dpam B - Balanced Growth A
0P00000N6E,0P00000N6E Historical Data.csv,DPam,Dpam B - Balanced Growth B
0P00000YZO,0P00000YZO Historical Data.csv,DPam,Dpam B - Balanced Flexible B
0P0000UNAP,0P0000UNAP Historical Data.csv,DPam,Dpam B - Balanced Strategy B
0P0000UNAQ,0P0000UNAQ Historical Data.csv,DPam,Dpam B - Defensive Strategy A
0P0000UNAR,0P0000UNAR Historical Data.csv,DPam,Dpam B - Defensive Strategy B
0P0000YK5Z,0P0000YK5Z Historical Data.csv,DPam,Dpam B - Balanced Flexible F
LP68135189,LP68135189 Historical Data.csv,DPam,Dpam B - Balanced Strategy A
0P00000BFO,0P00000BFO Historical Data.csv,Patrimonial,Nn (l) Patrimonial Aggressive - P Cap Eur
0P00000BFP,0P00000BFP Historical Data.csv,Patrimonial,Nn (l) Patrimonial Balanced - P Cap Eur
0P00000BFQ,0P00000BFQ Historical Data.csv,Patrimonial,Nn (l) Patrimonial Aggressive - P Dis Eur
0P00000BFR,0P00000BFR Historical Data.csv,Patrimonial,Nn (l) Patrimonial Balanced - P Dis Eur
0P00000BFS,0P00000BFS Historical Data.csv,Patrimonial,Nn (l) Patrimonial Defensive - P Cap Eur
0P00000BFT,0P00000BFT Historical Data.csv,Patrimonial,Nn (l) Patrimonial Balanced European Sustainable - P Cap Eur (hedged Ii)
0P00000BFU,0P00000BFU Historical Data.csv,Patrimonial,Nn (l) Patrimonial Balanced European Sustainable - P Dis Eur (hedged Ii)
0P00000MX7,0P00000MX7 Historical Data.csv,Patrimonial,Nn (l) Patrimonial Aggressive - X Cap Eur
0P00000MXT,0P00000MXT Historical Data.csv,Patrimonial,Nn (l) Patrimonial Balanced - X Cap Eur
0P00000MXV,0P00000MXV Historical Data.csv,Patrimonial,Nn (l) Patrimonial Defensive - X Cap Eur
0P00000VP0,0P00000VP0 Historical Data.csv,Patrimonial,Nn (l) Patrimonial Defensive - P Dis Eur
0P00019IHP,0P00019IHP Historical Data.csv,Patrimonial,Nn (l) Patrimonial Balanced European Sustainable - P Cap Eur
0P0001CB4M,0P0001CB4M Historical Data.csv,Patrimonial,Nn (l) Patrimonial Defensive - R Cap Eur
